dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7
-67.9354657539104,113.169131683296,-103.894365580395,-44.7852778763743,21.6781271591887,123.409133162553,-66.6833088540121
-68.0576527332635,113.090596554799,-103.90866016403,-44.7663864367205,21.6301147414233,123.459321200939,-66.3602025558538
-67.9748707868072,113.035907520173,-103.847997972021,-44.6825559721064,21.6736574994273,123.4677637757,-66.6101065527877
-67.8516410159205,113.100413453729,-103.969226912684,-44.6461410660944,21.6302446928176,123.431796735071,-66.4509248784532
-67.9197149461165,113.035914464323,-103.965164789838,-44.7878477119752,21.6790788214702,123.316176727842,-66.7108490492192
-67.8744682981782,113.098997568468,-104.183931170356,-44.8488461938098,21.6123033618468,123.481380053236,-66.5082567987117
-67.903914133992,113.090481956214,-103.96467496151,-44.6962564429482,21.6208243364552,123.579916138515,-66.6333275363075
-67.8300755165667,113.261013463775,-103.977780465576,-44.7623064162901,21.3772615130332,123.321170293109,-66.565652900215
-68.2861169538995,113.265346605117,-104.083396173244,-44.7628310534636,21.3950897241213,123.349668525893,-66.9368650107251
-68.0033587370791,112.894266191796,-104.235725980193,-44.8973646200694,21.458636995691,123.32286234544,-66.8057125244418
-67.8707912023703,113.146535027266,-104.035772976047,-44.7333878259761,21.4894473124456,123.359398527901,-66.7631230940419
-67.6891742082747,113.127811187565,-103.990468666422,-44.8301687484933,21.3615346464245,123.297329059169,-66.6325336901733
-68.1063352363335,113.096083775506,-104.1985015661,-44.8393983615762,21.6042389496704,123.379850246211,-66.6432710606778
-68.0323074276249,113.084312026581,-104.433881048072,-44.7432728721898,21.4432195462079,123.32922961355,-66.9170829024833
-68.0510358488178,113.015222601951,-104.001916257786,-44.7639270183569,21.559893164598,123.274390631486,-66.5468337447049
-68.0689831947624,113.230525106724,-104.168644565012,-44.7312007711077,21.499743881119,123.248336893803,-66.5732672137289
-68.1135533752271,112.958310591231,-104.082871605927,-44.7286002711223,21.2770975032487,123.439895276543,-66.6859363443565
-68.0875227947689,113.100108493709,-104.146735579253,-44.6364879835157,21.348774337307,123.549179732956,-66.6419210494161
-68.2900045425291,113.010021979851,-104.271101902439,-44.8881739377795,21.5099998251247,123.302237726494,-66.9750892188748
-68.1877648367701,112.990334647556,-104.293962835893,-44.7996459557513,21.263126755054,123.173828427815,-66.8197940583597
-68.2189674452106,112.967010009694,-104.051691170212,-44.5405154388979,21.165191021006,123.390288560567,-66.9834887931574
-68.0359369312456,112.978622061501,-104.050945007805,-44.8691412867851,21.4375446619095,123.2990245287,-67.071717537135
-68.3950681155592,112.843857385954,-104.292300363365,-44.8530475013087,21.2348388179776,123.107458021126,-67.0093320262288
-68.2080228894325,113.32572485599,-104.250400957031,-44.7755697201244,21.0980804943906,123.179668634948,-67.0326768562594
-68.2610508306131,113.042557657162,-104.217972876446,-44.8104992246485,21.1873851759924,123.474176529347,-66.8171696674696
-68.1499943361306,113.122541892339,-104.214569868889,-44.8295858180935,21.2712550001189,123.214668615905,-66.8629502021328
-68.1060635614245,113.047051767611,-104.531177954117,-45.0340235202262,21.2425801121177,123.356253913384,-67.0112151718549
-68.2569620893555,113.017461211336,-104.316602194851,-44.8540134267244,21.1693099799133,123.384026518126,-66.8808835949764
-68.2897215632521,112.872011729996,-104.200294043145,-44.9983888303071,21.1540413489654,123.018438130992,-66.8671995779337
-68.4348101321067,112.909132706405,-104.37861396953,-44.9054312203113,21.1496725663598,123.345601087532,-67.0296693087741
-68.4862957475604,113.053499660281,-104.17702436902,-44.9351994210461,21.1426671928342,123.377322295897,-66.9478231005967
