pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575878.7616537,23119329.2648173,22169525.9953348,21218523.1666552,20285877.5157751,23503750.0795213,23952214.5707038
22576239.5995582,23118734.305686,22170071.2511582,21218755.992807,20285763.8005101,23503101.2301128,23952565.2262004
22576591.6102828,23118138.5150979,22170619.4555981,21218990.5852599,20285648.5177326,23502452.7175318,23952916.2206938
22576950.669798,23117542.5817483,22171162.0863279,21219226.4978485,20285535.6662645,23501804.6587331,23953263.7780759
22577304.3275234,23116948.9683804,22171711.2959714,21219458.5444503,20285422.8888971,23501154.6724397,23953613.1854888
22577664.5439522,23116353.3167456,22172258.7022947,21219694.4109321,20285310.0374174,23500507.3571478,23953964.3396465
22578020.8900556,23115760.6883387,22172805.4286344,21219932.3728863,20285194.7838409,23499857.5710624,23954310.7790627
22578377.9725747,23115166.1989954,22173351.3454783,21220165.3013568,20285081.7821585,23499211.549749,23954661.4243997
22578735.0707755,23114570.4448891,22173896.3873452,21220401.4075441,20284968.8274828,23498563.5017471,23955013.4922522
22579091.0327796,23113974.7945182,22174447.1461548,21220636.4955504,20284855.2652501,23497912.3766154,23955362.2391841
22579449.3153406,23113383.5655998,22174989.365397,21220869.1211015,20284741.9783033,23497265.6423638,23955714.3200724
22579806.0710688,23112787.1760304,22175537.3543377,21221105.3588784,20284628.8716108,23496617.203685,23956062.8685199
22580164.4948798,23112193.6336092,22176086.2748781,21221342.3182703,20284515.757452,23495970.959677,23956418.6858523
22580521.6895625,23111598.9627689,22176629.3938498,21221577.5207957,20284400.4433501,23495320.7161294,23956765.6227244
22580879.1574197,23111004.4486897,22177180.412635,21221812.7121906,20284289.9348099,23494673.3021669,23957116.5828476
22581237.4388122,23110410.5925135,22177727.0640334,21222048.4692576,20284178.7327942,23494023.7160394,23957470.972742
22581595.5700969,23109818.015859,22178274.3857457,21222282.5219189,20284065.4984949,23493376.8412842,23957822.2401294
22581953.1091543,23109222.0649145,22178822.0541315,21222519.6126021,20283951.9581081,23492727.8099385,23958173.0393863
22582307.7540385,23108628.6222236,22179367.9603414,21222753.1308794,20283840.3079378,23492080.1938573,23958521.3080985
22582668.3881097,23108032.8948093,22179915.9482988,21222989.3228314,20283726.7354137,23491432.7080478,23958874.0877943
22583029.714153,23107441.9806999,22180462.3339247,21223228.2049523,20283617.4143904,23490782.2319722,23959224.05699
22583386.9311544,23106846.3070398,22181011.2905014,21223463.4411546,20283504.8266428,23490135.8705948,23959576.2120168
22583746.0114807,23106251.092748,22181558.530542,21223696.0657852,20283391.723988,23489489.7617429,23959930.3776796
22584104.5357048,23105658.4837225,22182106.3191049,21223934.0140285,20283280.305728,23488838.9814008,23960281.5642775
22584461.5735079,23105064.8382159,22182654.2792665,21224169.6910393,20283167.4268806,23488193.2695222,23960630.1965111
22584821.0398969,23104470.0772261,22183202.0634953,21224404.5429453,20283056.8476886,23487542.0659226,23960982.4340956
22585180.1833615,23103879.0906518,22183749.3767239,21224639.6447352,20282943.185051,23486894.5407706,23961336.2289726
22585538.8122415,23103283.298498,22184298.385137,21224876.1627409,20282834.86062,23486248.1586981,23961685.8138751
22585896.6626245,23102689.5312095,22184846.7228635,21225113.1367361,20282722.7999714,23485598.684238,23962040.548355
22586256.2597846,23102097.2845795,22185392.3999283,21225348.3465891,20282610.3036109,23484951.8489188,23962392.4721706
22586615.4468868,23101503.5092179,22185943.3058428,21225583.8887409,20282498.8605815,23484305.6577465,23962746.371871
22586975.6793526,23100909.3246422,22186491.9793351,21225820.1633886,20282389.6249606,23483655.8508279,23963097.5026036
22587333.7768305,23100314.1169287,22187038.6644013,21226056.5437629,20282277.2780338,23483006.8724056,23963450.6007278
22587692.5080187,23099723.987442,22187588.3769386,21226293.3295128,20282166.8796237,23482360.2196975,23963805.7873709
22588052.0212723,23099129.5972419,22188135.1057542,21226530.2648379,20282058.2028707,23481717.303328,23964158.5383915
22588410.4836977,23098536.8641995,22188683.3379069,21226764.2150704,20281946.4600468,23481066.2204057,23964508.4327345
22588770.8412195,23097943.4176828,22189233.8011473,21227000.6139368,20281833.953112,23480417.1223692,23964859.3233301
22589132.9223823,23097349.3656007,22189781.8418036,21227240.0978475,20281723.3406039,23479767.5292273,23965216.2822001
22589490.9222081,23096756.2945823,22190331.38594,21227472.7054538,20281612.9331324,23479120.5638262,23965569.4638573
22589851.8819316,23096161.6240441,22190878.6538947,21227711.7947926,20281503.0643574,23478472.0087163,23965919.3272611
22590212.1918898,23095568.8017421,22191426.5693943,21227946.5968401,20281394.4303023,23477826.0419142,23966274.0051221
22590572.2449373,23094974.3267519,22191977.3200867,21228182.0892045,20281283.4831987,23477176.8061749,23966629.1425401
22590930.4854578,23094382.4237414,22192527.5705064,21228420.8759699,20281174.4838405,23476531.0710585,23966982.0659482
22591292.9374724,23093789.2679109,22193075.8611451,21228656.3230183,20281063.4383084,23475881.2275156,23967336.2536364
22591652.9707603,23093196.4619647,22193624.1252111,21228893.5498394,20280953.5845518,23475236.4576726,23967689.1831498
22592010.9625249,23092602.5906226,22194174.7344728,21229128.4286519,20280843.5016875,23474588.5285878,23968043.2309984
