gps_week,gps_time
2159,1
2159,2
2159,3
2159,4
2159,5
2159,6
2159,7
2159,8
2159,9
2159,10
2159,11
2159,12
2159,13
2159,14
2159,15
2159,16
2159,17
2159,18
2159,19
2159,20
2159,21
2159,22
2159,23
2159,24
2159,25
2159,26
2159,27
2159,28
2159,29
2159,30
2159,31
2159,32
2159,33
2159,34
2159,35
2159,36
2159,37
2159,38
2159,39
2159,40
2159,41
2159,42
2159,43
2159,44
2159,45
2159,46
2159,47
2159,48
2159,49
2159,50
2159,51
2159,52
2159,53
2159,54
2159,55
2159,56
2159,57
2159,58
2159,59
2159,60
2159,61
2159,62
2159,63
2159,64
2159,65
2159,66
2159,67
2159,68
2159,69
2159,70
2159,71
2159,72
2159,73
2159,74
2159,75
2159,76
2159,77
2159,78
2159,79
2159,80
2159,81
2159,82
2159,83
2159,84
2159,85
2159,86
2159,87
2159,88
2159,89
2159,90
2159,91
2159,92
2159,93
2159,94
2159,95
2159,96
2159,97
2159,98
2159,99
2159,100
2159,101
2159,102
2159,103
2159,104
2159,105
2159,106
2159,107
2159,108
2159,109
2159,110
2159,111
2159,112
2159,113
2159,114
2159,115
2159,116
2159,117
2159,118
2159,119
2159,120
2159,121
2159,122
2159,123
2159,124
2159,125
2159,126
2159,127
2159,128
2159,129
2159,130
2159,131
2159,132
2159,133
2159,134
2159,135
2159,136
2159,137
2159,138
2159,139
2159,140
2159,141
2159,142
2159,143
2159,144
2159,145
2159,146
2159,147
2159,148
2159,149
2159,150
2159,151
2159,152
2159,153
2159,154
2159,155
2159,156
2159,157
2159,158
2159,159
2159,160
2159,161
2159,162
2159,163
2159,164
2159,165
2159,166
2159,167
2159,168
2159,169
2159,170
2159,171
2159,172
2159,173
2159,174
2159,175
2159,176
2159,177
2159,178
2159,179
2159,180
2159,181
2159,182
2159,183
2159,184
2159,185
2159,186
2159,187
2159,188
2159,189
2159,190
2159,191
2159,192
2159,193
2159,194
2159,195
2159,196
2159,197
2159,198
2159,199
2159,200
2159,201
2159,202
2159,203
2159,204
2159,205
2159,206
2159,207
2159,208
2159,209
2159,210
2159,211
2159,212
2159,213
2159,214
2159,215
2159,216
2159,217
2159,218
2159,219
2159,220
2159,221
2159,222
2159,223
2159,224
2159,225
2159,226
2159,227
2159,228
2159,229
2159,230
2159,231
2159,232
2159,233
2159,234
2159,235
2159,236
2159,237
2159,238
2159,239
2159,240
2159,241
2159,242
2159,243
2159,244
2159,245
2159,246
2159,247
2159,248
2159,249
2159,250
2159,251
2159,252
2159,253
2159,254
2159,255
2159,256
2159,257
2159,258
2159,259
2159,260
2159,261
2159,262
2159,263
2159,264
2159,265
2159,266
2159,267
2159,268
2159,269
2159,270
2159,271
2159,272
2159,273
2159,274
2159,275
2159,276
2159,277
2159,278
2159,279
2159,280
2159,281
2159,282
2159,283
2159,284
2159,285
2159,286
2159,287
2159,288
2159,289
2159,290
2159,291
2159,292
2159,293
2159,294
2159,295
2159,296
2159,297
2159,298
2159,299
2159,300
2159,301
2159,302
2159,303
2159,304
2159,305
2159,306
2159,307
2159,308
2159,309
2159,310
2159,311
2159,312
2159,313
2159,314
2159,315
2159,316
2159,317
2159,318
2159,319
2159,320
2159,321
2159,322
2159,323
2159,324
2159,325
2159,326
2159,327
2159,328
2159,329
2159,330
2159,331
2159,332
2159,333
2159,334
2159,335
2159,336
2159,337
2159,338
2159,339
2159,340
2159,341
2159,342
2159,343
2159,344
2159,345
2159,346
2159,347
2159,348
2159,349
2159,350
2159,351
2159,352
2159,353
2159,354
2159,355
2159,356
2159,357
2159,358
2159,359
2159,360
2159,361
2159,362
2159,363
2159,364
2159,365
2159,366
2159,367
2159,368
2159,369
2159,370
2159,371
2159,372
2159,373
2159,374
2159,375
2159,376
2159,377
2159,378
2159,379
2159,380
2159,381
2159,382
2159,383
2159,384
2159,385
2159,386
2159,387
2159,388
2159,389
2159,390
2159,391
2159,392
2159,393
2159,394
2159,395
2159,396
2159,397
2159,398
2159,399
2159,400
2159,401
2159,402
2159,403
2159,404
2159,405
2159,406
2159,407
2159,408
2159,409
2159,410
2159,411
2159,412
2159,413
2159,414
2159,415
2159,416
2159,417
2159,418
2159,419
2159,420
2159,421
2159,422
2159,423
2159,424
2159,425
2159,426
2159,427
2159,428
2159,429
2159,430
2159,431
2159,432
2159,433
2159,434
2159,435
2159,436
2159,437
2159,438
2159,439
2159,440
2159,441
2159,442
2159,443
2159,444
2159,445
2159,446
2159,447
2159,448
2159,449
2159,450
2159,451
2159,452
2159,453
2159,454
2159,455
2159,456
2159,457
2159,458
2159,459
2159,460
2159,461
2159,462
2159,463
2159,464
2159,465
2159,466
2159,467
2159,468
2159,469
2159,470
2159,471
2159,472
2159,473
2159,474
2159,475
2159,476
2159,477
2159,478
2159,479
2159,480
2159,481
2159,482
2159,483
2159,484
2159,485
2159,486
2159,487
2159,488
2159,489
2159,490
2159,491
2159,492
2159,493
2159,494
2159,495
2159,496
2159,497
2159,498
2159,499
2159,500
2159,501
2159,502
2159,503
2159,504
2159,505
2159,506
2159,507
2159,508
2159,509
2159,510
2159,511
2159,512
2159,513
2159,514
2159,515
2159,516
2159,517
2159,518
2159,519
2159,520
2159,521
2159,522
2159,523
2159,524
2159,525
2159,526
2159,527
2159,528
2159,529
2159,530
2159,531
2159,532
2159,533
2159,534
2159,535
2159,536
2159,537
2159,538
2159,539
2159,540
2159,541
2159,542
2159,543
2159,544
2159,545
2159,546
2159,547
2159,548
2159,549
2159,550
2159,551
2159,552
2159,553
2159,554
2159,555
2159,556
2159,557
2159,558
2159,559
2159,560
2159,561
2159,562
2159,563
2159,564
2159,565
2159,566
2159,567
2159,568
2159,569
2159,570
2159,571
2159,572
2159,573
2159,574
2159,575
2159,576
2159,577
2159,578
2159,579
2159,580
2159,581
2159,582
2159,583
2159,584
2159,585
2159,586
2159,587
2159,588
2159,589
2159,590
2159,591
2159,592
2159,593
2159,594
2159,595
2159,596
2159,597
2159,598
2159,599
2159,600
2159,601
2159,602
2159,603
2159,604
2159,605
2159,606
2159,607
2159,608
2159,609
2159,610
2159,611
2159,612
2159,613
2159,614
2159,615
2159,616
2159,617
2159,618
2159,619
2159,620
2159,621
2159,622
2159,623
2159,624
2159,625
2159,626
2159,627
2159,628
2159,629
2159,630
2159,631
2159,632
2159,633
2159,634
2159,635
2159,636
2159,637
2159,638
2159,639
2159,640
2159,641
2159,642
2159,643
2159,644
2159,645
2159,646
2159,647
2159,648
2159,649
2159,650
2159,651
2159,652
2159,653
2159,654
2159,655
2159,656
2159,657
2159,658
2159,659
2159,660
2159,661
2159,662
2159,663
2159,664
2159,665
2159,666
2159,667
2159,668
2159,669
2159,670
2159,671
2159,672
2159,673
2159,674
2159,675
2159,676
2159,677
2159,678
2159,679
2159,680
2159,681
2159,682
2159,683
2159,684
2159,685
2159,686
2159,687
2159,688
2159,689
2159,690
2159,691
2159,692
2159,693
2159,694
2159,695
2159,696
2159,697
2159,698
2159,699
2159,700
2159,701
2159,702
2159,703
2159,704
2159,705
2159,706
2159,707
2159,708
2159,709
2159,710
2159,711
2159,712
2159,713
2159,714
2159,715
2159,716
2159,717
2159,718
2159,719
2159,720
2159,721
2159,722
2159,723
2159,724
2159,725
2159,726
2159,727
2159,728
2159,729
2159,730
2159,731
2159,732
2159,733
2159,734
2159,735
2159,736
2159,737
2159,738
2159,739
2159,740
2159,741
2159,742
2159,743
2159,744
2159,745
2159,746
2159,747
2159,748
2159,749
2159,750
2159,751
2159,752
2159,753
2159,754
2159,755
2159,756
2159,757
2159,758
2159,759
2159,760
2159,761
2159,762
2159,763
2159,764
2159,765
2159,766
2159,767
2159,768
2159,769
2159,770
2159,771
2159,772
2159,773
2159,774
2159,775
2159,776
2159,777
2159,778
2159,779
2159,780
2159,781
2159,782
2159,783
2159,784
2159,785
2159,786
2159,787
2159,788
2159,789
2159,790
2159,791
2159,792
2159,793
2159,794
2159,795
2159,796
2159,797
2159,798
2159,799
2159,800
2159,801
2159,802
2159,803
2159,804
2159,805
2159,806
2159,807
2159,808
2159,809
2159,810
2159,811
2159,812
2159,813
2159,814
2159,815
2159,816
2159,817
2159,818
2159,819
2159,820
2159,821
2159,822
2159,823
2159,824
2159,825
2159,826
2159,827
2159,828
2159,829
2159,830
2159,831
2159,832
2159,833
2159,834
2159,835
2159,836
2159,837
2159,838
2159,839
2159,840
2159,841
2159,842
2159,843
2159,844
2159,845
2159,846
2159,847
2159,848
2159,849
2159,850
2159,851
2159,852
2159,853
2159,854
2159,855
2159,856
2159,857
2159,858
2159,859
2159,860
2159,861
2159,862
2159,863
2159,864
2159,865
2159,866
2159,867
2159,868
2159,869
2159,870
2159,871
2159,872
2159,873
2159,874
2159,875
2159,876
2159,877
2159,878
2159,879
2159,880
2159,881
2159,882
2159,883
2159,884
2159,885
2159,886
2159,887
2159,888
2159,889
2159,890
2159,891
2159,892
2159,893
2159,894
2159,895
2159,896
2159,897
2159,898
2159,899
2159,900
2159,901
2159,902
2159,903
2159,904
2159,905
2159,906
2159,907
2159,908
2159,909
2159,910
2159,911
2159,912
2159,913
2159,914
2159,915
2159,916
2159,917
2159,918
2159,919
2159,920
2159,921
2159,922
2159,923
2159,924
2159,925
2159,926
2159,927
2159,928
2159,929
2159,930
2159,931
2159,932
2159,933
2159,934
2159,935
2159,936
2159,937
2159,938
2159,939
2159,940
2159,941
2159,942
2159,943
2159,944
2159,945
2159,946
2159,947
2159,948
2159,949
2159,950
2159,951
2159,952
2159,953
2159,954
2159,955
2159,956
2159,957
2159,958
2159,959
2159,960
2159,961
2159,962
2159,963
2159,964
2159,965
2159,966
2159,967
2159,968
2159,969
2159,970
2159,971
2159,972
2159,973
2159,974
2159,975
2159,976
2159,977
2159,978
2159,979
2159,980
2159,981
2159,982
2159,983
2159,984
2159,985
2159,986
2159,987
2159,988
2159,989
2159,990
2159,991
2159,992
2159,993
2159,994
2159,995
2159,996
2159,997
2159,998
2159,999
2159,1000
2159,1001
2159,1002
2159,1003
2159,1004
2159,1005
2159,1006
2159,1007
2159,1008
2159,1009
2159,1010
2159,1011
2159,1012
2159,1013
2159,1014
2159,1015
2159,1016
2159,1017
2159,1018
2159,1019
2159,1020
2159,1021
2159,1022
2159,1023
2159,1024
2159,1025
2159,1026
2159,1027
2159,1028
2159,1029
2159,1030
2159,1031
2159,1032
2159,1033
2159,1034
2159,1035
2159,1036
2159,1037
2159,1038
2159,1039
2159,1040
2159,1041
2159,1042
2159,1043
2159,1044
2159,1045
2159,1046
2159,1047
2159,1048
2159,1049
2159,1050
2159,1051
2159,1052
2159,1053
2159,1054
2159,1055
2159,1056
2159,1057
2159,1058
2159,1059
2159,1060
2159,1061
2159,1062
2159,1063
2159,1064
2159,1065
2159,1066
2159,1067
2159,1068
2159,1069
2159,1070
2159,1071
2159,1072
2159,1073
2159,1074
2159,1075
2159,1076
2159,1077
2159,1078
2159,1079
2159,1080
2159,1081
2159,1082
2159,1083
2159,1084
2159,1085
2159,1086
2159,1087
2159,1088
2159,1089
2159,1090
2159,1091
2159,1092
2159,1093
2159,1094
2159,1095
2159,1096
2159,1097
2159,1098
2159,1099
2159,1100
2159,1101
2159,1102
2159,1103
2159,1104
2159,1105
2159,1106
2159,1107
2159,1108
2159,1109
2159,1110
2159,1111
2159,1112
2159,1113
2159,1114
2159,1115
2159,1116
2159,1117
2159,1118
2159,1119
2159,1120
2159,1121
2159,1122
2159,1123
2159,1124
2159,1125
2159,1126
2159,1127
2159,1128
2159,1129
2159,1130
2159,1131
2159,1132
2159,1133
2159,1134
2159,1135
2159,1136
2159,1137
2159,1138
2159,1139
2159,1140
2159,1141
2159,1142
2159,1143
2159,1144
2159,1145
2159,1146
2159,1147
2159,1148
2159,1149
2159,1150
2159,1151
2159,1152
2159,1153
2159,1154
2159,1155
2159,1156
