carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575878.8731834,23119327.3599452,22169525.3931044,21218520.9629684,20285878.0436985,23503749.7109634,23952214.8619504
22576235.4998963,23118732.6430368,22170071.6232078,21218755.8231175,20285763.9672584,23503101.2392119,23952564.3746283
22576592.2165132,23118137.9673241,22170617.9306228,21218990.7245421,20285649.9905231,23502452.7870664,23952913.991312
22576949.0169142,23117543.327319,22171164.3000861,21219225.6695675,20285536.1208428,23501804.3531636,23953263.7100557
22577305.9070477,23116948.7232266,22171710.7437002,21219460.6510287,20285422.3529579,23501155.9389388,23953613.5323033
22577662.8842649,23116354.1600609,22172257.2582429,21219695.6698067,20285308.6856805,23500507.5443804,23953963.4536411
22578019.9452038,23115759.6397083,22172803.8344346,21219930.7310091,20285195.118502,23499859.1667116,23954313.4790504
22578377.0914212,23115165.1535903,22173350.4820252,21220165.8304548,20285081.6549207,23499210.8080737,23954663.6052117
22578734.3305983,23114570.7075881,22173897.1941833,21220400.9698998,20284968.2882388,23498562.4714443,23955013.8326894
22579091.6525196,23113976.3012004,22174443.9776292,21220636.1513672,20284855.0229154,23497914.1523955,23955364.167758
22579449.0659596,23113381.9274486,22174990.8325823,21220871.3686966,20284741.8559182,23497265.8528609,23955714.5956512
22579806.5626914,23112787.5941919,22175537.7590787,21221106.6230654,20284628.7948295,23496617.5743905,23956065.1290809
22580164.1464787,23112193.304476,22176084.7452401,21221341.9229955,20284515.8293523,23495969.3168853,23956415.7641921
22580521.8193596,23111599.0498099,22176631.8061695,21221577.2606065,20284402.9690979,23495321.0782026,23956766.5067054
22580879.575683,23111004.8347115,22177178.9372271,21221812.6400058,20284290.2127874,23494672.8589313,23957117.3445849
22581237.4216993,23110410.661203,22177726.1352416,21222048.0524359,20284177.5528317,23494024.658088,23957468.2885359
22581595.3549245,23109816.5272181,22178273.3994733,21222283.5034274,20284064.9906126,23493376.4751643,23957819.3354918
22581953.3708551,23109222.4302009,22178820.7304741,21222518.9990878,20283952.5363754,23492728.3140108,23958170.475204
22582311.4738737,23108628.3740236,22179368.1340824,21222754.5326123,20283840.1791924,23492080.1737111,23958521.7219691
22582669.665945,23108034.3575335,22179915.6070212,21222990.1103974,20283727.9211907,23491432.0479717,23958873.0664858
22583027.9460324,23107440.3789733,22180463.148416,21223225.7240132,20283615.7632335,23490783.9459204,23959224.5141836
22583386.3119664,23106846.4406139,22181010.7537029,21223461.3791751,20283503.7102276,23490135.86445,23959576.0677041
22583744.7599001,23106252.5377257,22181558.4268086,21223697.0678576,20283391.7544496,23489487.8025803,23959927.72386
22584103.2977629,23105658.6753032,22182106.1727154,21223932.7955855,20283279.900635,23488839.7583212,23960279.4779439
22584461.9216493,23105064.8545162,22182653.98785,21224168.5632527,20283168.1462935,23488191.7366848,23960631.3331469
22584820.6325242,23104471.068065,22183201.8678164,21224404.375017,20283056.4958083,23487543.734869,23960983.2941059
22585179.4265413,23103877.3220301,22183749.813557,21224640.2236409,20282944.9455996,23486895.7500314,23961335.3528825
22585538.3121158,23103283.6134946,22184297.8305976,21224876.1085595,20282833.4984491,23486247.7889085,23961687.5134086
22585897.2833917,23102689.9504694,22184845.9219585,21225112.0344316,20282722.1515677,23485599.8482298,23962039.7805037
22586256.3346706,23102096.3229674,22185394.07675,21225348.0034751,20282610.905258,23484951.9265224,23962392.143631
22586615.4728668,23101502.7315131,22185942.2995543,21225584.0096553,20282499.7581031,23484304.0232505,23962744.611145
22586974.7029018,23100909.1867803,22186490.58407,21225820.0584485,20282388.7176632,23483656.1390972,23963097.1803373
22587334.016709,23100315.6722465,22187038.9448188,21226056.1508487,20282277.7720273,23483008.2777245,23963449.8473138
22587693.4215896,23099722.198921,22187587.3764536,21226292.2774896,20282166.9265645,23482360.4371536,23963802.6165738
22588052.9089136,23099128.7663712,22188135.8758899,21226528.4466862,20282056.181099,23481712.6136056,23964155.4848109
22588412.4854556,23098535.3760041,22188684.4413065,21226764.6514071,20281945.5354275,23481064.8084786,23964508.4644036
22588772.1438241,23097942.0240266,22189233.0727076,21227000.8998208,20281834.9893339,23480417.0246144,23964861.5428135
22589131.8942143,23097348.7134939,22189781.7771135,21227237.1821234,20281724.5453087,23479769.2629854,23965214.7175437
22589491.7280324,23096755.4419424,22190330.5488956,21227473.5009688,20281614.2025745,23479121.5269092,23965567.9951781
22589851.6466768,23096162.2080486,22190879.3866775,21227709.8676864,20281503.9674929,23478473.8015952,23965921.3801174
22590211.6545352,23095569.0101678,22191428.29008,21227946.2717329,20281393.8290988,23477826.0997551,23966274.8574032
22590571.7443414,23094975.8572589,22191977.2620167,21228182.7163712,20281283.7923413,23477178.419795,23966628.4369677
22590931.9247129,23094382.7401243,22192526.3038535,21228419.1954332,20281173.8554358,23476530.759131,23966982.1202718
22591292.1913454,23093789.6602746,22193075.4136047,21228655.7169397,20281064.0133611,23475883.1203292,23967335.9037578
22591652.5449769,23093196.6170148,22193624.5920727,21228892.2792223,20280954.2715626,23475235.4957639,23967689.7913945
22592012.9821819,23092603.618905,22194173.8331901,21229128.8828572,20280844.6296265,23474587.8956432,23968043.7829461
22592373.5059667,23092010.6636629,22194723.1484732,21229365.5138485,20280735.0965525,23473940.3140788,23968397.8702318
22592734.1179883,23091417.7437212,22195272.5361808,21229602.1942546,20280625.6650078,23473292.7552292,23968752.0547066
22593094.8107461,23090824.8573879,22195821.9827328,21229838.9103801,20280516.3335882,23472645.2168397,23969106.3450894
22593455.5954701,23090232.0174928,22196371.4987888,21230075.6670606,20280407.1031636,23471997.6959309,23969460.739257
22593816.4683012,23089639.2159825,22196921.0891807,21230312.4644371,20280297.9661515,23471350.1961324,23969815.2293472
22594177.4235153,23089046.4518907,22197470.7454719,21230549.2963632,20280188.934545,23470702.7203962,23970169.8263654
22594538.4624707,23088453.7293871,22198020.4677661,21230786.1756986,20280080.0018385,23470055.2617134,23970524.5197156
22594899.5895238,23087861.0455399,22198570.2591616,21231023.0907869,20279971.1719177,23469407.8199966,23970879.3213537
22595260.8057326,23087268.4005908,22199120.1221071,21231260.0434722,20279862.4455924,23468760.4008141,23971234.2222045
22595622.1072099,23086675.793671,22199670.0574346,21231497.0416557,20279753.8216405,23468113.0018225,23971589.2233646
22595983.4879359,23086083.2257484,22200220.0550001,21231734.0787224,20279645.2960142,23467465.6264428,23971944.3284911
22596344.9602363,23085490.7027396,22200770.1247305,21231971.1518185,20279536.8713528,23466818.2728787,23972299.5333308
22596706.5168444,23084898.2202766,22201320.2595617,21232208.2681878,20279428.5443378,23466170.9341545,23972654.8375231
22597068.1614135,23084305.7747261,22201870.4573624,21232445.4189244,20279320.3150069,23465523.6149454,23973010.2397847
22597429.8953577,23083713.3646836,22202420.7310729,21232682.6107207,20279212.1959262,23464876.3238371,23973365.7490082
