pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575880.05266,23119328.3391631,22169523.4091144,21218519.5888105,20285878.3333217,23503748.8011216,23952214.8197081
22576236.6930258,23118733.5888049,22170069.5473596,21218754.5090966,20285764.2131055,23503100.3099632,23952564.6030949
22576593.4902573,23118138.924472,22170615.7813388,21218989.3965294,20285650.1411255,23502451.9150908,23952914.2605842
22576950.4199852,23117544.4442515,22171162.0208527,21219224.3936299,20285536.1090947,23501803.5439594,23953263.9344169
22577307.4376092,23116949.8031573,22171708.5322044,21219459.5402938,20285422.2960005,23501155.3153562,23953613.8100951
22577664.4605267,23116355.244453,22172254.8001485,21219694.5408652,20285308.6108275,23500506.9832892,23953963.8332803
22578021.472908,23115760.6027981,22172801.3739645,21219929.6634559,20285195.1538039,23499858.733392,23954313.8743017
22578378.5730856,23115166.1502314,22173348.0882901,21220164.7033396,20285081.7267839,23499210.5307926,23954664.0335745
22578735.8023992,23114571.7961407,22173894.856188,21220399.6875431,20284968.1890014,23498562.0826894,23955014.3427766
22579093.2334395,23113977.1329925,22174441.6908341,21220634.861449,20284855.097252,23497913.6935251,23955364.9638549
22579450.4902221,23113382.5986252,22174988.4378397,21220870.2373475,20284741.9015284,23497265.5838221,23955715.3908036
22579807.9297518,23112787.993672,22175535.3859423,21221105.7167688,20284628.750937,23496617.3778354,23956065.9633359
22580165.5841361,23112193.7063851,22176082.3356404,21221340.968537,20284515.7568504,23495969.0850693,23956416.6139386
22580523.2359477,23111599.4911183,22176629.6592842,21221576.3177324,20284402.936882,23495320.9318294,23956767.1465161
22580881.0125741,23111005.3756401,22177176.5969475,21221811.927513,20284290.1191998,23494672.6336094,23957117.9813833
22581238.899847,23110411.2337481,22177723.7456099,21222047.3328804,20284177.6295571,23494024.5462118,23957468.6146322
22581596.9742002,23109816.9323637,22178271.1889796,21222282.9311844,20284064.9824375,23493376.3839141,23957819.7676108
22581954.8150657,23109222.6372021,22178818.5956358,21222518.4054547,20283952.5997477,23492728.0458242,23958171.0234616
