SVpos_x_1,SVpos_y_1,SVpos_z_1,SVpos_x_2,SVpos_y_2,SVpos_z_2,SVpos_x_3,SVpos_y_3,SVpos_z_3,SVpos_x_4,SVpos_y_4,SVpos_z_4,SVpos_x_5,SVpos_y_5,SVpos_z_5,SVpos_x_6,SVpos_y_6,SVpos_z_6,SVpos_x_7,SVpos_y_7,SVpos_z_7
2276171.75970827,25989284.6233232,4979869.77623124,8646658.4055427,12636741.0494034,21701867.4350434,-23380933.2902708,12583609.378809,638521.399388106,-17437697.768323,4961641.38822211,19409579.7835843,-10757572.9659363,19824164.6982582,14024981.0694671,-19435959.3178144,16279739.4168642,-7914325.3670342,-14277212.4466549,-8841121.25603207,20577141.5845165
2275864.88987919,25989903.2315722,4976780.59759006,8644219.08253493,12638024.2204105,21702091.9811311,-23381136.0438034,12583393.2052165,635349.387412276,-17439703.0681513,4960202.19389558,19408145.897803,-10757707.6921723,19822375.1336755,14027406.9367663,-19436974.0856223,16279964.6799347,-7911369.31984262,-14274933.2314751,-8842403.23174321,20578171.9893727
2275558.07392616,25990521.4698456,4973691.31306969,8641779.80874161,12639307.5455028,21702316.0655134,-23381338.4557783,12583176.8603735,632177.361919735,-17441708.2995705,4958763.21287079,19406711.5991193,-10757842.5077613,19820585.2724386,14029832.5056365,-19437988.5104256,16280189.8311935,-7908413.1043392,-14272653.9754877,-8843685.39876316,20579201.9564345
2275251.3117999,25991139.3381258,4970601.92273554,8639340.58422398,12640591.0246528,21702539.6881855,-23381540.5262171,12582960.3442335,629005.322977813,-17443713.4625175,4957324.44516057,19405276.8875638,-10757977.4127443,19818795.114589,14032257.7760262,-19439002.5922246,16280414.8705871,-7905456.72058669,-14270374.6787568,-8844967.75707755,20580231.48568
2274944.60345134,25991756.8363951,4967512.42665335,8636901.40904326,12641874.657833,21702762.8491426,-23381742.2551417,12582743.65675,625833.270653839,-17445718.5569295,4955885.89077778,19403841.7631668,-10758112.4071625,19817004.660168,14034682.7478841,-19440016.3310196,16280639.7980618,-7902500.16864783,-14268095.3413465,-8846250.30667195,20581260.5770874
2274637.94883141,25992373.9646358,4964422.82488884,8634462.28326117,12643158.4450155,21702985.5483801,-23381943.6425738,12582526.797877,622661.205015606,-17447723.582743,4954447.54973562,19402406.225959,-10758247.4910568,19815213.9092177,14037107.4211582,-19441029.7268103,16280864.613564,-7899543.44858584,-14265815.9633215,-8847533.04753161,20582289.2306346
2274331.34789105,25992990.7228303,4961333.11750773,8632023.20693891,12644442.3861726,21703207.7858931,-23382144.6885351,12582309.7675679,619489.126130446,-17449728.539895,4953009.4220469,19400970.275971,-10758382.6644685,19813422.8617795,14039531.7957971,-19442042.7795972,16281089.3170402,-7896586.56046345,-14263536.5447457,-8848815.97964208,20583317.4462999
2274024.80058095,25993607.1109609,4958243.30457547,8629584.18013772,12645726.4812767,21703429.5616769,-23382345.3930476,12582092.5657764,616317.034065687,-17451733.4283226,4951571.50772444,19399533.9132331,-10758517.9274387,19811631.5178948,14041955.8717493,-19443055.4893804,16281313.9084366,-7893629.50434344,-14261257.0856833,-8850099.10298892,20584345.2240614
2273718.30685247,25994223.1290098,4955153.38615839,8627145.20291927,12647010.7303001,21703650.8757269,-23382545.7561329,12581875.1924563,613144.928889125,-17453738.2479624,4950133.8067814,19398097.1377761,-10758653.2800083,19809839.8776057,14044379.6489631,-19444067.8561601,16281538.3876998,-7890672.280289,-14258977.586199,-8851382.41755732,20585372.5638972
2273411.86665631,25994838.7769594,4952063.36232193,8624706.27534477,12648295.1332149,21703871.7280383,-23382745.777813,12581657.6475612,609972.810668091,-17455742.9987514,4948696.31923056,19396659.9496304,-10758788.7222184,19808047.9409536,14046803.127387,-19445079.8799364,16281762.754776,-7887714.8883629,-14256698.0463567,-8852665.92333281,20586399.4657854
2273105.47994338,25995454.0547923,4948973.23313182,8622267.39747558,12649579.6899935,21704092.1186064,-23382945.4581096,12581439.9310447,606800.679470071,-17457747.6806265,4947259.04508481,19395222.3488267,-10758924.2541101,19806255.7079803,14049226.3069694,-19446091.5607096,16281987.0096117,-7884757.32862806,-14254418.4662208,-8853949.62030079,20587425.9297042
2272799.14666458,25996068.9624906,4945882.9986538,8619828.56937289,12650864.4006083,21704312.0474265,-23383144.7970446,12581222.0428606,603628.535362395,-17459752.2935247,4945821.9843569,19393784.3353955,-10759059.8757245,19804463.1787272,14051649.1876589,-19447102.89848,16282211.1521532,-7881799.60114725,-14252138.8458554,-8855233.50844676,20588451.9556318
2272492.86677084,25996683.5000369,4942792.65895363,8617389.79109839,12652149.2650312,21704531.514494,-23383343.7946399,12581003.9829625,600456.378412861,-17461756.8373827,4944385.13705997,19392345.9093674,-10759195.5871026,19802670.3532363,14054071.7694036,-19448113.8932477,16282435.1823471,-7878841.7059837,-14249859.185325,-8856517.58775588,20589477.5435463
2272186.64021304,25997297.6674135,4939702.21409704,8614951.06271316,12653434.2832346,21704750.5198042,-23383542.4509174,12580785.7513041,597284.208688799,-17463761.3121374,4942948.50320666,19390907.0707731,-10759331.3882855,19800877.2315491,14056494.0521523,-19449124.5450131,16282659.1001396,-7875883.64320018,-14247579.4846937,-8857801.85821365,20590502.693426
2271880.46694187,25997911.4646029,4936611.66414949,8612512.38427856,12654719.4551908,21704969.0633524,-23383740.7658988,12580567.3478392,594112.026257542,-17465765.717726,4941512.08280982,19389467.819643,-10759467.2793141,19799083.8137074,14058916.0358535,-19450134.8537765,16282882.9054772,-7872925.41285948,-14245299.7440256,-8859086.31980546,20591527.4052489
2271574.34690865,25998524.8915874,4933521.00917732,8610073.75585617,12656004.7808718,21705187.1451339,-23383938.7396062,12580348.7725215,590939.831186887,-17467770.0540849,4940075.87588248,19388028.156008,-10759603.2602294,19797290.099753,14061337.7204554,-19451144.8195379,16283106.5983063,-7869967.01502483,-14243019.9633854,-8860370.97251646,20592551.6789934
2271268.28006408,25999137.9483496,4930430.24924599,8607635.17750714,12657290.2602499,21705404.7651442,-23384136.3720613,12580130.0253047,587767.623544166,-17469774.3211512,4938639.88243731,19386588.0798986,-10759739.3310725,19795496.0897276,14063759.1059065,-19452154.4422978,16283330.1785732,-7867008.44975901,-14240740.142837,-8861655.81633209,20593575.5146375
2270962.26635902,25999750.6348719,4927339.38442125,8605196.64929266,12658575.8932974,21705621.9233786,-23384333.6632862,12579911.1061424,584595.403396712,-17471778.5188619,4937204.10248701,19385147.5913453,-10759875.4918845,19793701.7836728,14066180.1921556,-19453163.7220566,16283553.6462245,-7864049.71712484,-14238460.2824447,-8862940.85123777,20594598.9121596
2270656.30574437,26000362.9511368,4924248.41476886,8602758.17127435,12659861.6799862,21705838.6198324,-23384530.6133028,12579692.0149886,581423.170812324,-17473782.6471537,4935768.53604461,19383706.6903789,-10760011.7427063,19791907.1816305,14068600.9791509,-19454172.6588143,16283777.0012065,-7861090.81718554,-14236180.3822728,-8864226.07721858,20595621.8715378
2270350.39817101,26000974.8971268,4921157.34035459,8600319.74351338,12661147.6202886,21706054.8545012,-23384727.2221329,12579472.7517968,578250.925858334,-17475786.7059636,4934333.18312276,19382265.3770301,-10760148.0835788,19790112.2836425,14071021.4668409,-19455181.2525716,16284000.2434656,-7858131.75000392,-14233900.4423856,-8865511.49425993,20596644.3927505
2270044.54358982,26001586.4728244,4918066.16124418,8597881.36607106,12662433.7141768,21706270.6273802,-23384923.4897986,12579253.3165209,575078.668602231,-17477790.6952284,4932898.04373424,19380823.6513294,-10760284.514543,19788317.0897505,14073441.6551742,-19456189.5033286,16284223.3729482,-7855172.51564292,-14231620.4628473,-8866797.10234708,20597666.4757757
2269738.74195146,26002197.6782121,4914974.87750311,8595443.03900853,12663719.9616229,21706485.9384648,-23385119.416322,12579033.7091144,571906.39911135,-17479794.6148851,4931463.11789166,19379381.5133076,-10760421.0356401,19786521.5999962,14075861.5440995,-19457197.4110859,16284446.3896008,-7852213.11416538,-14229340.4437219,-8868082.90146541,20598688.1205919
2269432.99320722,26002808.5132723,4911883.48919773,8593004.76238742,12665006.362599,21706700.7877506,-23385315.0017247,12578813.9295313,568734.117453487,-17481798.4648704,4930028.40560803,19377938.9629953,-10760557.6469108,19784725.8144216,14078281.1335649,-19458204.9758436,16284669.2933697,-7849253.54563452,-14227060.3850741,-8869368.89159996,20599709.3271772
2269127.29730777,26003418.9779878,4908791.99639353,8590566.53626886,12666292.9170772,21706915.1752329,-23385510.246029,12578593.9777253,565561.823695979,-17483802.2451212,4928593.90689594,19376496.0004233,-10760694.3483962,19782929.7330683,14080700.4235192,-19459212.1976022,16284892.0842015,-7846293.81011318,-14224780.2869679,-8870655.07273606,20600730.09551
2268821.65420397,26004029.0723409,4905700.39915627,8588128.36071399,12667579.6250297,21707129.1009072,-23385705.1492569,12578373.85365,562389.517906161,-17485805.9555747,4927159.62176799,19375052.6256222,-10760831.1401373,19781133.3559782,14083119.413911,-19460219.0763623,16285114.7620424,-7843333.90766418,-14222500.1494673,-8871941.44485907,20601750.4255685
2268516.06384667,26004638.7963144,4902608.69755172,8585690.23578442,12668866.4864284,21707342.5647689,-23385899.7114303,12578153.5572595,559217.20015183,-17487809.5961673,4925725.55023713,19373608.8386227,-10760968.0221749,19779336.6831933,14085538.1046885,-19461225.612124,16285337.326839,-7840373.83835077,-14220219.972637,-8873228.00795395,20602770.317331
2268210.52618674,26005248.1498907,4899516.89164566,8583252.16154126,12670153.5012455,21707555.5668135,-23386093.9325712,12577933.0885073,556044.870500324,-17489813.1668361,4924291.69231592,19372164.6394556,-10761104.99455,19777539.7147553,14087956.4958005,-19462231.8048878,16285559.7785376,-7837413.60223578,-14217939.756541,-8874514.76200605,20603789.7707758
2267905.04117482,26005857.1330526,4896424.98150356,8580814.13804563,12671440.6694531,21707768.1070364,-23386287.8127018,12577712.4473472,552872.529018977,-17491816.6675181,4922858.04801691,19370720.0281515,-10761242.0573036,19775742.4507059,14090374.5871957,-19463237.6546544,16285782.1170847,-7834453.19938206,-14215659.5012434,-8875801.70700064,20604808.7858813
2267599.60876219,26006465.7457824,4893332.96719181,8578376.16535913,12672727.9910231,21707980.1854331,-23386481.3518439,12577491.6337331,549700.175775589,-17493820.09815,4921424.61735303,19369275.0047413,-10761379.2104765,19773944.8910872,14092792.3788223,-19464243.1614239,16286004.3424267,-7831492.62985287,-14213379.2068088,-8877088.84292269,20605827.3626257
2267294.22889947,26007073.988063,4890240.84877589,8575938.24354287,12674015.4659277,21708191.8019991,-23386674.5500199,12577270.6476188,546527.810837497,-17495823.4586686,4919991.40033681,19367829.5692556,-10761516.4541096,19772147.035941,14095209.8706289,-19465248.325197,16286226.4545101,-7828531.89371104,-14211098.8733011,-8878376.16975747,20606845.5009873
2266988.90153752,26007681.8598769,4887148.62632157,8573500.37265811,12675303.0941389,21708402.95673,-23386867.4072516,12577049.4889581,543355.434272191,-17497826.749011,4918558.39698087,19366383.7217253,-10761653.7882439,19770348.8853092,14097627.0625643,-19466253.1459741,16286448.4532812,-7825570.99101958,-14208818.5007847,-8879663.68749013,20607863.2009446
2266683.62662718,26008289.3612067,4884056.29989465,8571062.55276594,12676590.8756288,21708613.6496212,-23387059.9235612,12576828.1577046,540183.046147009,-17499829.969114,4917125.60729772,19364937.4621809,-10761791.2129204,19768550.4392336,14100043.9545771,-19467257.6237558,16286670.3386865,-7822609.92184133,-14206538.0893237,-8880951.39610593,20608880.4624759
2266378.40411928,26008896.4920352,4880963.86956091,8568624.78392794,12677878.8103692,21708823.8806682,-23387252.0989709,12576606.6538123,537010.646529751,-17501833.1189143,4915693.03130023,19363490.7906534,-10761928.7281798,19766751.6977562,14102460.5466156,-19468261.7585424,16286892.1106725,-7819648.68623956,-14204257.6389825,-8882239.29558977,20609897.2855594
2266073.23396467,26009503.252345,4877871.33538616,8566187.0662052,12679166.8983322,21709033.6498665,-23387443.9335026,12576384.9772351,533838.235487755,-17503836.1983489,4914260.66900088,19362043.7071736,-10762066.3340631,19764952.660919,14104876.8386285,-19469265.5503346,16287113.7691856,-7816687.28427715,-14201977.1498252,-8883527.38592687,20610913.6701736
2265768.11611394,26010109.6421189,4874778.69743586,8563749.3996588,12680455.1394898,21709242.9572118,-23387635.4271786,12576163.1279266,530665.813088358,-17505839.2073549,4912828.52041212,19360596.211772,-10762204.0306111,19763153.3287636,14107292.8305645,-19470268.9991329,16287335.3141721,-7813725.71601694,-14199696.6219159,-8884815.66710244,20611929.616297
2265463.05051837,26010715.6613394,4871685.95577643,8561311.7843503,12681743.533814,21709451.8026995,-23387826.5800209,12575941.1058408,527493.379399361,-17507842.1458687,4911396.58554679,19359148.3044798,-10762341.8178647,19761353.7013323,14109708.5223721,-19471272.1049378,16287556.7455787,-7810763.98152223,-14197416.0553191,-8886104.13910136,20612945.1239078
2265158.03712857,26011321.3099893,4868593.11047336,8558874.22034078,12683032.0812767,21709660.1863252,-23388017.3920518,12575718.9109314,524320.934488102,-17509845.0138275,4909964.86441733,19357699.9853275,-10762479.6958647,19759553.7786669,14112123.9139999,-19472274.8677499,16287778.0633516,-7807802.08085589,-14195135.4500989,-8887392.80190881,20613960.1929844
