dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7
-67.7344656100714,113.31343537517,-103.998856556393,-44.6510769316019,21.7318702468122,123.397136955664,-66.5220058837177
-67.9349869187784,113.149025686436,-103.87046960326,-44.7004218937832,21.6043122167769,123.468636162401,-66.599546582739
-67.8832880139794,113.124660026933,-104.039029294369,-44.7178681267787,21.6858616828095,123.486061583314,-66.3371696868692
-68.0955192280415,112.9763746549,-103.938826435299,-44.6970157291799,21.6288196973679,123.360896508445,-66.6449791385542
-67.9948528126598,113.127235374808,-103.894132786224,-44.7955299226211,21.5297210750965,123.252520666117,-66.7234736429417
-67.9772083828871,113.074351122514,-103.989369562241,-44.7721878232456,21.5811367397013,123.444475830684,-66.5802680520716
-68.040384404449,113.019839132474,-103.951620033208,-44.6263119940622,21.608499813437,123.493131210996,-66.6412297589537
-68.0453848371908,113.278122683225,-103.872982456674,-44.6704740483076,21.6635564912392,123.277906182344,-66.4884004818312
-67.9867528721039,113.118838004791,-104.120906287518,-44.6762631722574,21.5463637761901,123.16426601984,-66.7074858084577
-68.0332839276328,113.108353222806,-104.025360567002,-44.717040411276,21.3516352300501,123.296325083358,-66.748197902824
-67.9760097705455,112.911901587909,-104.066520382326,-44.6609182761799,21.8454916071217,123.261558006814,-66.7256376811048
-67.7622485001588,113.084939556527,-104.022247620778,-44.7374985167437,21.2939790510433,123.416685852388,-66.7364308897261
-67.918887871501,113.10634634078,-103.997269324417,-44.7617581493632,21.4542373792135,123.332700042218,-66.6133137409747
-68.3060905467001,113.276891855489,-104.185016077151,-44.853805924334,21.4423759985133,123.325912324638,-66.8242953190684
-68.109963245412,112.937350681821,-103.929217013908,-44.8470359296671,21.4899459851248,123.290914134244,-66.7792546856301
-68.1807313220557,113.067357323104,-104.051006772252,-44.9224563887669,21.2597143595997,123.357372133771,-66.8427884382985
-68.095893202433,112.961651458524,-104.288949614017,-44.7799777933687,21.4051409426602,123.43320335367,-66.8389913139574
-68.1038590302255,113.030009145754,-104.220189117994,-44.8610787105388,21.6297430981167,123.280939761556,-66.8150499517371
-68.2179616524562,113.023057950812,-104.221865660086,-44.7907459159059,21.4528830844042,123.130476297109,-66.8705824264305
-68.0004003627723,113.065937480403,-103.969711794841,-44.899637788899,21.3190140998169,123.406466593315,-66.9820199745998
-68.1689624676993,112.937945845918,-104.028998933349,-44.7413136423705,21.5278598448863,123.416618355685,-66.7177847482319
-68.18245451723,112.954853413638,-104.251989738405,-44.8583776347923,21.2381240405091,123.379238663553,-66.847633423543
-68.0700096537176,113.065439278671,-104.210319508451,-44.9884957679249,21.1625133357042,123.36953791884,-67.1193016848405
-68.2286450430781,112.965531832943,-104.228976296933,-44.9505761592814,21.1957991162454,123.284529937248,-66.9218038372775
-68.176399816413,112.985271412387,-104.189837454434,-44.8472403036302,21.2060272571553,123.436012621022,-66.9991566714717
-68.2786748603177,113.107226533062,-104.183144269879,-45.1267331082736,21.4368526661826,123.143437107724,-66.8560511395515
-68.1150422649916,112.99179757138,-104.177015976556,-45.0598621241875,21.1885109019217,123.427115874626,-66.9834954460024
-68.2163847177129,112.786958096118,-104.495583729568,-44.9444260666212,21.1809162668421,123.278036486366,-67.0448501412635
-68.3946961594635,113.118340565224,-104.52154958292,-44.936175248528,21.1857036813777,123.175812939749,-67.0711489773718
-68.1245519531122,113.008396106158,-104.310386632277,-44.8033042164613,21.1959420691707,123.534395899434,-67.0216149693134
-68.3461496818832,112.83893612031,-104.248680181924,-44.8425831528859,21.0981283887194,123.18351984707,-67.0033121992108
-68.4800225048978,112.93849266612,-104.416037112673,-44.7894725604907,21.056179815812,123.239023310561,-67.1516883210175
-68.2732479476399,113.050796230801,-104.594683991157,-44.8155433591155,21.1227717281766,123.372970598303,-67.0631404155197
-68.2536315220926,112.894640416728,-104.270770104071,-44.8452986426966,21.0470393901046,123.426932553907,-67.0384898334786
-68.3771560675111,112.922077478403,-104.313173131495,-45.1629374912543,20.9785869648942,123.346664904123,-67.003692266824
-68.3641981792533,112.767005101418,-104.409694524402,-44.774170590186,21.1395399729806,123.211801078128,-67.1385192262576
-68.5049044046859,112.93993216964,-104.581162899466,-45.0089584608497,21.067461545897,123.379008973903,-67.2373087057431
-68.2688988439395,112.92482966293,-104.409393959508,-44.9651903467843,21.1781232989094,123.389197570346,-67.2763443155782
-68.4160651321872,112.720748345567,-104.367771626615,-44.8771198951337,21.0200446266574,123.284080445949,-67.3062143937876
-68.4416982883483,112.83550092561,-104.16002434513,-44.9827717257087,21.107961061789,123.101950226872,-67.1952378354617
-68.4298365235397,112.855416222107,-104.385065270681,-44.9206941356591,21.0128752486775,123.193834831017,-67.2552984917972
-68.2822416279505,112.8547805863,-104.37374801116,-44.9576660117409,20.9585456874039,123.397337962372,-67.2194502231011
-68.5253118565433,112.923500753245,-104.509693800237,-45.0095011784608,20.9137199464452,123.152091531875,-67.4356309927887
-68.7077074668399,112.982916970486,-104.508262509575,-45.0582468093741,20.798020725305,123.418228113431,-67.5341694374074
-68.3826319962377,112.963528203734,-104.527899163205,-45.1898742574008,20.6981399671049,123.305032026176,-67.4003889838792
-68.5573780060887,112.883982610123,-104.509014504925,-45.0360932089054,20.8101741152838,123.107029244467,-67.2568800982567
-68.6863638822176,112.912149950188,-104.48653675272,-45.1452899259626,20.8814988226072,123.171222766237,-67.4190368192201
-68.5822766321702,112.890143100474,-104.740700904536,-44.8721722793434,20.9150725714409,123.229965003606,-67.6074240473444
-68.848570018161,112.67461367653,-104.59929072488,-45.0145933557495,20.7652228545146,123.244774418959,-67.3304943682459
-68.6635728479889,112.753286369379,-104.352176737828,-45.0931024280202,20.6546002347929,123.063688211618,-67.5587863559011
-68.5513605734635,112.807671438402,-104.564601590777,-45.1253942360786,20.8535906847931,123.101990625737,-67.3227928685428
-68.6566939960834,112.803754338726,-104.691084873606,-44.8363512775316,20.6660029895542,123.220236145014,-67.4715337659944
-68.6382727669628,112.901483953223,-104.635782406752,-45.2809617680089,20.9144856993475,123.314813473542,-67.6708837615893
-68.7720033199052,112.536407969545,-104.638001905722,-44.90939132272,20.9537031939681,123.192563688668,-67.4757837120759
-68.6985802409181,112.829314312902,-104.696271164193,-45.2521837859503,20.5554598442072,123.16617394608,-67.5455965067302
-68.7327607851126,112.710494300183,-104.626570785173,-45.1831892420962,20.686111679305,123.264616168092,-67.5247466712245
-68.8506089680662,112.790397699801,-104.68616882173,-44.9908981224753,20.608845234318,122.963419578829,-67.605089658916
-68.9595077466731,112.792695963274,-104.706127504681,-45.1131865829313,20.5987086286412,123.200350666053,-67.5367047141283
-68.8700471281423,112.68959446396,-104.478935754752,-45.1645707598983,20.6481537620828,123.031328081645,-67.5864372227868
-68.9488482236036,112.625105782067,-104.782674330812,-45.1908172990906,20.6220690076793,123.17055342504,-67.6162961001665
-68.7927306759011,112.563382672596,-104.763933688364,-45.1897898016899,20.7534951629675,123.339524197559,-67.7632904534811
-68.7321750987563,112.571975943805,-104.648336281741,-45.1569561800475,20.4490051929389,123.05961838224,-67.838309838168
-68.9201665248853,112.693098426638,-104.654688929512,-45.2269575887509,20.6104020633985,123.278942812737,-67.8012153483022
-68.8490755987524,112.732504951335,-104.829586967378,-45.1738821434345,20.3532867864429,123.223698761396,-67.738515343154
-68.8937040815126,112.637314860943,-104.771690718099,-45.1103233874457,20.5192573922814,122.998857502589,-67.8642028736009
-68.9189083001201,112.669072544567,-104.833544237033,-45.1713595001997,20.4396578936066,123.210673191977,-67.8858355865437
-68.9819145261401,112.646171269857,-104.942037303322,-45.1647854214823,20.3768974515853,123.188875719733,-67.8027812115431
-68.771188625953,112.682024796066,-104.774748058381,-45.0442002011611,20.4355788940064,123.148723335726,-67.7770905549249
-69.0487604566584,112.7997185837,-104.828645387478,-45.1582678816522,20.3927866565251,123.322797969892,-67.7147267200314
-68.7706270363856,112.607105450661,-104.827261800512,-45.3818099181234,20.403158670788,123.206921000688,-67.974881348472
-69.0092184526191,112.790978548814,-104.823510288519,-45.2442693543663,20.377177325995,122.988111850668,-67.8939439607931
-68.956254885351,112.681756799462,-104.810602780379,-45.381807207022,20.4016785777388,123.147273740461,-67.7852158615199
-69.1523037956938,112.466672159123,-104.870478966608,-45.2318702698827,20.3762653477607,123.24816730377,-67.800029214658
-69.1615611910806,112.636400740664,-105.003335408149,-45.4026357279485,20.243029513402,123.025692233333,-67.7997866003595
-69.0539867588321,112.503858130554,-104.893304480614,-45.3795274722593,20.3850928744575,123.116453318175,-67.9487965281648
-69.0529823829537,112.699116914629,-104.904838911971,-45.1900677186318,20.2125897209405,123.017933648051,-68.0518187220087
-69.0688530646432,112.612420185693,-104.904073718909,-45.2089997570151,20.0721248680968,122.941447010807,-68.0431114453385
-68.9032651366939,112.596788203001,-104.99877283653,-45.3666919042876,20.2696452945835,123.052158933597,-67.8209376115857
-69.1430825171362,112.665092855343,-104.897804819698,-45.1727745907179,20.3196279192714,123.121114441568,-67.8976002087238
-69.2711707150178,112.503800300745,-104.966666765051,-45.3929261672533,20.3392420173359,123.065610882714,-67.9400326212723
-69.1405610531353,112.649089419236,-104.870458334559,-45.33901131537,20.2954801475293,123.047504573178,-67.9925785843419
-69.2320024725687,112.560217637777,-105.002910235507,-45.4290248649857,20.1377524118968,123.186801768473,-68.1166636562293
-69.3238563216668,112.415782853862,-105.049734943821,-45.4537966744118,20.3753320212863,122.842507697211,-67.9744846582874
-69.3058790238869,112.606499777096,-104.996585516161,-45.3432053339962,20.1124499472223,122.985927028627,-68.1954153614053
-69.1310051601961,112.544544730725,-105.048305837224,-45.2514857538734,19.9660860550924,123.047876798732,-68.0953228366708
-69.2494648958902,112.430401872675,-104.96552445949,-45.2372344251657,20.0665429163871,123.211995543935,-68.2004356134628
-69.1910415161879,112.50488704737,-105.102033914429,-45.3792118555078,20.0869290150002,123.091852140981,-68.1190411677688
-69.373387477228,112.493356212234,-104.941180003973,-45.3700914941088,20.0690573994035,122.961542333769,-68.1355094706757
-69.3665187866865,112.590797019008,-104.915623833904,-45.3167823908014,20.0603829076335,123.078455337716,-68.2333740426202
-69.3403674134138,112.32362375043,-105.188176388675,-45.3623408054019,20.0496740191829,123.07593829342,-68.1346048352952
-69.4317320479815,112.683011774715,-105.130277931719,-45.4170595526616,20.1458832909941,122.921897395793,-68.2850597079087
-69.3339375642308,112.515844568279,-105.048818278656,-45.3766232773395,20.1130298646931,123.143390491235,-68.3456516703619
-69.4960853385175,112.407416739018,-105.161021805327,-45.3933969118426,20.0596330176403,122.952750843581,-68.34337023955
-69.5139051502254,112.495432806636,-105.143260833869,-45.227921529008,19.884035966258,123.126969029511,-68.1451803375774
-69.4096866003733,112.418157369055,-105.146892439316,-45.4748937752609,20.0186883989926,123.147029404623,-68.3477345344992
-69.5127420077435,112.576542382313,-105.15654453739,-45.4262994063896,19.8268316840489,122.895539792087,-68.309042453305
-69.4679947928801,112.477290430402,-105.075237682443,-45.4963267366779,19.7211227214169,123.092629615911,-68.3082576765018
-69.3551806417577,112.438758862327,-105.187010367183,-45.4985362025739,19.8468600111085,123.104338355096,-68.55711710702
-69.4016188439604,112.421333335917,-105.266413461746,-45.5489195197076,19.6970194498612,123.133623931366,-68.5248627564935
-69.4197960345037,112.313555685241,-105.233348920603,-45.5811710871467,19.9446559561985,123.044984217643,-68.4873869605525
-69.6451654391251,112.488660444362,-105.337110737494,-45.5784193475765,19.7599822197157,123.167751211923,-68.3302624921868
-69.4569774776629,112.563442145662,-105.176686846875,-45.3356484500198,19.860944363306,122.894570442276,-68.4127451962898
-69.4562387674512,112.552212689214,-105.217726909675,-45.4670567907509,19.7886938262173,122.966338545296,-68.3660803056099
-69.5486670744638,112.513634769485,-105.211132833543,-45.5463232123194,19.674107123224,123.214514273931,-68.4906853814615
-69.6653729012575,112.332984698983,-105.132506926618,-45.5247355000737,19.7455404454419,122.937495812839,-68.6211821876179
-69.4684626855454,112.429674071548,-105.27438673937,-45.5163539729489,19.8610208364789,123.138150913291,-68.547793762789
-69.7525948593278,112.564058127266,-105.293002257919,-45.4844864052579,19.6854769104606,122.884070305895,-68.64176205914
-69.8102793809284,112.468992360342,-105.387187743183,-45.4614794657426,19.7011112641682,123.041098757103,-68.693311914242
-69.5808915921051,112.263683107821,-105.234081180486,-45.2247134208766,19.634888407667,122.9546979306,-68.6196093021205
-69.611816790336,112.073958686212,-105.321409020766,-45.601843710878,19.5447177086803,123.144890016976,-68.6296391274567
-69.7651645314668,112.280762793219,-105.277347153762,-45.5695307152775,19.5983571278441,122.917905331521,-68.6408236715959
-69.6218948101066,112.274419888819,-105.310034074629,-45.4583694786883,19.5970338378086,123.066819629017,-68.8431009451331
-69.6229555652718,112.314843479647,-105.377940946891,-45.5612634454558,19.5646286201722,122.859757082374,-68.8364815885666
-69.888376281782,112.474224341957,-105.490369281016,-45.5671870017745,19.4821749942496,122.965984260922,-68.7621981482589
-69.6347690673669,112.275278565807,-105.501184184454,-45.6096215601447,19.5529341116238,122.953639549775,-68.5813127396456
-69.7782950447454,112.267429301742,-105.462457880434,-45.5702628198938,19.4470900008599,122.915556863978,-68.6569538049204
-69.5477615041579,112.336150803827,-105.499289029311,-45.8625232094028,19.4765149239869,122.855877301357,-68.6617817020249
-69.8879581981599,112.397043881532,-105.481449841427,-45.628570214402,19.574315543873,123.010538114835,-68.6414054648654
-69.7213297856391,112.44269844556,-105.44637543392,-45.6493301213604,19.3792464882551,123.052715505057,-68.8706662772429
-69.6482137938489,112.442052867243,-105.469852397836,-45.688773314209,19.4114501721302,122.892350363551,-68.6701031763972
-69.6172800802362,112.388089880508,-105.348585140229,-45.5524946177241,19.3370447097555,122.944323431891,-68.8301704756781
-69.8573553866959,112.189213868213,-105.426717221801,-45.4987365660619,19.4882629814328,122.867097191287,-68.7395992615039
-69.8646921282882,112.055630833621,-105.510569165852,-45.530109216411,19.4371549120352,122.969376781112,-68.7253451623372
-69.9791876043077,112.038623211384,-105.478505035728,-45.6964988922552,19.3607799695394,122.864692948803,-68.8927940208762
-69.9389760361799,112.279377018117,-105.644467931226,-45.7429482370996,19.4132254522476,122.718325579491,-68.8383746327043
-69.9676561056062,112.291664757631,-105.577500742817,-45.5736603238586,19.2418098412003,122.741042795487,-68.7281525872854
-69.8796933109221,112.200090018032,-105.573249998683,-45.6796750888804,19.3577843647759,122.971436864329,-69.0269160941622
-69.9461556719892,112.204814758675,-105.478938399451,-45.5969354581511,19.1630692912902,122.829500375931,-69.2001778082356
-69.9542940646616,112.057208154842,-105.682025181965,-45.6031167957409,19.1738005137581,122.854919276421,-68.8236679610357
-69.978349135766,112.196378702454,-105.748419538222,-45.6149735958821,19.1751205579171,122.752167025983,-68.8558011761562
-70.004269008831,112.310844186119,-105.572764260953,-45.6265094181336,19.3049441025219,122.874698916602,-69.0742605344515
-70.0789148566275,112.17519721377,-105.564118926081,-45.6473263619138,19.3328276528451,122.828295298192,-69.1996873984008
-69.8725068015778,112.182242878464,-105.684163165428,-45.5926195291341,19.2773494385141,122.95956483521,-69.0622859937615
-69.9292551749608,112.162255634494,-105.769599329586,-45.7196626149104,19.1647648935691,122.723059633045,-69.0736361473029
-70.0148886260223,112.048770545386,-105.487519272652,-45.6058313358951,19.1673763808196,122.773732643405,-69.0514793249235
-70.0708090755232,111.970328995787,-105.674542901477,-45.7156531785136,19.0878618283896,122.992644636336,-69.145719829172
