pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575879.0414176,23119328.706942,22169526.4829808,21218521.6383436,20285877.8456771,23503750.0450396,23952213.9984478
22576235.7108908,23118734.0816075,22170072.4122646,21218756.421692,20285763.8092426,23503101.6122994,23952563.3548742
22576592.4904121,23118139.4042905,22170618.8524906,21218991.2665487,20285649.813933,23502453.1884923,23952912.9879643
22576949.3403914,23117544.5618092,22171164.9946188,21219226.2331059,20285535.8706213,23501804.3321314,23953262.7263034
22577306.0298894,23116949.8405151,22171711.2703334,21219461.0095001,20285422.3487807,23501155.7992022,23953612.539284
22577662.8310307,23116355.3319089,22172257.6606782,21219696.169543,20285308.7990564,23500507.4478795,23953962.378728
22578019.9117093,23115760.6843008,22172804.2857223,21219931.4213133,20285195.3642286,23499859.0286941,23954312.2405673
22578377.2022959,23115166.1964263,22173350.7132251,21220166.6975891,20285081.8390349,23499210.5902951,23954662.1827642
22578734.453648,23114571.8395827,22173897.5940902,21220401.7988043,20284968.2829143,23498562.2498719,23955012.2526483
22579091.7969214,23113977.5779135,22174444.3588141,21220636.9327271,20284855.0054704,23497913.9247024,23955362.7435794
22579449.0604316,23113383.2596896,22174991.1240607,21220872.1885084,20284741.9560333,23497265.3967846,23955713.2134459
22579806.4781175,23112788.8324531,22175538.1407525,21221107.5004663,20284628.6968564,23496616.9419372,23956063.8202406
22580164.0646657,23112194.4611169,22176085.180826,21221342.6356095,20284515.6231708,23495968.5433759,23956414.2478806
22580521.88263,23111600.1578267,22176632.2662013,21221577.9270365,20284402.5284687,23495320.4620406,23956765.0652733
22580879.7665684,23111005.8505837,22177179.4076246,21221813.3793868,20284289.7983499,23494672.1230375,23957115.929588
22581237.4867869,23110411.6019095,22177726.6297395,21222048.8687803,20284176.8765597,23494023.8667425,23957466.9802696
22581595.5267206,23109817.444833,22178273.8954897,21222284.2179191,20284064.4092706,23493375.7994207,23957817.7893262
22581953.5424296,23109223.4468959,22178821.2679778,21222519.5819051,20283952.0335713,23492727.456699,23958168.9261736
22582311.7491898,23108629.1259172,22179368.6334909,21222755.1970579,20283839.9537072,23492079.2049933,23958520.3737292
22582669.921413,23108035.2718711,22179915.9923403,21222990.7642731,20283727.9884572,23491431.2522724,23958871.723107
22583028.3482747,23107441.3461397,22180463.6522428,21223226.3374999,20283615.7951813,23490783.1921446,23959223.3323483
22583386.5316238,23106847.6122351,22181011.2881985,21223461.8059748,20283503.7411318,23490135.1302838,23959574.9395383
22583744.9433318,23106253.4427742,22181558.968155,21223697.6148201,20283391.8746964,23489487.0465882,23959926.5300377
22584103.2813297,23105659.5429075,22182106.7827688,21223933.4912932,20283280.0359954,23488838.9461001,23960278.5080552
22584461.9567262,23105065.6043874,22182654.3716837,21224169.4816085,20283168.5114835,23488190.8943567,23960630.4545767
22584820.6716736,23104471.697674,22183202.3931665,21224405.44807,20283056.8482001,23487542.9200798,23960982.5592899
22585179.4345989,23103877.9040335,22183750.2324103,21224641.4872034,20282945.3890901,23486894.9820046,23961334.714296
22585538.3033413,23103284.2611021,22184298.0454757,21224877.3585021,20282833.7639447,23486247.0109542,23961686.7526279
22585897.5863484,23102690.6568799,22184846.1333226,21225113.3345467,20282722.5614646,23485598.8466325,23962038.9648271
22586256.6335013,23102097.1015148,22185394.24117,21225349.465168,20282611.3998069,23484951.2223516,23962391.3088192
22586615.7829973,23101503.6565026,22185942.5802259,21225585.3759726,20282500.2058024,23484303.2154157,23962743.5892295
22586974.9487311,23100910.3359985,22186491.1283963,21225821.1984558,20282388.7664077,23483655.2235522,23963095.8622423
22587334.445331,23100316.7136585,22187039.5284932,21226057.2681249,20282277.8119839,23483007.0793665,23963448.5360834
22587693.7272165,23099723.3436181,22187587.9943609,21226293.3835099,20282166.7922279,23482359.1048808,23963801.2046357
22588053.07698,23099130.0839453,22188136.6040912,21226529.638762,20282056.1937569,23481711.2589586,23964153.826423
22588412.6914082,23098536.6417954,22188685.3348539,21226765.6380843,20281945.3915214,23481063.4956506,23964506.7341325
22588772.4124908,23097943.3227944,22189233.7427654,21227001.9202566,20281834.7715674,23480415.6808368,23964859.5200157
22589132.1601456,23097349.9750449,22189782.255167,21227238.3041249,20281724.101568,23479768.0499035,23965212.6036712
22589492.1143801,23096756.8619156,22190330.9943162,21227474.5399608,20281613.6652508,23479120.4449617,23965566.053373
22589852.0223426,23096163.7029085,22190879.9378976,21227710.6001598,20281503.4612663,23478472.5921012,23965919.4664381
22590212.084909,23095570.4292645,22191428.8137936,21227947.0321871,20281393.3057547,23477824.7954181,23966272.9057255
22590572.2705586,23094977.2989633,22191978.039134,21228183.5309934,20281283.2547637,23477176.8867608,23966626.2927789
22590932.382366,23094384.3307667,22192527.1375939,21228420.1523597,20281173.3508511,23476529.3173923,23966980.001247
22591292.2780048,23093790.9393915,22193076.4840731,21228656.7460087,20281063.6380766,23475881.6605632,23967333.7118522
22591652.7215401,23093197.7415394,22193625.8892637,21228893.512508,20280953.5621099,23475234.2012966,23967687.5928619
22592013.2427256,23092604.9308985,22194175.0307745,21229130.1694901,20280844.0247097,23474586.6374024,23968041.5739602
22592373.8078514,23092012.2040108,22194724.6235901,21229366.8231705,20280734.5802638,23473939.0629649,23968395.5219577
22592734.4913404,23091419.5804298,22195274.0099531,21229603.5226917,20280625.1454095,23473291.6570463,23968749.5614813
22593095.4185295,23090826.6787086,22195823.4119588,21229840.3381744,20280515.7916628,23472643.985326,23969103.8382537
22593456.3220819,23090233.8377284,22196372.8109066,21230077.003016,20280406.2274571,23471996.4962827,23969458.1600519
22593817.2428233,23089641.0151587,22196922.4918273,21230313.7552345,20280296.9035621,23471348.8393524,23969812.6676571
22594177.8649462,23089048.4770759,22197472.2193323,21230550.3364066,20280187.6775211,23470701.3420067,23970167.2437176
22594538.8693056,23088455.7654861,22198021.8080115,21230787.0033977,20280078.6134594,23470053.705508,23970521.9837086
22594899.9744456,23087862.9538751,22198571.4986597,21231023.9618426,20279969.9049422,23469406.4454955,23970876.9578428
22595261.3296853,23087270.3068611,22199121.1639019,21231261.1396286,20279861.4576012,23468758.6929683,23971231.6464861
22595622.7796313,23086677.6093614,22199670.8594411,21231498.2305949,20279752.68126,23468111.5263522,23971586.8322495
22595984.0085045,23086084.8688702,22200220.8709294,21231735.1967812,20279644.4267658,23467463.8848023,23971942.0591418
22596345.5465559,23085491.9958612,22200770.6278895,21231972.4151437,20279536.0741466,23466816.4050218,23972297.199335
22596707.1333593,23084899.4850954,22201320.6916802,21232209.5641161,20279427.7052541,23466168.8202635,23972652.2514981
22597068.7150147,23084306.9188307,22201870.9845125,21232446.5968381,20279319.514431,23465521.5559746,23973007.7750035
22597430.4997474,23083714.2615207,22202421.3934894,21232683.7688677,20279211.188583,23464874.2140359,23973363.5203436
22597792.2521804,23083121.8539662,22202971.7274474,21232920.8652443,20279103.1722808,23464226.8791966,23973719.1347774
22598154.2016744,23082529.3975255,22203522.0845652,21233158.1891517,20278995.2828712,23463579.7690337,23974074.8518398
22598516.1840452,23081937.0392744,22204072.3363052,21233395.6427758,20278887.586308,23462932.5594528,23974430.6320943
22598878.017982,23081344.6160947,22204623.0404621,21233632.9938815,20278780.0537117,23462285.2036338,23974786.8665478
22599239.9687176,23080752.3039473,22205173.6531295,21233870.2570711,20278672.4310976,23461638.1787661,23975142.7835972
22599602.0490715,23080160.0421823,22205724.082211,21234107.8804919,20278565.0305256,23460991.2222023,23975498.8666291
22599964.2997664,23079567.9371277,22206275.0609239,21234345.1387582,20278457.6223892,23460344.1989788,23975854.9629121
22600326.5773304,23078976.011756,22206825.9869452,21234582.8736874,20278350.2848167,23459697.0367707,23976211.2887518
22600689.2211948,23078383.8922473,22207377.0663745,21234820.5188051,20278242.8660181,23459049.9492494,23976567.6402481
22601051.9373972,23077791.935502,22207928.0194182,21235058.1261795,20278135.7469966,23458402.7606261,23976924.3247531
22601414.6229767,23077200.1548585,22208478.9080165,21235295.8662199,20278028.6842063,23457755.7919363,23977280.9986811
22601777.3847183,23076608.1106888,22209030.179945,21235533.5794509,20277921.7597928,23457108.9568164,23977637.6436049
22602140.3123961,23076016.0925252,22209581.4200394,21235771.4771391,20277814.8004581,23456461.8917761,23977994.322174
22602503.2091476,23075424.4492038,22210132.4828515,21236009.0030712,20277708.163313,23455814.6681489,23978351.4449454
22602866.0806813,23074832.4857817,22210683.9119412,21236246.6709611,20277601.4928537,23455167.596897,23978708.5925576
22603229.1721926,23074240.7212352,22211235.0755559,21236484.50191,20277495.2124863,23454520.7364843,23979065.7096858
22603592.1954234,23073648.7617057,22211786.5730466,21236722.3498783,20277389.1278751,23453873.7095384,23979422.9440032
22603955.6504523,23073056.9780398,22212338.1360319,21236960.2565234,20277282.8933398,23453226.6666863,23979780.3321361
22604318.9208129,23072465.2171569,22212889.553237,21237198.2678415,20277176.5778224,23452579.8905739,23980137.4618354
22604682.0448328,23071873.7034077,22213441.3252112,21237435.9209498,20277070.4977913,23451933.2383106,23980495.0353
22605045.51306,23071281.9489851,22213992.9212316,21237674.1580952,20276964.5803654,23451286.2550047,23980852.6291281
22605409.1400888,23070690.6535133,22214544.4591047,21237912.0667805,20276858.7225297,23450639.2588245,23981210.4941877
22605772.992537,23070099.016924,22215096.1981194,21238150.2023066,20276752.8467495,23449992.3809074,23981568.1639209
22606136.6229901,23069507.646832,22215647.640089,21238388.3347461,20276647.0607929,23449345.6331493,23981925.8489852
22606500.4848569,23068916.2390002,22216199.6561121,21238626.403363,20276541.2580764,23448698.89848,23982283.8054049
22606864.4247029,23068324.833971,22216751.5950132,21238864.574262,20276435.6655468,23448052.2463837,23982642.3062555
22607228.3536298,23067733.4414807,22217303.4458377,21239102.7909455,20276330.3715547,23447405.842831,23983000.5314248
22607592.7814033,23067142.4006111,22217855.5823945,21239340.862346,20276224.9448631,23446759.1562467,23983358.757039
22607957.1292853,23066551.1540182,22218407.7850313,21239579.1653867,20276119.9265755,23446112.4656802,23983717.2733128
22608321.5234261,23065959.7377024,22218959.9960605,21239817.5624428,20276014.863562,23445465.7963578,23984075.9053783
22608685.9149439,23065368.5927602,22219512.515054,21240056.0076599,20275909.8543035,23444818.8057452,23984434.5843641
22609050.3619147,23064777.6074734,22220065.04404,21240294.3666809,20275804.8684876,23444172.1275192,23984793.3781204
22609414.6678317,23064186.6322729,22220617.5543596,21240532.8548653,20275700.0448814,23443525.7477902,23985152.1009424
22609779.3953124,23063595.5728685,22221170.0457244,21240771.3384536,20275595.3749237,23442879.2889145,23985511.0306884
22610144.0243091,23063004.3428066,22221722.5099215,21241010.0161558,20275490.6299679,23442232.7731966,23985870.2331641
22610509.1344404,23062413.1603613,22222275.2301394,21241248.6779293,20275385.8063792,23441586.4140605,23986229.3275191
22610874.0241435,23061821.9821813,22222827.9624801,21241487.5005964,20275281.5073952,23440939.8293641,23986588.6168564
22611238.8336583,23061231.2065986,22223380.8994717,21241726.2063164,20275177.2515934,23440292.9965374,23986948.0838518
22611603.8477734,23060640.1489459,22223933.868781,21241965.0665536,20275072.9948145,23439646.3864478,23987307.4089682
22611969.0247486,23060049.3160042,22224486.8027271,21242204.0078486,20274968.7730993,23439000.0691689,23987666.9682252
22612334.0972515,23059458.5463755,22225039.8950478,21242442.8717338,20274864.7870704,23438353.6152543,23988026.6124422
22612699.5743495,23058867.9642602,22225592.8279143,21242681.5637078,20274760.8124719,23437707.3218995,23988386.2293757
22613065.0385518,23058277.3828794,22226146.0932866,21242920.4663349,20274657.1747294,23437061.0618854,23988746.0557403
22613430.4159418,23057686.8749412,22226699.2867881,21243159.208495,20274553.6083142,23436414.8031817,23989106.2272271
22613795.8091584,23057096.2878199,22227252.6496901,21243398.0575796,20274450.0861282,23435768.6739319,23989466.3057822
22614161.3882753,23056505.8312739,22227806.1759443,21243637.1031131,20274346.4238602,23435122.243449,23989826.4597089
22614527.1771196,23055915.2773414,22228359.7437091,21243876.014317,20274242.9540443,23434475.9901683,23990186.6575565
22614892.6658445,23055324.8400017,22228913.3845704,21244114.9041878,20274139.5762666,23433830.03543,23990546.8881418
