pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7,pr1_8,pr1_9,pr1_10,pr1_11,pr1_12,pr1_13,pr1_14,pr1_15,pr1_16,pr1_17,pr1_18,pr1_19,pr1_20,pr1_21,pr1_22,pr1_23,pr1_24,pr1_25,pr1_26,pr1_27,pr1_28,pr1_29,pr1_30,pr1_31,pr1_32,pr1_33,pr1_34,pr1_35,pr1_36,pr1_37,pr1_38,pr1_39,pr1_40,pr1_41,pr1_42,pr1_43,pr1_44,pr1_45,pr1_46,pr1_47,pr1_48,pr1_49,pr1_50,pr1_51,pr1_52,pr1_53,pr1_54,pr1_55,pr1_56,pr1_57,pr1_58,pr1_59,pr1_60,pr1_61,pr1_62,pr1_63,pr1_64,pr1_65,pr1_66,pr1_67,pr1_68,pr1_69,pr1_70,pr1_71,pr1_72,pr1_73,pr1_74,pr1_75,pr1_76,pr1_77,pr1_78,pr1_79,pr1_80,pr1_81,pr1_82,pr1_83,pr1_84,pr1_85,pr1_86,pr1_87,pr1_88,pr1_89,pr1_90,pr1_91,pr1_92,pr1_93,pr1_94,pr1_95,pr1_96,pr1_97,pr1_98,pr1_99,pr1_100,pr1_101,pr1_102,pr1_103,pr1_104,pr1_105,pr1_106,pr1_107,pr1_108,pr1_109,pr1_110,pr1_111,pr1_112,pr1_113,pr1_114,pr1_115,pr1_116,pr1_117,pr1_118,pr1_119,pr1_120,pr1_121,pr1_122,pr1_123,pr1_124,pr1_125,pr1_126,pr1_127,pr1_128,pr1_129,pr1_130,pr1_131,pr1_132,pr1_133,pr1_134,pr1_135,pr1_136,pr1_137,pr1_138,pr1_139,pr1_140,pr1_141,pr1_142,pr1_143,pr1_144,pr1_145,pr1_146,pr1_147,pr1_148,pr1_149,pr1_150,pr1_151,pr1_152,pr1_153,pr1_154,pr1_155,pr1_156,pr1_157,pr1_158
23521953.623,25067275.621,21504290.722,24192325.886,NaN,22066246.511,NaN,NaN,24755281.731,NaN,NaN,NaN,NaN,21486722.983,NaN,NaN,20608464.236,NaN,20952713.281,NaN,NaN,24022152.673,NaN,NaN,NaN,NaN,NaN,20926431.316,NaN,NaN,NaN,NaN,NaN,NaN,21470478.531,20600288.962,23207371.045,NaN,NaN,NaN,21479926.091,22162233.134,NaN,NaN,NaN,NaN,NaN,23642504.386,NaN,22055046.364,20281553.459,22275536.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26496357.129,NaN,NaN,NaN,NaN,NaN,NaN,22038217.525,23553400.847,NaN,NaN,NaN,NaN,NaN,NaN,26485834.69,NaN,NaN,NaN,NaN,26030797.687,24825315.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26723693.707,37580829.851,38578881.575,37444687.17,38049928.394,NaN,NaN,36361722.274,36808192.722,NaN,36204513.555,NaN,NaN,37506546.703,NaN,NaN,NaN,NaN,NaN,22324402.718,24169705.915,NaN,25311139.497,NaN,25991522.174,NaN,24680067.58,NaN,NaN,23040691.132,NaN,NaN,NaN,NaN,NaN,22093607.711,NaN,NaN,36634858.994,NaN,35897785.74,NaN,NaN,NaN,24980307.026,26076881.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43165047.225,26386271.811,NaN,37439212.776,38854048.265,NaN,NaN,NaN
23522513.89,25066851.79,21504665.056,24191901.436,NaN,22065907.167,NaN,NaN,24754729.127,NaN,NaN,NaN,NaN,21487215.486,NaN,NaN,20608333.601,NaN,20952341.919,NaN,NaN,24022758.095,NaN,NaN,NaN,NaN,NaN,20926634.007,NaN,NaN,NaN,NaN,NaN,NaN,21470749.886,20599846.213,23206547.748,NaN,NaN,NaN,21480381.285,22162090.558,NaN,NaN,NaN,NaN,NaN,23643267.886,NaN,22055419.514,20281579.588,22275126.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26495902.085,NaN,NaN,NaN,NaN,NaN,NaN,22038160.92,23553679.197,NaN,NaN,NaN,NaN,NaN,NaN,26485791.048,NaN,NaN,NaN,NaN,26031336.272,24825427.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26723371.798,37580829.824,38578873.95,37444680.14,38049928.802,NaN,NaN,36361908.806,36808206.579,NaN,36204594.753,NaN,NaN,37506506.525,NaN,NaN,NaN,NaN,NaN,22324118.647,24169979.934,NaN,25310494.248,NaN,25991490.666,NaN,24680430.385,NaN,NaN,23040972.26,NaN,NaN,NaN,NaN,NaN,22093469.286,NaN,NaN,36634838.557,NaN,35897894.332,NaN,NaN,NaN,24979861.861,26077426.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43165246.113,26385946.244,NaN,37439213.705,38854047.154,NaN,NaN,NaN
23523074.165,25066428.035,21505039.51,24191477.024,NaN,22065567.892,NaN,NaN,24754176.549,NaN,NaN,NaN,NaN,21487708.083,NaN,NaN,20608203.041,NaN,20951970.627,NaN,NaN,24023363.573,NaN,NaN,NaN,NaN,NaN,20926836.82,NaN,NaN,NaN,NaN,NaN,NaN,21471021.405,20599403.6,23205724.478,NaN,NaN,NaN,21480836.614,22161948.15,NaN,NaN,NaN,NaN,NaN,23644031.383,NaN,22055792.722,20281605.759,22274717.178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26495447.092,NaN,NaN,NaN,NaN,NaN,NaN,22038104.353,23553957.572,NaN,NaN,NaN,NaN,NaN,NaN,26485747.517,NaN,NaN,NaN,NaN,26031874.912,24825540.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26723049.912,37580829.813,38578866.348,37444673.134,38049929.22,NaN,NaN,36362095.373,36808220.457,NaN,36204676.003,NaN,NaN,37506466.375,NaN,NaN,NaN,NaN,NaN,22323834.688,24170254.069,NaN,25309849.027,NaN,25991459.3,NaN,24680793.256,NaN,NaN,23041253.44,NaN,NaN,NaN,NaN,NaN,22093330.916,NaN,NaN,36634818.143,NaN,35898002.977,NaN,NaN,NaN,24979416.724,26077972.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43165445.039,26385620.697,NaN,37439214.655,38854046.053,NaN,NaN,NaN
23523634.476,25066004.349,21505414.097,24191052.714,NaN,22065228.692,NaN,NaN,24753623.957,NaN,NaN,NaN,NaN,21488200.79,NaN,NaN,20608072.57,NaN,20951599.42,NaN,NaN,24023969.12,NaN,NaN,NaN,NaN,NaN,20927039.779,NaN,NaN,NaN,NaN,NaN,NaN,21471293.112,20598961.161,23204901.248,NaN,NaN,NaN,21481292.074,22161805.932,NaN,NaN,NaN,NaN,NaN,23644794.915,NaN,22056165.971,20281632.026,22274307.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26494992.153,NaN,NaN,NaN,NaN,NaN,NaN,22038047.838,23554235.972,NaN,NaN,NaN,NaN,NaN,NaN,26485704.102,NaN,NaN,NaN,NaN,26032413.604,24825652.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26722728.069,37580829.827,38578858.774,37444666.157,38049929.671,NaN,NaN,36362282,36808234.38,NaN,36204757.306,NaN,NaN,37506426.269,NaN,NaN,NaN,NaN,NaN,22323550.854,24170528.33,NaN,25309203.86,NaN,25991428.057,NaN,24681156.218,NaN,NaN,23041534.688,NaN,NaN,NaN,NaN,NaN,22093192.608,NaN,NaN,36634797.778,NaN,35898111.688,NaN,NaN,NaN,24978971.606,26078517.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43165644.03,26385295.209,NaN,37439215.631,38854044.977,NaN,NaN,NaN
23524194.78,25065580.672,21505788.769,24190628.409,NaN,22064889.54,NaN,NaN,24753071.348,NaN,NaN,NaN,NaN,21488693.583,NaN,NaN,20607942.152,NaN,20951228.261,NaN,NaN,24024574.699,NaN,NaN,NaN,NaN,NaN,20927242.842,NaN,NaN,NaN,NaN,NaN,NaN,21471564.967,20598518.879,23204078.02,NaN,NaN,NaN,21481747.652,22161663.873,NaN,NaN,NaN,NaN,NaN,23645558.445,NaN,22056539.251,20281658.262,22273898.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26494537.253,NaN,NaN,NaN,NaN,NaN,NaN,22037991.343,23554514.378,NaN,NaN,NaN,NaN,NaN,NaN,26485660.762,NaN,NaN,NaN,NaN,26032952.328,24825765.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26722406.229,37580829.839,38578851.195,37444659.171,38049930.115,NaN,NaN,36362468.652,36808248.304,NaN,36204838.628,NaN,NaN,37506386.167,NaN,NaN,NaN,NaN,NaN,22323267.107,24170802.684,NaN,25308558.694,NaN,25991396.881,NaN,24681519.223,NaN,NaN,23041815.963,NaN,NaN,NaN,NaN,NaN,22093054.328,NaN,NaN,36634777.41,NaN,35898220.421,NaN,NaN,NaN,24978526.481,26079062.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43165843.048,26384969.733,NaN,37439216.604,38854043.899,NaN,NaN,NaN
23524755.037,25065156.982,21506163.524,24190204.132,NaN,22064550.405,NaN,NaN,24752518.714,NaN,NaN,NaN,NaN,21489186.435,NaN,NaN,20607811.761,NaN,20950857.118,NaN,NaN,24025180.284,NaN,NaN,NaN,NaN,NaN,20927445.977,NaN,NaN,NaN,NaN,NaN,NaN,21471836.947,20598076.698,23203254.778,NaN,NaN,NaN,21482203.312,22161521.938,NaN,NaN,NaN,NaN,NaN,23646321.937,NaN,22056912.52,20281684.515,22273488.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26494082.347,NaN,NaN,NaN,NaN,NaN,NaN,22037934.828,23554792.758,NaN,NaN,NaN,NaN,NaN,NaN,26485617.486,NaN,NaN,NaN,NaN,26033491.05,24825878.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26722084.371,37580829.815,38578843.595,37444652.15,38049930.527,NaN,NaN,36362655.295,36808262.217,NaN,36204919.949,NaN,NaN,37506346.035,NaN,NaN,NaN,NaN,NaN,22322983.426,24171077.095,NaN,25307913.532,NaN,25991365.79,NaN,24681882.257,NaN,NaN,23042097.237,NaN,NaN,NaN,NaN,NaN,22092916.045,NaN,NaN,36634757.018,NaN,35898329.155,NaN,NaN,NaN,24978081.344,26079608.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43166042.062,26384644.24,NaN,37439217.546,38854042.79,NaN,NaN,NaN
23525315.303,25064733.255,21506538.379,24189779.902,NaN,22064211.302,NaN,NaN,24751966.057,NaN,NaN,NaN,NaN,21489679.366,NaN,NaN,20607681.421,NaN,20950486.028,NaN,NaN,24025785.904,NaN,NaN,NaN,NaN,NaN,20927649.208,NaN,NaN,NaN,NaN,NaN,NaN,21472109.075,20597634.638,23202431.526,NaN,NaN,NaN,21482659.09,22161380.164,NaN,NaN,NaN,NaN,NaN,23647085.401,NaN,22057285.816,20281710.839,22273079.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26493627.47,NaN,NaN,NaN,NaN,NaN,NaN,22037878.332,23555071.141,NaN,NaN,NaN,NaN,NaN,NaN,26485574.278,NaN,NaN,NaN,NaN,26034029.799,24825990.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26721762.527,37580829.788,38578835.978,37444645.133,38049930.946,NaN,NaN,36362841.967,36808276.126,NaN,36205001.29,NaN,NaN,37506305.92,NaN,NaN,NaN,NaN,NaN,22322699.843,24171351.603,NaN,25307268.367,NaN,25991334.782,NaN,24682245.345,NaN,NaN,23042378.541,NaN,NaN,NaN,NaN,NaN,22092777.797,NaN,NaN,36634736.637,NaN,35898437.922,NaN,NaN,NaN,24977636.193,26080153.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43166241.098,26384318.765,NaN,37439218.478,38854041.676,NaN,NaN,NaN
23525875.612,25064309.633,21506913.38,24189355.743,NaN,22063872.3,NaN,NaN,24751413.454,NaN,NaN,NaN,NaN,21490172.433,NaN,NaN,20607551.177,NaN,20950115.026,NaN,NaN,24026391.627,NaN,NaN,NaN,NaN,NaN,20927852.609,NaN,NaN,NaN,NaN,NaN,NaN,21472381.434,20597192.765,23201608.328,NaN,NaN,NaN,21483115.027,22161238.587,NaN,NaN,NaN,NaN,NaN,23647848.896,NaN,22057659.182,20281737.233,22272669.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26493172.67,NaN,NaN,NaN,NaN,NaN,NaN,22037821.907,23555349.577,NaN,NaN,NaN,NaN,NaN,NaN,26485531.202,NaN,NaN,NaN,NaN,26034568.63,24826103.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26721440.741,37580829.803,38578828.393,37444638.154,38049931.395,NaN,NaN,36363028.7,36808290.083,NaN,36205082.718,NaN,NaN,37506265.853,NaN,NaN,NaN,NaN,NaN,22322416.389,24171626.255,NaN,25306623.26,NaN,25991303.913,NaN,24682608.535,NaN,NaN,23042659.922,NaN,NaN,NaN,NaN,NaN,22092639.629,NaN,NaN,36634716.314,NaN,35898546.762,NaN,NaN,NaN,24977191.079,26080698.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43166440.209,26383993.354,NaN,37439219.452,38854040.607,NaN,NaN,NaN
23526435.924,25063886.023,21507288.475,24188931.645,NaN,22063533.341,NaN,NaN,24750860.802,NaN,NaN,NaN,NaN,21490665.581,NaN,NaN,20607420.996,NaN,20949744.082,NaN,NaN,24026997.375,NaN,NaN,NaN,NaN,NaN,20928056.119,NaN,NaN,NaN,NaN,NaN,NaN,21472653.922,20596751.023,23200785.143,NaN,NaN,NaN,21483571.078,22161097.162,NaN,NaN,NaN,NaN,NaN,23648612.372,NaN,22058032.576,20281763.63,22272260.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26492717.906,NaN,NaN,NaN,NaN,NaN,NaN,22037765.508,23555628.02,NaN,NaN,NaN,NaN,NaN,NaN,26485488.208,NaN,NaN,NaN,NaN,26035107.487,24826216.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26721118.971,37580829.811,38578820.837,37444631.181,38049931.848,NaN,NaN,36363215.47,36808304.048,NaN,36205164.172,NaN,NaN,37506225.809,NaN,NaN,NaN,NaN,NaN,22322133.039,24171901,NaN,25305978.166,NaN,25991273.132,NaN,24682971.785,NaN,NaN,23042941.341,NaN,NaN,NaN,NaN,NaN,22092501.497,NaN,NaN,36634695.996,NaN,35898655.638,NaN,NaN,NaN,24976745.979,26081244.254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43166639.357,26383667.951,NaN,37439220.435,38854039.545,NaN,NaN,NaN
23526996.207,25063462.426,21507663.662,24188507.57,NaN,22063194.413,NaN,NaN,24750308.127,NaN,NaN,NaN,NaN,21491158.797,NaN,NaN,20607290.85,NaN,20949373.169,NaN,NaN,24027603.147,NaN,NaN,NaN,NaN,NaN,20928259.716,NaN,NaN,NaN,NaN,NaN,NaN,21472926.558,20596309.395,23199961.937,NaN,NaN,NaN,21484027.241,22160955.92,NaN,NaN,NaN,NaN,NaN,23649375.826,NaN,22058405.983,20281790.064,22271850.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26492263.155,NaN,NaN,NaN,NaN,NaN,NaN,22037709.11,23555906.453,NaN,NaN,NaN,NaN,NaN,NaN,26485445.283,NaN,NaN,NaN,NaN,26035646.361,24826329.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26720797.195,37580829.804,38578813.26,37444624.186,38049932.287,NaN,NaN,36363402.238,36808318.01,NaN,36205245.646,NaN,NaN,37506185.757,NaN,NaN,NaN,NaN,NaN,22321849.763,24172175.834,NaN,25305333.075,NaN,25991242.442,NaN,24683335.08,NaN,NaN,23043222.789,NaN,NaN,NaN,NaN,NaN,22092363.373,NaN,NaN,36634675.672,NaN,35898764.529,NaN,NaN,NaN,24976300.852,26081789.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43166838.522,26383342.555,NaN,37439221.393,38854038.465,NaN,NaN,NaN
