pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575897.7237929,23119403.9286106,22169468.5952556,21218527.7279458,20285889.0596738,23503684.2665537,23952227.8609182
22576254.3874916,23118809.164656,22170015.0191593,21218762.5483193,20285775.0131712,23503035.865158,23952577.413689
22576610.9283398,23118214.394726,22170561.3065832,21218997.6102228,20285661.2194351,23502387.3453635,23952927.2048771
22576967.6083156,23117619.4367874,22171107.7305953,21219232.577301,20285547.391803,23501738.961264,23953277.0536989
22577324.5022893,23117024.7952142,22171654.0751939,21219467.5987459,20285433.675162,23501090.387408,23953626.9830504
22577681.5408512,23116430.0337004,22172200.5770245,21219702.7800952,20285319.9488129,23500442.0118979,23953977.0516954
22578038.6379487,23115835.6120109,22172747.2515185,21219938.0330331,20285206.4412976,23499793.6425344,23954327.033886
22578395.818391,23115241.1214811,22173293.8512492,21220173.2752443,20285093.204842,23499145.33044,23954677.203883
22578753.2977045,23114646.5675456,22173840.3322339,21220408.1017404,20284979.9510919,23498497.0365763,23955027.560538
22579110.4205292,23114051.8864066,22174386.9088185,21220643.2146291,20284866.7125672,23497848.6610476,23955378.1314037
22579467.8235472,23113457.7997171,22174933.6616045,21220878.3592484,20284753.2105461,23497200.3963377,23955728.5695823
22579825.3918561,23112863.4600352,22175480.8173228,21221113.6474727,20284639.9598093,23496552.1488897,23956078.9641801
22580182.8406917,23112269.322445,22176027.8157256,21221348.9523092,20284527.2688605,23495904.3098287,23956429.580718
22580540.4229846,23111675.2441072,22176574.7557857,21221584.7364048,20284414.4770224,23495256.092173,23956780.2152535
22580898.167372,23111081.1732337,22177121.9122315,21221820.0548609,20284301.696602,23494608.0793081,23957130.9853884
22581256.035424,23110487.0990875,22177668.8748128,21222055.6223123,20284188.9638608,23493959.5744082,23957481.8374513
22581613.709189,23109892.9869724,22178216.1012024,21222291.2080883,20284076.2516796,23493311.4232883,23957832.8359695
22581971.6495491,23109298.8862082,22178763.6688714,21222526.7070222,20283963.9562892,23492663.4905349,23958183.7735288
22582329.8040934,23108704.9179498,22179311.1132968,21222761.9464599,20283851.6367989,23492015.3653447,23958535.1814647
22582687.9236043,23108110.886004,22179858.6895208,21222997.187997,20283739.1363003,23491367.0950599,23958886.5941184
22583046.337133,23107516.783111,22180406.3458511,21223232.6156584,20283627.0002326,23490718.7609766,23959237.8211439
22583404.4036936,23106922.7977323,22180953.99966,21223468.33152,20283514.8789558,23490070.5726556,23959589.3981137
22583762.8074954,23106328.9359382,22181501.6551998,21223704.1767572,20283402.9280701,23489422.6765177,23959941.242576
22584121.3444343,23105735.0151949,22182049.3838294,21223939.7769774,20283290.8882565,23488774.3463822,23960292.9779651
22584479.8913717,23105141.274969,22182597.0258859,21224175.5716655,20283179.1751548,23488126.1745314,23960644.714233
22584838.7333214,23104547.5934279,22183145.1197957,21224411.5065733,20283067.4487174,23487477.9869749,23960996.6603342
22585197.4766233,23103953.8912243,22183693.1002019,21224647.406041,20282955.7867858,23486829.9233496,23961348.8124277
22585556.4573987,23103360.3816166,22184241.0875179,21224883.4529848,20282844.346009,23486181.9922439,23961700.9914847
22585915.5161652,23102766.4728567,22184789.0529822,21225119.3201914,20282733.0963556,23485534.1670112,23962053.3365626
22586274.4661622,23102172.6030763,22185337.1844686,21225355.472518,20282621.7058749,23484886.0340226,23962405.6310746
22586633.816109,23101578.8515527,22185885.6313506,21225591.4226762,20282510.3530278,23484238.3921997,23962758.1638734
22586993.0763665,23100985.055051,22186433.8204938,21225827.1886668,20282399.5136991,23483590.4777788,23963110.8286017
22587352.2541731,23100391.506119,22186982.1756772,21226063.1164611,20282288.7210524,23482942.530014,23963463.3665439
22587711.7843705,23099798.0893491,22187530.3113664,21226299.232752,20282177.8411056,23482294.6134803,23963816.0154636
22588071.3916496,23099204.7307903,22188078.9530345,21226535.3636262,20282067.1541862,23481646.9262975,23964168.9681074
22588431.218922,23098611.2630015,22188627.3053276,21226771.6065338,20281956.1737389,23480999.2151254,23964521.9749301
22588790.8873722,23098017.9868149,22189175.9433934,21227007.7357711,20281845.7967423,23480351.2379976,23964874.9536444
22589150.6069073,23097424.523094,22189724.7963317,21227243.9714238,20281735.42525,23479703.2214079,23965228.0535343
22589510.6338201,23096831.3500905,22190273.7083039,21227480.280054,20281625.2910836,23479055.5462761,23965581.1998155
22589870.7853675,23096238.2682917,22190822.5026144,21227716.7482532,20281514.9961114,23478407.8265913,23965934.5188393
22590230.5895873,23095645.2325354,22191371.4385944,21227953.012875,20281404.8028761,23477760.1091504,23966288.2528389
22590590.7504873,23095051.7928718,22191920.3673329,21228189.4092719,20281294.6470118,23477112.3901113,23966641.7319548
22590950.8273155,23094458.6120615,22192469.4771611,21228425.6880256,20281184.7795811,23476464.853527,23966995.4701128
22591311.0939454,23093865.4754453,22193018.7614162,21228662.2627424,20281074.8612714,23475817.2233604,23967349.2805213
22591671.4417882,23093272.2563273,22193567.9648129,21228898.9713801,20280965.0319689,23475169.6908703,23967703.3503424
22592031.9380159,23092679.2313296,22194117.3270417,21229135.9288623,20280855.4081998,23474521.9357443,23968057.2438546
22592392.4394037,23092086.2074366,22194666.7586605,21229372.5402111,20280745.6840032,23473874.349268,23968411.2917911
22592753.1900659,23091493.243496,22195216.2320521,21229609.2540838,20280636.4646334,23473227.0348614,23968765.5741597
22593113.9664436,23090900.4079377,22195765.7512693,21229845.8154603,20280527.1545112,23472579.2360664,23969119.8530821
22593474.4667544,23090307.4347901,22196314.9944138,21230082.2630032,20280418.0634068,23471931.6722553,23969474.1622478
22593835.2138307,23089714.5850756,22196864.2589596,21230319.0076741,20280308.8344247,23471284.1305247,23969828.6413881
22594196.3950107,23089121.7416091,22197414.1083838,21230555.7076572,20280199.7425886,23470636.5686304,23970183.3540921
22594557.3550227,23088529.0697778,22197963.6432332,21230792.7806374,20280090.6971849,23469988.982038,23970538.1526814
22594918.3075584,23087936.4058653,22198513.5138209,21231029.8066171,20279981.9166729,23469341.6329767,23970892.9881098
22595279.2416435,23087343.7859295,22199063.2138931,21231266.927361,20279873.1488036,23468694.2986697,23971247.8318944
22595640.4839682,23086751.2392577,22199613.2011597,21231503.7020974,20279764.5136654,23468046.7107554,23971602.8221182
22596001.8423328,23086158.6519102,22200163.2608508,21231740.9139547,20279655.9636377,23467399.4710069,23971957.8072707
22596363.1316147,23085566.1089244,22200713.1038022,21231977.9024872,20279547.6761367,23466752.0804881,23972313.0569972
22596724.4408208,23084973.6003444,22201263.4110119,21232215.2805879,20279439.2610288,23466104.5810775,23972668.1614844
22597086.0518352,23084381.2815797,22201813.4580359,21232452.2524236,20279331.178919,23465457.265249,23973023.5655586
22597447.6429563,23083789.0403124,22202363.5873963,21232689.444169,20279222.8601415,23464809.9301686,23973378.9856947
22597809.3254073,23083196.8777437,22202914.0712107,21232926.8166419,20279114.8505347,23464162.7348924,23973734.4407928
22598171.113649,23082604.317867,22203464.421607,21233164.1712549,20279007.0392199,23463515.3570526,23974090.2993515
22598533.0440065,23082011.9869701,22204014.8680287,21233401.4810776,20278899.3356397,23462868.2379894,23974445.9165259
22598894.9285179,23081419.8999594,22204565.3575885,21233638.7188001,20278791.5707419,23462221.3642174,23974801.6590306
22599257.0223006,23080827.5435102,22205115.7057557,21233875.9027196,20278684.0809315,23461574.0819823,23975157.8558141
22599619.3323214,23080235.4544989,22205666.3600748,21234113.3144537,20278576.4355097,23460926.8607846,23975513.7456933
22599981.7025116,23079643.3820273,22206216.9779645,21234351.0728791,20278468.7221057,23460279.931583,23975869.974854
22600343.9363725,23079051.1159656,22206768.0304264,21234588.4584279,20278361.1681836,23459632.4478521,23976226.4897977
22600706.5613587,23078458.8196152,22207318.6949359,21234825.9114952,20278254.0110872,23458985.4260342,23976582.875956
22601069.0395468,23077866.8989634,22207869.490678,21235063.469667,20278146.7627947,23458338.1275099,23976939.7513452
22601431.7156572,23077275.0928377,22208420.4820991,21235300.9160294,20278039.6476163,23457691.1424166,23977296.4690746
22601794.4331051,23076682.968329,22208971.4564568,21235538.3539432,20277932.7935742,23457043.9742463,23977653.2866133
22602157.3824375,23076091.1520487,22209522.6565853,21235776.0211886,20277826.0570582,23456397.0378178,23978010.1195637
22602520.1393112,23075499.1608986,22210073.9752306,21236013.6598012,20277719.3606678,23455750.1061867,23978367.2243846
22602883.0708558,23074907.4464254,22210625.3404206,21236251.3500808,20277612.6861222,23455102.8472283,23978724.2103077
22603246.1989909,23074315.4113953,22211176.598139,21236488.8291866,20277506.1640091,23454455.7683197,23979081.311141
22603609.4063479,23073723.7093624,22211728.0484408,21236726.6561253,20277399.8261263,23453808.8929024,23979438.7437717
22603972.4922861,23073132.2125407,22212279.4815385,21236964.5464359,20277293.4976874,23453162.0812628,23979795.9986948
22604335.91427,23072540.5347395,22212830.853938,21237202.3045526,20277187.5167195,23452514.9636227,23980153.2748416
22604699.2754063,23071949.0273186,22213382.7223003,21237440.150188,20277081.6360743,23451867.9651814,23980510.5885479
22605062.9062733,23071357.2806946,22213934.2374142,21237678.4656022,20276975.6806318,23451221.1759998,23980868.4826448
22605426.6832972,23070765.7312848,22214486.0667636,21237916.4058168,20276869.9076556,23450574.3870259,23981226.3948711
22605790.6988188,23070174.1411968,22215037.6337513,21238154.6462441,20276763.9304639,23449927.6210135,23981584.2331105
22606154.3596732,23069582.6782353,22215589.7651394,21238392.7303239,20276658.1420926,23449280.5676078,23981942.2190988
22606518.2873431,23068991.0961562,22216141.5411471,21238630.7994936,20276552.3673702,23448633.9100436,23982300.3547005
22606882.1039485,23068399.6041856,22216693.5051775,21238868.9635266,20276446.9515403,23447987.1798331,23982658.5846967
22607246.3750734,23067808.1498489,22217245.6972176,21239107.2607534,20276341.6212906,23447340.6005238,23983016.897511
22607610.5503338,23067216.6482786,22217797.9711024,21239345.4129832,20276236.2670187,23446693.6228606,23983375.3550972
22607974.6163018,23066625.5238431,22218350.1099173,21239583.6298379,20276130.9417187,23446046.6553625,23983733.8532116
22608338.9202654,23066034.3616424,22218902.6787315,21239821.9475374,20276025.7111903,23445399.9730301,23984092.4217393
22608703.0886403,23065443.3060758,22219454.9657406,21240060.4885867,20275920.6307528,23444753.476995,23984450.7857265
22609067.5345303,23064852.1935556,22220007.2397276,21240298.7527721,20275816.0153018,23444107.047606,23984809.5140343
22609432.0832643,23064261.0286173,22220559.8499307,21240537.2261025,20275711.398605,23443460.3887956,23985168.6046902
22609796.7213208,23063670.0856205,22221112.2583428,21240775.6520191,20275606.6283114,23442813.4959984,23985527.0904984
22610161.4822032,23063079.0435798,22221665.0941896,21241014.2866818,20275502.1226111,23442166.8900736,23985885.9921356
22610526.345053,23062488.1229548,22222218.158015,21241253.0930703,20275397.6140262,23441520.3792944,23986245.2965335
22610891.2208128,23061897.3777917,22222771.0418988,21241491.7731578,20275293.1299916,23440873.8527244,23986604.5134236
22611256.1633494,23061306.4918705,22223324.1203604,21241730.1679183,20275188.9650461,23440227.2249163,23986963.9167807
22611621.4917454,23060715.7251487,22223877.0539901,21241968.958398,20275084.4567944,23439580.8966851,23987323.4343863
22611986.6723263,23060124.9602696,22224430.0731271,21242207.8536713,20274980.3968847,23438934.1036144,23987682.9497759
22612351.8984249,23059534.0188406,22224983.2488908,21242446.6995914,20274876.5534958,23438287.6789951,23988042.4165869
22612717.2845105,23058943.3744508,22225536.2166332,21242685.4849866,20274772.5853183,23437641.3259494,23988402.0940912
22613082.5212956,23058352.5670136,22226089.3796713,21242924.4145389,20274668.5271716,23436994.7708145,23988762.0318631
22613448.0709628,23057762.1157324,22226642.3579055,21243163.2847374,20274564.8249435,23436348.3842844,23989122.0834024
22613813.6459773,23057171.3933119,22227195.5934567,21243402.1487542,20274461.1518705,23435702.1818612,23989481.9375931
22614179.3060267,23056580.9230001,22227749.0678629,21243641.2528334,20274357.6411998,23435055.990146,23989842.03695
22614544.9602498,23055990.2576419,22228302.4937616,21243880.2463329,20274254.2989092,23434409.7735109,23990202.0466136
22614910.6729269,23055399.6609257,22228856.0207932,21244119.7614497,20274151.2404971,23433763.3663643,23990562.3873653
22615276.5737739,23054809.2300648,22229409.7179296,21244358.8191307,20274048.0650456,23433117.2224155,23990922.5540655
22615642.2943216,23054218.9598977,22229963.5001562,21244598.0480729,20273944.9110548,23432471.1601643,23991283.2206996
22616008.2371034,23053628.8245661,22230517.2858402,21244837.0119934,20273841.6278375,23431824.7005339,23991643.629511
22616374.5104189,23053038.4741593,22231071.1252154,21245076.2517575,20273738.865644,23431178.452349,23992004.4529729
22616740.8155922,23052448.1675346,22231624.7852464,21245315.4538392,20273635.9808241,23430532.1914842,23992365.4545458
22617107.1701967,23051858.0612405,22232178.8229297,21245554.8743761,20273533.5961577,23429886.0915731,23992726.6360292
22617473.5623486,23051267.8542042,22232732.7551896,21245794.1141334,20273430.8424898,23429240.1336079,23993087.5301428
22617840.057448,23050677.5904346,22233286.6677228,21246033.2124262,20273328.2770489,23428593.9960484,23993448.7883806
22618206.6495154,23050087.5680987,22233840.7627148,21246272.6022064,20273225.9360657,23427947.7022851,23993810.0362667
22618573.3135385,23049497.5309367,22234395.060933,21246512.1763188,20273123.6470224,23427301.7364922,23994171.4428638
22618940.0381074,23048907.3973003,22234949.3114117,21246751.651933,20273021.4505571,23426655.6175602,23994532.8836072
22619306.6879249,23048317.5133579,22235503.7581384,21246991.1591926,20272919.3964161,23426009.4336241,23994894.7375958
22619673.8968404,23047727.6010602,22236058.1649227,21247230.9230615,20272817.5600669,23425363.5629653,23995256.4362289
22620040.7466768,23047137.6988539,22236612.5286169,21247470.5699278,20272715.7000619,23424717.5416208,23995618.2021908
22620407.7643946,23046547.8449323,22237167.0650813,21247710.168949,20272614.0080619,23424071.7801065,23995980.2610265
