carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1469685,23119403.2922933,22169467.4533595,21218528.2540756,20285889.0982609,23503682.4166757,23952229.445292
22576254.729448,23118808.6003763,22170013.6625711,21218763.0374,20285775.0419434,23503033.9396,23952578.9374718
22576611.4818285,23118213.8981637,22170559.9564668,21218997.9864356,20285661.0502918,23502385.4865788,23952928.5934264
22576968.2381687,23117619.2975111,22171106.3475115,21219232.8805446,20285547.1770916,23501737.052222,23953278.3080563
22577325.1004237,23117024.6800474,22171652.765915,21219467.8684137,20285433.4570036,23501088.6937672,23953628.1035022
22577682.0716743,23116430.0900103,22172199.2657321,21219702.869078,20285319.7955388,23500440.2593269,23953978.0548174
22578039.1469356,23115835.5702962,22172745.8338399,21219937.9158434,20285206.2375744,23499791.9143189,23954328.0464035
22578396.2502414,23115241.0890738,22173292.4916236,21220173.0118325,20285092.7730513,23499143.5253055,23954678.1902204
22578753.5121165,23114646.6072227,22173839.157319,21220408.1365201,20284979.3986787,23498495.1673725,23955028.4607063
22579110.8394065,23114052.2337894,22174385.9623214,21220643.3038598,20284866.1170139,23497846.8731951,23955378.7836098
22579468.2437464,23113457.8385729,22174932.8503153,21220878.4880352,20284752.9555934,23497198.5771552,23955729.2191539
22579825.7222665,23112863.5170909,22175479.7522236,21221113.78833,20284639.9519669,23496550.3036398,23956079.7885171
22580183.2743763,23112269.2230185,22176026.7025704,21221349.036383,20284526.9604333,23495902.0428871,23956430.4246809
22580540.9744446,23111674.9572617,22176573.7421878,21221584.3672031,20284414.1250862,23495253.8288514,23956781.2058201
22580898.7088368,23111080.7214327,22177120.887661,21221819.7716342,20284301.3697137,23494605.6241341,23957132.0417113
22581256.5216396,23110486.5351621,22177668.1142307,21222055.1624101,20284188.7167726,23493957.3728925,23957482.9782077
22581614.4744293,23109892.4317552,22178215.3209117,21222290.6134458,20284076.1090599,23493309.2232152,23957833.9832866
22581972.4480584,23109298.3102825,22178762.6809606,21222526.0704791,20283963.7058432,23492661.0292325,23958185.1506336
22582330.5462659,23108704.269542,22179310.0547674,21222761.6075378,20283851.362288,23492012.9559831,23958536.4107371
22582688.7863197,23108110.2412017,22179857.5212955,21222997.1562574,20283739.1183486,23491364.8296645,23958887.7743961
22583046.9781171,23107516.2650136,22180405.042889,21223232.7982217,20283626.9343231,23490716.7112456,23959239.2283452
22583405.3659006,23106922.2831975,22180952.6051822,21223468.419018,20283514.9295769,23490068.6159099,23959590.7872164
22583763.7814279,23106328.3976546,22181500.3174894,21223704.0963569,20283402.971521,23489420.5879487,23959942.4654879
22584122.3352007,23105734.5168918,22182048.0485996,21223939.8363522,20283291.0831036,23488772.5777503,23960294.2093249
22584480.9294038,23105140.7238812,22182595.814605,21224175.5664665,20283179.3698686,23488124.5558046,23960646.1283414
22584839.6403633,23104546.9404001,22183143.7203588,21224411.3758465,20283067.710084,23487476.5104156,23960998.0981776
22585198.4291617,23103953.165725,22183691.6557537,21224647.1695527,20282956.1716793,23486828.533096,23961350.0886066
22585557.3236632,23103359.4750391,22184239.6773351,21224883.0699699,20282844.7314252,23486180.5767481,23961702.2667115
22585916.2675393,23102765.8098018,22184787.7662289,21225119.0129823,20282733.3832556,23485532.6453343,23962054.5107655
22586275.2786939,23102172.1905369,22185335.8843871,21225354.9462703,20282622.121562,23484884.7227438,23962406.9137045
22586634.4256393,23101578.5820612,22185884.1264616,21225590.994118,20282511.0088187,23484236.7914666,23962759.3976988
22586993.6610899,23100985.0174033,22186432.416369,21225827.0064172,20282399.956704,23483588.981752,23963111.9365007
22587352.9910355,23100391.523082,22186980.7555423,21226063.088979,20282289.0058768,23482941.0571423,23963464.6588053
22587712.402371,23099798.0569106,22187529.1700091,21226299.2281115,20282178.1709019,23482293.2405288,23963817.3972234
22588071.8521999,23099204.5866508,22188077.6634003,21226535.3709988,20282067.4696953,23481645.4427082,23964170.2913028
22588431.4043611,23098611.2008109,22188626.2445844,21226771.559928,20281956.7683794,23480997.6241318,23964523.2916265
22588791.0612854,23098017.8875497,22189174.8442391,21227007.7607575,20281846.2568047,23480349.852396,23964876.3794218
22589150.8181007,23097424.5492973,22189723.5336577,21227244.0799595,20281735.8654517,23479702.1077523,23965229.5740742
22589510.6476253,23096831.2529712,22190272.3347949,21227480.3838905,20281625.5670028,23479054.3046722,23965582.8388838
22589870.5414939,23096237.9954254,22190821.1412608,21227716.7072646,20281515.3031522,23478406.6239815,23965936.2454191
22590230.5185675,23095644.8342571,22191370.0096904,21227953.140484,20281405.1163207,23477758.9355498,23966289.7364951
22590590.6516033,23095051.6243106,22191919.0017361,21228189.55526,20281295.1132511,23477111.2323822,23966643.3463414
22590950.7799988,23094458.5392672,22192468.054866,21228426.0051338,20281185.168269,23476463.5968939,23966996.9947949
22591311.0520176,23093865.4580843,22193017.1356276,21228662.5368642,20281075.3482173,23475815.9297787,23967350.7837087
22591671.4001351,23093272.4000008,22193566.3306573,21228899.0653506,20280965.610008,23475168.3039257,23967704.698939
22592031.8375436,23092679.4408692,22194115.5583928,21229135.6613546,20280856.0021124,23474520.7447105,23968058.6896043
22592392.3217288,23092086.4596993,22194664.9022837,21229372.3061994,20280746.5132568,23473873.1477628,23968412.7868251
22592752.926592,23091493.5311473,22195214.2356562,21229608.9879707,20280637.0723734,23473225.587323,23968766.9854304
