dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7
-67.8634315631072,113.177852333411,-104.042431089023,-44.6805553031901,21.9893241939095,123.339066057027,-66.4365338106915
-67.9617348602924,113.108236355761,-104.109088100711,-44.6196094665493,21.7977556930689,123.458698405041,-66.571945176661
-68.1299180895626,113.210930180748,-104.012572061977,-44.8472350157284,21.7602803405751,123.387098823471,-66.4741847205052
-67.7504366591239,113.050523608061,-103.896935337133,-44.5347640759093,21.7059238581492,123.326099134374,-66.6278622125442
-68.0045822032979,113.157913213802,-103.993209858939,-44.6431780339283,21.7658552693717,123.378836574536,-66.4762478728912
-67.9674248730928,112.942432259418,-103.95598256155,-44.777924300577,21.4736204233757,123.393303962702,-66.5317710250257
-67.7963601647127,113.059110448216,-104.190789125787,-44.5672062034277,21.5387704055671,123.409826814505,-66.6617287276864
-68.0743406051313,113.099386708243,-103.881708480986,-44.5738002897834,21.6013389240923,123.36176821558,-66.7307001172324
-67.9378751864927,113.139936391737,-104.12742332841,-44.7421754982859,21.68153013342,123.556456022957,-66.8499432131146
-68.089377218613,112.949229315027,-103.894423730924,-44.9238038760792,21.5571036825915,123.47249405275,-66.7986482434276
-67.8483328191236,113.182584535173,-104.223962379626,-44.8132570871335,21.3877910074152,123.485295553841,-66.6979940586857
-67.9430123116744,112.955241191014,-104.116880524315,-44.9198648730617,21.4268694490165,123.342709528373,-66.7720849106605
-68.0004856719155,113.06254319198,-103.991196078868,-44.8554946658552,21.43933715024,123.2426901955,-66.7084973634448
-68.1685903805923,113.208416087165,-104.089150961072,-44.7614278084728,21.3997163147415,123.381890500261,-66.7789636583373
-68.221411806022,112.918386676879,-104.25317218098,-44.8486178307922,21.2808675293367,123.285030597763,-66.5721976708669
-68.159174090289,113.108935420384,-104.124393123267,-44.9610615679778,21.4535699380277,123.25852182476,-66.6556981918314
-68.0846504565872,113.026981340981,-104.26656761408,-44.56096582307,21.4903290578108,123.150408529139,-66.7974758929632
-68.1556476123238,112.96094763574,-104.09672038637,-44.8980917804014,21.3599885757009,123.265933190678,-66.9516274904578
-68.0493355773852,113.072968665889,-104.151573462553,-44.940253461344,21.2904474978779,123.40030484651,-66.8959309111907
-68.1803642328394,113.066621577699,-104.11572509579,-44.8455292080208,21.2443733694718,123.277555567919,-66.8720645591981
-68.1966567063234,113.011821870048,-104.076252937329,-44.8321609524581,21.2761053095119,123.239433605806,-66.9086686243335
-68.368583320501,113.059854645988,-104.127010014149,-44.9383105414427,21.2303318085711,123.3231447367,-66.9806552839305
