dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7
-67.8563126146056,113.12357163867,-103.860284002058,-44.5974486342331,21.646812448795,123.276303185727,-66.5912902060064
-68.0115917470272,113.168626496925,-104.19628459329,-44.7592685641826,21.8363267575665,123.353103835354,-66.6552389550532
-67.8870601481556,113.216968654869,-103.946562972153,-44.6865310735905,21.7661779431759,123.34792186496,-66.6791463889576
-67.8606753039037,113.116623403505,-104.065945261112,-44.6567039344606,21.6966667210307,123.374877636412,-66.480619785201
-67.9033161943043,113.196144212957,-103.988117180594,-44.5685542615285,21.5213248759605,123.36537107656,-66.6972148370454
-67.9910871010545,113.092499944638,-103.822004793684,-44.6389520711136,21.5991948855179,123.29638533847,-66.4448327513464
-68.0138513239056,113.233023479199,-103.936776154336,-44.6065219368987,21.5373238519895,123.559369310372,-66.6008180543486
-67.9409229468151,113.07823516725,-104.038863721114,-44.6634376685679,21.4574569443225,123.305118011837,-66.590566555094
-68.1116187260261,113.127832789369,-104.053670261502,-44.723077438451,21.6968991693822,123.366717519538,-66.4840211341729
-67.9059495543262,113.128899106536,-104.207856780257,-44.8515887562802,21.4977349785181,123.326850818236,-66.7610718108741
-68.1960813208765,112.937673280217,-103.891788518019,-44.8116473696076,21.6260388410544,123.282023374315,-66.70374041817
-68.0757503445544,113.075671576245,-104.137426441121,-44.7909873959202,21.6451968088993,123.228512101474,-66.5500120718409
-68.1380356827108,112.98836092647,-103.984256505642,-44.6833207866165,21.3397442042153,123.3445683598,-66.8419428139767
-68.1344013272243,113.340832590109,-104.009304994771,-44.7318593031206,21.466050224364,123.209584416078,-66.780000441024
-68.2497953351648,113.056240578724,-104.221847803029,-44.93841435131,21.3721506243874,123.388349867384,-66.8538545473845
-68.19492100594,113.146428421814,-104.214156484215,-44.7544075469583,21.3283222366438,123.342668200769,-66.6517169259315
-68.0862307427779,113.001329618156,-104.304046384623,-44.7881618225732,21.62194022108,123.371927434805,-66.7267071331911
-68.1709986010094,112.843996720998,-104.121379640243,-44.7151092611785,21.2358254609458,123.491030510925,-66.8177412596855
-68.3004732882973,113.105085816431,-104.141671492031,-44.7994254358855,21.3179719387199,123.354450489533,-66.9518486697027
-68.3558104523213,113.131683729248,-104.236715574676,-44.5721169889489,21.3821933682478,123.200521321451,-67.051161986765
-68.2338029728566,113.04181035383,-104.3687582035,-44.7836826684954,21.1734671964766,123.432529698176,-66.7649438563242
-68.2519399023002,113.023805888926,-104.028428061802,-45.0152432981851,21.3168692322177,123.30946379424,-66.9285289233853
-68.163333284797,113.140289254712,-104.353095882859,-44.8234598882756,21.2398776700127,123.31619163428,-67.016002132362
-68.2588398073117,113.159823422634,-104.249345028178,-44.9766212376777,21.2145210866484,123.347872107988,-66.9859848081643
-68.1850334490512,113.092426122352,-104.472335926827,-44.9292833664423,21.1248156496922,123.15610391716,-66.856981561983
-68.3489647956206,112.957719950135,-104.309287564845,-44.8745778492973,21.1018311766647,123.140367747657,-66.7541855360772
-68.4047423503984,113.044805513382,-104.380438202147,-45.0749062633802,21.2014272018335,123.193816715534,-67.0030058688779
-68.3260356173045,112.909879751503,-104.320557435832,-44.8985260464138,21.2171115062942,123.169617880904,-67.1229647787106
-68.3790329002202,112.828736397235,-104.353121327369,-44.8755122003334,21.3296271975053,123.274660227918,-67.0569543959758
-68.3160783879524,112.92240820463,-104.412194010184,-44.981905505065,21.3975486233337,123.359298602753,-67.0245847752572
-68.368234967992,113.093041032156,-104.376429362965,-44.8473821302083,21.1833211351547,123.230690805046,-66.9999422802706
-68.2687245972578,113.088908862185,-104.390637603365,-44.9511987424102,21.0391336653393,123.263905669161,-67.1061827436748
-68.3830471528855,112.9214466593,-104.301699800359,-45.0655660814824,21.0328887276829,123.370108150135,-67.1187481876439
-68.3999615541405,112.965461975126,-104.564952144528,-44.9509590224959,21.0278472735684,123.217499926134,-67.2150001472522
-68.2269984412846,112.902781078973,-104.264372284914,-44.9538796142024,21.3276335911481,123.328674933029,-67.2380360199888
-68.7881045551896,112.937206911762,-104.423642612758,-45.0990103136241,21.118203443368,123.276671831268,-67.10270083646
-68.4138984081603,112.930385817684,-104.510172021403,-44.9839546961028,20.8915579666639,123.376805952231,-67.1436194338653
-68.4969527054783,112.931291168679,-104.47113289059,-45.00821303138,20.9834823657636,123.33315832638,-67.2609505707969
