pr_1,pr_2,pr_3,pr_4,pr_5,pr_6,pr_7,pr_8,pr_9,pr_10,pr_11,pr_12,pr_13,pr_14,pr_15,pr_16,pr_17,pr_18,pr_19,pr_20,pr_21,pr_22,pr_23,pr_24,pr_25,pr_26,pr_27,pr_28,pr_29,pr_30,pr_31,pr_32
21431407.743,NaN,NaN,NaN,NaN,NaN,21043845.54,21431037.764,23373663.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698629.314,NaN,NaN,NaN,NaN,NaN,23679931.377,NaN,NaN,NaN,NaN,NaN
21431017.866,NaN,NaN,NaN,NaN,NaN,NaN,21431585.648,23374225.201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698689.408,NaN,NaN,NaN,NaN,NaN,23680674.499,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21432134.104,23374788.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698755.361,NaN,NaN,NaN,NaN,NaN,23681416.299,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21432681.849,23375351.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698821.406,NaN,NaN,NaN,NaN,NaN,23682158.832,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21433223.574,23375915.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698887.219,NaN,NaN,NaN,NaN,NaN,23682900.898,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21433769.229,23376479.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20698951.488,NaN,NaN,NaN,NaN,NaN,23683644.064,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21434311.686,23377042.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699014.143,NaN,NaN,NaN,NaN,NaN,23684385.057,NaN,NaN,NaN,NaN,NaN
21428659.578,NaN,NaN,NaN,NaN,NaN,NaN,21434866.682,23377604.545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699075.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21428263.642,NaN,NaN,NaN,NaN,NaN,NaN,21435410.972,23378165.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699139.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21427868.028,NaN,NaN,NaN,NaN,NaN,NaN,21435958.141,23378724.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699203.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21427477.256,NaN,NaN,NaN,NaN,NaN,21041657.204,21436505.358,23379284.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699258.486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21427084.308,NaN,NaN,NaN,NaN,NaN,NaN,21437057.081,23379842.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699313.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24131629.749,NaN,NaN,NaN,21437605.812,23380400.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699381.448,NaN,NaN,NaN,NaN,NaN,23688853.172,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24132320.402,NaN,NaN,NaN,21438162.26,23380958.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699444.649,NaN,NaN,NaN,NaN,NaN,23689599.954,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24133010.654,NaN,NaN,NaN,21438710.105,23381518.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699511.317,NaN,NaN,NaN,NaN,NaN,23690350.235,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24133704.161,NaN,NaN,NaN,21439252.96,23382068.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699575.29,NaN,NaN,NaN,NaN,NaN,23691098.993,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24134397.153,NaN,NaN,NaN,21439800.788,23382625.256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699642.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24135090.773,NaN,NaN,NaN,21440354.771,23383187.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699707.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21424354.845,NaN,NaN,24135786.138,NaN,NaN,21039923.128,21440902.259,23383739.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699775.06,NaN,NaN,NaN,NaN,NaN,23693345.56,NaN,NaN,NaN,NaN,NaN
21423961.059,NaN,NaN,24136480.665,NaN,NaN,21039697.187,21441452.769,23384297.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699838.221,NaN,NaN,NaN,NaN,NaN,23694096.282,NaN,NaN,NaN,NaN,NaN
21423569.066,NaN,NaN,24137175.467,NaN,NaN,21039475.343,21442005.178,23384851.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699903.035,NaN,NaN,NaN,NaN,NaN,23694843.553,NaN,NaN,NaN,NaN,NaN
21423173.601,NaN,NaN,24137866.936,NaN,NaN,21039259.872,21442558.315,23385404.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20699970.869,NaN,NaN,NaN,NaN,NaN,23695594.143,NaN,NaN,NaN,NaN,NaN
21422759.21,NaN,NaN,NaN,NaN,NaN,21039042.202,21443108.394,23385956.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700034.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21422359.317,NaN,NaN,NaN,NaN,NaN,21038825.763,21443662.015,23386515.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21421965.016,NaN,NaN,NaN,NaN,NaN,21038608.459,21444212.246,23387069.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700163.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21444767.255,23387628.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700233.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21445317.526,23388185.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700301.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21037954.303,21445870.274,23388741.404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700367.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21420398.746,NaN,NaN,NaN,NaN,NaN,21037745.489,21446421.361,23389295.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700438.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23974253.477,NaN,NaN
21420000.1,NaN,NaN,NaN,NaN,NaN,21037526.93,21446974.568,23389850.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700503.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23973779.721,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21447525.1,23390408.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700569.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23973313.538,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21448076.497,23390967.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700631.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21448625.956,23391521.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700704.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21449180.738,23392086.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700775.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21449734.097,23392643.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700851.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21036232.577,NaN,23393201.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700920.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21036011.108,21450834.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20700988.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23970537.318,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21035794.084,21451385.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701054.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23970056.542,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21035577.287,21451937,23394885.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701113.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21035361.471,21452487.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701178.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21035145.573,21453038.03,23396016.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701248.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21034929.679,21453585.696,23396578.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701315.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21034713.462,21454132.036,23397132.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701384.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21034497.995,21454674.808,23397696.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701452.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21034282.559,21455219.866,23398259.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701518.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21034067.407,21455764.609,23398826.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701589.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21033852.673,21456311.534,23399391.983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701659.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,21033637.913,21456858.707,23399951.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701725.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21412628.574,NaN,NaN,NaN,NaN,NaN,21033423.14,21457406.757,23400518.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701791.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23964928.08,NaN,NaN
21412235.961,NaN,NaN,NaN,NaN,NaN,21033208.215,21457955.78,23401089.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701858.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21411843.379,NaN,NaN,NaN,NaN,NaN,21032993.407,21458504.075,23401656.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701926.776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21411451.133,NaN,NaN,NaN,NaN,NaN,21032778.848,21459053.347,23402224.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20701995.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21411061.802,NaN,NaN,NaN,NaN,NaN,21032564.162,21459602.117,23402790.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702062.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21410673.543,NaN,NaN,NaN,NaN,NaN,21032349.751,21460147.855,23403356.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702131.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21410285.516,NaN,NaN,NaN,NaN,NaN,21032135.358,21460696.49,23403922.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702203.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23962137.961,NaN,NaN
21409899.019,NaN,NaN,NaN,NaN,NaN,21031921.121,21461244.601,23404488.136,NaN,NaN,NaN,NaN,NaN,NaN,24654869.541,NaN,NaN,NaN,NaN,20702274.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21409515.472,NaN,NaN,NaN,NaN,NaN,21031707.191,21461791.714,23405049.161,NaN,NaN,NaN,NaN,NaN,NaN,24655361.232,NaN,NaN,NaN,NaN,20702342.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21409129.748,NaN,NaN,NaN,NaN,NaN,21031493.251,21462335.414,23405616.507,NaN,NaN,NaN,NaN,NaN,NaN,24655849.489,NaN,NaN,NaN,NaN,20702410.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21408743.126,NaN,NaN,NaN,NaN,NaN,21031279.285,21462880.716,23406179.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702479.294,NaN,NaN,NaN,NaN,NaN,23723201.208,NaN,NaN,NaN,NaN,NaN
21408356.852,NaN,NaN,NaN,NaN,NaN,21031065.546,21463423.313,23406751.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702546.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23959809.613,NaN,NaN
21407968.602,NaN,NaN,NaN,NaN,NaN,21030851.842,21463970.77,23407316.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702614.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23959342.091,NaN,NaN
21407578.446,NaN,NaN,NaN,NaN,NaN,21030638.356,21464518.362,23407881.985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702684.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23958873.248,NaN,NaN
21407187.212,NaN,NaN,NaN,NaN,NaN,21030424.748,21465067.822,23408445.911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702755.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23958405.795,NaN,NaN
21406797.736,NaN,NaN,NaN,NaN,NaN,21030211.724,21465614.284,23409012.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702826.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23957939.814,NaN,NaN
21406412.021,NaN,NaN,NaN,NaN,NaN,21029998.513,21466160.855,23409577.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702896.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23957474.312,NaN,NaN
21406027.719,NaN,NaN,NaN,NaN,NaN,21029785.398,21466710.005,23410143.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20702966.391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23957010.768,NaN,NaN
21405642.785,NaN,NaN,NaN,NaN,NaN,21029572.436,21467258.339,23410709.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703034.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23956545.637,NaN,NaN
21405262.553,NaN,NaN,NaN,NaN,NaN,21029359.39,21467806.363,23411274.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703102.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23956080.493,NaN,NaN
21404879.765,NaN,NaN,NaN,NaN,NaN,21029146.607,21468357.271,23411840.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703172.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23955615.78,NaN,NaN
21404494.316,NaN,NaN,NaN,NaN,NaN,21028933.762,21468907.803,23412406.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703241.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23955150.889,NaN,NaN
21404107.244,NaN,NaN,NaN,NaN,NaN,21028721.022,21469457.729,23412972.096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703310.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23954688.358,NaN,NaN
21403715.722,NaN,NaN,NaN,NaN,NaN,21028508.182,21470004.501,23413537.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703380.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23954226.948,NaN,NaN
21403326.657,NaN,NaN,NaN,NaN,NaN,21028295.472,21470554.371,23414103.542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703449.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23953762.057,NaN,NaN
21402940.566,NaN,NaN,NaN,NaN,NaN,21028082.327,21471101.745,23414667.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703525.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23953298.435,NaN,NaN
21402554.786,NaN,NaN,NaN,NaN,NaN,21027869.177,21471648.997,23415228.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703606.757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23952831.681,NaN,NaN
21402168.778,NaN,NaN,NaN,NaN,NaN,21027656.061,21472196,23415791.624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703677.88,NaN,NaN,NaN,NaN,NaN,23735827.404,NaN,NaN,23952363.213,NaN,NaN
21401785.327,NaN,NaN,NaN,NaN,NaN,21027442.667,21472739.448,23416357.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703750.896,NaN,NaN,NaN,NaN,NaN,23736567.717,NaN,NaN,23951899.791,NaN,NaN
21401400.284,NaN,NaN,NaN,NaN,NaN,21027228.566,21473290.565,23416921.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703825.216,NaN,NaN,NaN,NaN,NaN,23737309.896,NaN,NaN,23951432.501,NaN,NaN
21401012.343,NaN,NaN,NaN,NaN,NaN,21027015.255,21473838.323,23417485.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703898.219,NaN,NaN,NaN,NaN,NaN,23738050.907,NaN,NaN,23950969.084,NaN,NaN
21400625.437,NaN,NaN,NaN,NaN,NaN,21026798.728,21474388.009,23418052.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20703972.426,NaN,NaN,NaN,NaN,NaN,23738789.95,NaN,NaN,23950508.102,NaN,NaN
21400228.048,NaN,NaN,NaN,NaN,NaN,21026585.037,21474936.478,23418626.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704045.826,NaN,NaN,NaN,NaN,NaN,23739528.988,NaN,NaN,23950047.42,NaN,NaN
21399846.028,NaN,NaN,NaN,NaN,NaN,21026367.96,21475484.782,23419204.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704120.823,NaN,NaN,NaN,NaN,NaN,23740268.611,NaN,NaN,23949583.755,NaN,NaN
21399456.207,NaN,NaN,NaN,NaN,NaN,21026156.647,21476037.6,23419787.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704194.323,NaN,NaN,NaN,NaN,NaN,23741004.788,NaN,NaN,23949122.677,NaN,NaN
21399073.934,NaN,NaN,NaN,NaN,NaN,21025938.375,21476582.54,23420357.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704270.62,NaN,NaN,NaN,NaN,NaN,23741744.149,NaN,NaN,23948658.099,NaN,NaN
21398689.898,NaN,NaN,NaN,NaN,NaN,21025727.38,21477132.462,23420909.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704344.98,NaN,NaN,NaN,NaN,NaN,23742482.49,NaN,NaN,23948195.206,NaN,NaN
21398306.076,NaN,NaN,NaN,NaN,NaN,21025516.063,21477681.21,23421463.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704419.797,NaN,NaN,NaN,NaN,NaN,23743220.638,NaN,NaN,23947731.798,NaN,NaN
21397920.435,NaN,NaN,NaN,NaN,NaN,21025299.885,21478228.702,23422022.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704494.585,NaN,NaN,NaN,NaN,NaN,23743958.874,NaN,NaN,23947271.427,NaN,NaN
21397539.423,NaN,NaN,24183880.268,NaN,NaN,21025083.219,21478776.464,23422580.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704571.135,NaN,NaN,NaN,NaN,NaN,23744699.841,NaN,NaN,23946809.764,NaN,NaN
21397158.044,NaN,NaN,24184578.853,NaN,NaN,21024870.505,21479321.539,23423142.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704646.663,NaN,NaN,NaN,NaN,NaN,23745439.486,NaN,NaN,23946348.441,NaN,NaN
21396779.387,NaN,NaN,24185278.17,NaN,NaN,21024657.931,21479867.709,23423705.337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704723.078,NaN,NaN,NaN,NaN,NaN,23746176.265,NaN,NaN,23945886.717,NaN,NaN
21396396.735,NaN,NaN,24185980.921,NaN,NaN,21024445.509,21480413.77,23424268.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704794.746,NaN,NaN,NaN,NaN,NaN,23746911.486,NaN,NaN,23945425.146,NaN,NaN
21396016.708,NaN,NaN,24186682.812,NaN,NaN,21024231.77,21480958.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704872.173,NaN,NaN,NaN,NaN,NaN,23747647.685,NaN,NaN,23944966.811,NaN,NaN
21395636.512,NaN,NaN,24187384.582,NaN,NaN,21024015.95,21481501.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20704945.734,NaN,NaN,NaN,NaN,NaN,23748380.685,NaN,NaN,23944505.044,NaN,NaN
NaN,NaN,NaN,24188084.514,NaN,NaN,21023802.443,21482044.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705022.973,NaN,NaN,NaN,NaN,NaN,23749111.758,NaN,NaN,23944044.223,NaN,NaN
21394865.378,NaN,NaN,24188785.668,NaN,NaN,NaN,21482588.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705095.474,NaN,NaN,NaN,NaN,NaN,23749842.215,NaN,NaN,23943581.299,NaN,NaN
21394491.803,NaN,NaN,24189489.396,NaN,NaN,NaN,21483131.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705172.787,NaN,NaN,NaN,NaN,NaN,23750579.356,NaN,NaN,23943118.75,NaN,NaN
NaN,NaN,NaN,24190190.642,NaN,NaN,NaN,21483674.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705245.982,NaN,NaN,NaN,NaN,NaN,23751312.963,NaN,NaN,NaN,NaN,NaN
21393725.577,NaN,NaN,NaN,NaN,NaN,NaN,21484218.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705318.78,NaN,NaN,NaN,NaN,NaN,23752043.595,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,21484762.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20705396.783,NaN,NaN,NaN,NaN,NaN,23752779.008,NaN,NaN,23941733.591,NaN,NaN
