SVpos_x_1,SVpos_y_1,SVpos_z_1,SVpos_x_2,SVpos_y_2,SVpos_z_2,SVpos_x_3,SVpos_y_3,SVpos_z_3,SVpos_x_4,SVpos_y_4,SVpos_z_4,SVpos_x_5,SVpos_y_5,SVpos_z_5,SVpos_x_6,SVpos_y_6,SVpos_z_6,SVpos_x_7,SVpos_y_7,SVpos_z_7,SVpos_x_8,SVpos_y_8,SVpos_z_8,SVpos_x_9,SVpos_y_9,SVpos_z_9,SVpos_x_10,SVpos_y_10,SVpos_z_10,SVpos_x_11,SVpos_y_11,SVpos_z_11,SVpos_x_12,SVpos_y_12,SVpos_z_12,SVpos_x_13,SVpos_y_13,SVpos_z_13,SVpos_x_14,SVpos_y_14,SVpos_z_14,SVpos_x_15,SVpos_y_15,SVpos_z_15,SVpos_x_16,SVpos_y_16,SVpos_z_16,SVpos_x_17,SVpos_y_17,SVpos_z_17,SVpos_x_18,SVpos_y_18,SVpos_z_18,SVpos_x_19,SVpos_y_19,SVpos_z_19,SVpos_x_20,SVpos_y_20,SVpos_z_20,SVpos_x_21,SVpos_y_21,SVpos_z_21,SVpos_x_22,SVpos_y_22,SVpos_z_22,SVpos_x_23,SVpos_y_23,SVpos_z_23,SVpos_x_24,SVpos_y_24,SVpos_z_24,SVpos_x_25,SVpos_y_25,SVpos_z_25,SVpos_x_26,SVpos_y_26,SVpos_z_26,SVpos_x_27,SVpos_y_27,SVpos_z_27,SVpos_x_28,SVpos_y_28,SVpos_z_28,SVpos_x_29,SVpos_y_29,SVpos_z_29,SVpos_x_30,SVpos_y_30,SVpos_z_30,SVpos_x_31,SVpos_y_31,SVpos_z_31,SVpos_x_32,SVpos_y_32,SVpos_z_32
-13081293.0694515,21962222.8736927,-6758311.95566756,NaN,NaN,NaN,NaN,NaN,NaN,-3222854.81735293,22255566.6102234,-14080876.2531252,NaN,NaN,NaN,NaN,NaN,NaN,-836415.421701284,20046289.6695491,17501482.3377856,-9201546.73061306,14698374.3191782,20017874.2232328,6126503.32654833,25436574.279945,-4564330.16243775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24791945.1448756,113690.757734268,9889669.98076978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007199.710867,19937500.3032625,2825688.88936699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14764967.5079226,2496147.76741453,21782676.3030311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13082002.7309986,21962706.034591,-6755216.76364977,NaN,NaN,NaN,NaN,NaN,NaN,-3223611.72345074,22253927.3317817,-14083297.6723127,NaN,NaN,NaN,NaN,NaN,NaN,-837991.01199731,20047804.1070976,17499585.7474926,-9202560.09787076,14696029.6873306,20019158.8747465,6126018.87589059,25436144.0696455,-4567418.47654364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24793124.465376,113171.557670207,9886835.49343397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007300.9578752,19937081.7484001,2828862.08886422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14765904.6058308,2493508.07028075,21782381.8213862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13082712.1095591,21963188.942154,-6752121.42593404,NaN,NaN,NaN,NaN,NaN,NaN,-3224368.81700015,22252287.8071807,-14085718.790907,NaN,NaN,NaN,NaN,NaN,NaN,-839566.368187806,20049318.4576457,17497688.7875703,-9203573.65859718,14693684.9661605,20020443.0967085,6125534.2646932,25435713.5240364,-4570506.69344621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24794303.4737433,112652.527813357,9884000.79882586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007401.9861748,19936662.880262,2832035.226769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14766841.8486366,2490868.4692839,21782086.8696632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13083421.2051376,21963671.5963422,-6749025.94258651,NaN,NaN,NaN,NaN,NaN,NaN,-3225126.09801609,22250648.0364756,-14088139.6088565,NaN,NaN,NaN,NaN,NaN,NaN,-841141.490271835,20050832.7211323,17495791.4580563,-9204587.41279552,14691340.1557309,20021726.8890925,6125049.49292621,25435282.6431458,-4573594.8130798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24795482.1699365,112133.668120388,9881165.89700587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007502.7957487,19936243.6988831,2835208.30301288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14767779.2363119,2488228.96448835,21781791.4478701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13084130.017787,21964153.9970873,-6745930.31367329,NaN,NaN,NaN,NaN,NaN,NaN,-3225883.56651688,22249008.0197209,-14090560.1261097,NaN,NaN,NaN,NaN,NaN,NaN,-842716.378237447,20052346.8974964,17493893.7589884,-9205601.36044998,14688995.256117,20023010.2518719,6124564.56052525,25434851.42701,-4576682.83537879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24796660.553915,111614.978589742,9878330.78803441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007603.3866836,19935824.2042096,2838381.31752738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14768716.7688279,2485589.55596267,21781495.5560151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13084838.5475201,21964636.144345,-6742834.53926052,NaN,NaN,NaN,NaN,NaN,NaN,-3226641.22254588,22247367.7569674,-14092980.342615,NaN,NaN,NaN,NaN,NaN,NaN,-844291.032167622,20053860.9866733,17491995.6904041,-9206615.50156534,14686650.2673807,20024293.1850202,6124079.46752296,25434419.8756421,-4579770.76027753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24797838.6256378,111096.459170747,9875495.47197194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007703.7590441,19935404.3962066,2841554.27024405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14769654.446156,2482950.24377299,21781199.1941063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13085546.7943755,21965118.0380555,-6739738.61941432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-845865.45186912,20055374.9886098,17490097.2523413,-9207629.83612625,14684305.1895966,20025575.6885111,6123594.21380233,25433987.9890911,-4582858.58771036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24799016.3850647,110578.109768532,9872659.94887887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007803.9128805,19934984.2748512,2844727.16109443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14770592.2682701,2480311.02797153,21780902.3621516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13086254.7583791,21965599.6781666,-6736642.55420083,NaN,NaN,NaN,NaN,NaN,NaN,-3228157.09722768,22244086.4936876,-14097819.8731755,NaN,NaN,NaN,NaN,NaN,NaN,-847439.637347375,20056888.9032444,17488198.4448377,-9208644.36414233,14681960.0228239,20026857.7623182,6123108.79924094,25433555.7674074,-4585946.31761168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24800193.8321548,110059.930363738,9869824.21881568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17007903.848227,19934563.8401347,2847899.99001007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14771530.2351412,2477671.9086282,21780605.0601591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13086962.4395843,21966081.0646098,-6733546.34368618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-849013.5886988,20058402.7305116,17486299.2679309,-9209659.08559576,14679614.7671387,20028139.4064149,6122623.22401498,25433123.2105696,-4589033.94991585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24801370.9668671,109541.92094842,9866988.28184279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17008003.5651039,19934143.0920601,2851072.75692252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14772468.3467443,2475032.8857878,21780307.2881371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-13087669.837946,21966562.1973752,-6730449.98793652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-850587.30582619,20059916.4703542,17484399.7216588,-9210674.00053566,14677269.4225751,20029420.6207749,6122137.48793784,25432690.3186433,-4592121.48455723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24802547.7891612,109024.081471769,9864152.13802064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17008103.0635614,19933722.0306046,2854245.46176333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14773406.6030446,2472393.95955384,21780009.0460936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
