pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575896.4702453,23119401.4906681,22169467.2950929,21218527.0613535,20285888.9473608,23503681.642941,23952230.5624703
22576255.0076231,23118810.7614076,22170013.8851416,21218765.2606323,20285774.4564917,23503033.4966687,23952580.074733
22576613.1613099,23118214.8504296,22170559.3365439,21218999.1683857,20285660.8118696,23502383.3692643,23952928.8644315
22576966.7273988,23117619.0779858,22171107.2124423,21219231.645955,20285546.1607866,23501736.2827247,23953279.5102225
22577327.5011269,23117025.8930187,22171652.5399973,21219467.4197168,20285434.0650467,23501087.5212179,23953629.3844067
22577681.050078,23116428.9529906,22172197.897988,21219703.7472096,20285319.2666814,23500441.9740928,23953975.7248975
22578037.323951,23115837.2082314,22172744.7945818,21219936.8528074,20285205.3166827,23499791.6025089,23954328.0446175
22578396.0679435,23115239.5447576,22173292.3980426,21220174.5947651,20285092.9699457,23499144.2952762,23954679.4175825
22578754.1473315,23114646.9594364,22173839.0493566,21220407.2363742,20284981.0068907,23498496.1099269,23955029.7462626
22579113.8964232,23114053.2140671,22174384.3190034,21220642.9248702,20284866.080389,23497848.1345618,23955378.4858489
22579467.7344266,23113457.8160982,22174934.7351991,21220879.1665236,20284753.9053239,23497200.1539288,23955731.0003342
22579824.1167791,23112863.7364326,22175479.9240116,21221114.4041049,20284639.8086465,23496550.5947865,23956082.338161
22580183.8434429,23112270.3783267,22176028.1872152,21221347.8140316,20284526.1274301,23495903.3715857,23956430.2117085
22580541.4936709,23111674.5003174,22176574.5744229,21221582.3822645,20284414.2673819,23495252.5761587,23956778.8706181
22580898.3160509,23111081.3088732,22177121.2153272,21221819.1890871,20284303.6239967,23494604.9712423,23957131.6744918
22581256.7191148,23110486.5254344,22177667.9490547,21222055.2983248,20284189.3309333,23493958.6102641,23957485.4587348
22581614.8652136,23109891.1422645,22178215.6116558,21222288.5261439,20284077.8435412,23493311.3834841,23957835.2692962
22581972.8584689,23109298.9282087,22178762.584954,21222526.4664359,20283962.7503287,23492659.2771652,23958184.3520739
22582331.8113978,23108703.7238473,22179309.7594314,21222759.6658321,20283852.4957171,23492013.1192332,23958535.606821
22582685.2988887,23108109.8140251,22179857.3851975,21222999.0440644,20283739.2859368,23491364.7828946,23958887.7183007
22583046.3842072,23107516.1349513,22180408.2574492,21223232.8156227,20283625.282561,23490714.4399395,23959238.0187661
22583406.6266372,23106922.8739661,22180951.8322463,21223468.5961778,20283514.6848279,23490068.5608516,23959592.6272313
22583763.0510578,23106327.6083126,22181498.5497864,21223701.599602,20283403.2258045,23489420.4593819,23959942.6611836
22584121.1503419,23105734.7913238,22182047.4422211,21223939.376242,20283291.5588389,23488770.7728943,23960294.2643804
22584482.6274538,23105140.1995697,22182597.0418545,21224174.9407241,20283179.9854456,23488125.0132558,23960643.712769
22584841.3700499,23104546.5792456,22183143.1526414,21224411.809328,20283067.2926397,23487473.7997592,23960999.0705943
22585198.6411508,23103953.2603882,22183692.0157043,21224647.0635467,20282956.119975,23486829.3200559,23961352.990533
22585556.9228224,23103358.3477395,22184240.4042354,21224882.9227733,20282843.7922707,23486181.3395121,23961704.0897426
22585915.3193315,23102766.4997589,22184788.8681323,21225119.8829988,20282733.2043404,23485531.2346602,23962053.4324716
22586275.072551,23102172.3151324,22185336.1488801,21225354.063934,20282623.0470064,23484884.4942984,23962405.1998856
22586634.5987146,23101579.76561,22185883.1881634,21225591.8349873,20282512.0151368,23484237.8337811,23962760.0232693
22586991.8429756,23100984.0002733,22186433.7393187,21225826.0707531,20282399.6327143,23483588.1585565,23963112.2867672
22587351.9451962,23100390.4091862,22186980.299379,21226063.7391907,20282287.1317897,23482941.7228048,23963461.3466259
22587711.7449357,23099801.0449322,22187528.3162455,21226299.8830086,20282178.7385096,23482291.2815332,23963817.1810844
22588073.1883906,23099207.1953352,22188077.2741841,21226535.127326,20282067.7379868,23481644.5553446,23964170.1714973
22588429.381571,23098612.6187682,22188626.8683786,21226770.2972811,20281956.9755271,23480996.7111803,23964525.7933131
22588791.1904445,23098018.2824623,22189173.7339335,21227007.4579925,20281845.5442874,23480349.8183741,23964875.815236
22589148.7245657,23097423.9850696,22189723.3959588,21227244.6517456,20281735.7046337,23479701.1188412,23965231.4387878
22589512.5474269,23096830.8618368,22190271.3749657,21227480.5999023,20281624.6853902,23479053.7495408,23965582.4103802
22589869.5431702,23096233.1816519,22190819.8075784,21227715.6194572,20281516.2633777,23478406.615978,23965936.9124991
22590229.4530629,23095644.4776227,22191371.2257959,21227953.0240764,20281407.04485,23477759.4224613,23966288.9098259
22590590.1928658,23095051.9001304,22191919.7361583,21228190.0047872,20281296.1674606,23477112.7169813,23966644.7640005
22590950.9478804,23094458.0711414,22192466.3531456,21228425.0139077,20281184.8299189,23476463.5233138,23966997.5113416
22591311.091884,23093865.4526756,22193016.2814917,21228661.6900484,20281074.7757562,23475817.6058312,23967349.8709476
22591669.4020273,23093271.096319,22193566.9845086,21228900.2105837,20280965.4599868,23475169.464937,23967705.354664
22592032.9900808,23092678.6589127,22194117.0540575,21229137.0095666,20280857.0303798,23474522.2882383,23968062.556997
22592392.6169431,23092086.2382839,22194665.0786597,21229371.7622303,20280746.6260391,23473874.6331907,23968411.007404
22592753.1174811,23091492.6979373,22195214.8930252,21229609.6995556,20280635.7409487,23473224.2017094,23968767.6486434
22593112.6052395,23090901.8553461,22195763.6935915,21229844.6962998,20280528.0910264,23472577.8003818,23969124.6770653
22593473.310743,23090307.5387975,22196312.3291127,21230082.9946492,20280418.766057,23471930.4952188,23969478.7665766
22593834.1344212,23089716.3495893,22196861.8404668,21230321.7455436,20280309.8513929,23471282.8571404,23969831.7952185
22594195.683491,23089121.0774453,22197411.9287218,21230556.4921389,20280199.116716,23470635.1705035,23970184.3712933
22594558.3123043,23088528.1453503,22197960.6764462,21230793.4778761,20280091.4811784,23469987.2776562,23970539.9361093
22594918.5780632,23087937.2045052,22198512.2217737,21231029.1022775,20279983.7305962,23469341.3273132,23970895.0147735
22595280.031525,23087344.4777335,22199061.865081,21231265.7308586,20279873.4568623,23468693.557758,23971252.0930288
22595639.768721,23086752.0943354,22199611.0857617,21231503.8429288,20279764.226314,23468045.713071,23971603.4505434
22596000.933317,23086156.1513505,22200161.2971844,21231739.4355869,20279657.8391977,23467397.9578394,23971957.3992729
22596364.0469978,23085566.7652048,22200711.1796044,21231979.3529194,20279546.3088775,23466750.0331744,23972316.8872083
22596724.8789049,23084974.3915752,22201262.9109933,21232215.7133311,20279438.8368629,23466104.5930943,23972668.6779375
22597085.5457825,23084381.2169878,22201812.4762806,21232451.2526007,20279330.8007358,23465455.1948835,23973025.4863424
22597451.3985159,23083789.4883851,22202361.6250138,21232689.9299644,20279224.1632814,23464809.2101692,23973382.7315392
22597810.4406574,23083198.0155503,22202913.3411307,21232925.7425328,20279116.8861691,23464162.4512453,23973737.3625193
22598172.915154,23082603.9849755,22203462.3626898,21233162.7184186,20279005.9416241,23463516.8034586,23974091.5185843
22598535.3189692,23082014.2301353,22204013.8929807,21233401.0692315,20278901.1127868,23462869.3339321,23974447.921576
22598896.5931453,23081418.2760343,22204563.912738,21233639.9041326,20278791.7060655,23462220.4058337,23974804.4823843
22599257.0130071,23080825.8927859,22205113.8386637,21233876.3906733,20278684.3252953,23461571.7032667,23975159.756423
22599621.726629,23080234.0594799,22205666.799818,21234114.5373927,20278577.5914165,23460927.0007257,23975517.6022255
22599981.9151111,23079643.008916,22206213.7161707,21234350.968274,20278469.8906964,23460277.1440044,23975870.6604582
22600346.2305213,23079050.8752182,22206766.8273581,21234588.645218,20278363.3578249,23459630.9472208,23976232.1294562
22600706.6308046,23078458.4580333,22207318.7501099,21234826.8238899,20278255.573245,23458984.8958674,23976586.9958271
22601070.5924837,23077868.7776167,22207866.8279973,21235062.6398194,20278148.5390945,23458336.6390372,23976941.4586094
22601431.4537842,23077274.5292885,22208420.9420814,21235298.7220177,20278040.2457502,23457689.5097672,23977297.8382341
22601793.5843463,23076683.1477061,22208971.0083948,21235540.0103603,20277934.0250836,23457042.673817,23977653.3364771
22602158.9873567,23076093.9172766,22209520.1079552,21235776.8286334,20277828.6674363,23456394.8649757,23978011.7600357
22602521.793077,23075499.4619686,22210073.0799658,21236013.04672,20277721.2083851,23455748.7325469,23978368.6124889
22602884.1450247,23074908.7505632,22210622.5332958,21236252.6012899,20277615.9343765,23455101.9927033,23978725.2387386
22603249.9485291,23074317.5827436,22211175.6082839,21236491.0246367,20277508.6855248,23454455.8682024,23979084.1507243
22603612.2801323,23073725.2994692,22211725.7258587,21236726.4692834,20277401.7499879,23453808.195275,23979440.0226334
22603975.4681895,23073131.9416669,22212279.4074316,21236966.23506,20277295.1219668,23453159.80894,23979795.7457089
22604337.8689764,23072540.543193,22212831.6239061,21237204.3987415,20277190.2490828,23452514.6203136,23980154.7221872
22604699.2600832,23071948.9426844,22213381.8622589,21237440.12198,20277082.7265108,23451869.654142,23980510.0783541
22605065.1046838,23071357.9916763,22213933.7420065,21237679.6694943,20276976.6338719,23451221.8924364,23980867.8187475
22605428.1022137,23070766.9229184,22214486.3026303,21237917.8196027,20276872.3209423,23450574.3088691,23981227.5201758
22605790.6581219,23070173.2484517,22215035.7815416,21238157.7004858,20276766.8714127,23449928.164852,23981586.8672947
22606156.0621576,23069584.6868133,22215588.265995,21238393.3422622,20276658.4551869,23449278.939065,23981939.675249
22606518.6509055,23068991.1659561,22216139.2617751,21238630.0312811,20276554.0654075,23448631.9570115,23982303.8117206
22606882.3833128,23068398.6732824,22216693.2778964,21238869.1462634,20276446.7810763,23447988.2094388,23982657.0746172
22607249.4091815,23067810.1445315,22217245.6436372,21239107.7317956,20276340.7244824,23447338.7073024,23983016.6935325
22607611.1098594,23067217.8357228,22217795.7699759,21239348.996873,20276238.3500424,23446693.3637657,23983374.0438204
22607977.6135967,23066625.1593865,22218349.7194164,21239583.9537982,20276132.1980333,23446046.9239853,23983737.2557053
22608339.488302,23066035.179549,22218903.4477154,21239821.7339282,20276024.6176208,23445400.4337076,23984094.0007159
22608705.1235436,23065445.306509,22219455.1662698,21240063.1086717,20275920.9354159,23444753.7623624,23984450.2431596
22609067.8386865,23064852.2750428,22220007.0321718,21240299.3289427,20275816.2332248,23444110.3667056,23984811.5546204
22609431.7575741,23064260.7685493,22220558.2520446,21240538.915748,20275713.0175444,23443460.3880748,23985170.9697122
22609796.7987391,23063672.1950413,22221111.1111439,21240777.0241374,20275608.2983684,23442813.2358609,23985528.3909661
22610162.7815858,23063080.5697919,22221663.4122302,21241013.6396704,20275503.351432,23442166.0313787,23985888.6698382
22610527.5701228,23062489.1416893,22222216.0275864,21241253.6652767,20275398.2605963,23441518.425207,23986248.1475566
22610894.3055024,23061900.2948713,22222770.3256437,21241492.1494091,20275295.1395539,23440877.5760284,23986605.8875115
22611256.9504322,23061304.6491449,22223320.7435598,21241732.095511,20275192.0057169,23440229.2285085,23986965.4634533
22611624.1927936,23060717.4637745,22223876.708413,21241968.9888851,20275085.16839,23439582.2270756,23987323.6878795
22611986.3886676,23060125.1450099,22224426.6995225,21242208.7001294,20274981.0921632,23438934.1448502,23987685.0915741
22612352.1712597,23059533.7458563,22224982.4772589,21242448.5481291,20274877.5718732,23438287.220179,23988043.9632732
22612718.5953491,23058943.875551,22225536.2100019,21242686.794236,20274773.6200084,23437640.2388372,23988401.8641225
22613082.3135019,23058351.0176739,22226088.375173,21242923.6989586,20274668.042037,23436996.1966176,23988764.0709469
22613449.0861244,23057764.0368097,22226640.8453484,21243164.8926312,20274565.4049903,23436349.6101078,23989122.7056295
22613815.6462658,23057172.2688959,22227193.6604224,21243404.3651195,20274462.4311342,23435702.7567518,23989482.5555106
22614179.1150997,23056580.9915051,22227749.1022438,21243642.7657636,20274360.1412187,23435056.4913857,23989844.069988
22614545.9393228,23055990.5272737,22228301.0641609,21243881.6506827,20274255.4397665,23434409.4478887,23990203.9322778
22614911.344441,23055400.784,22228854.5854585,21244120.1348356,20274151.5564831,23433764.3522508,23990562.495731
22615278.5135431,23054811.6202465,22229407.836459,21244357.9182634,20274050.9260016,23433117.8267801,23990928.0968948
22615644.6284347,23054217.1650764,22229961.1810762,21244598.8202236,20273945.3734828,23432473.9210808,23991283.1352075
22616007.1170693,23053629.8330978,22230516.4949341,21244838.7377018,20273841.4824988,23431825.5609265,23991645.554258
22616376.0528251,23053038.7718358,22231069.8100952,21245078.3541761,20273737.7295586,23431179.9264908,23992006.4220139
22616739.8184245,23052448.1570891,22231623.7887579,21245316.8293096,20273637.2467393,23430533.3608225,23992369.4376449
22617108.9781758,23051860.5981111,22232175.9965316,21245556.0397459,20273535.3951948,23429887.8987154,23992725.9345722
22617474.3407223,23051268.850742,22232730.9637125,21245794.9271676,20273434.2842473,23429239.9189334,23993089.2913048
22617840.2659488,23050677.0370781,22233286.2202077,21246036.3184709,20273330.1834999,23428593.4423791,23993450.2903778
22618206.0455676,23050087.6496617,22233838.3580779,21246273.6595889,20273228.2967341,23427948.0215309,23993812.2779897
22618576.1816467,23049497.5072644,22234393.023161,21246514.0614583,20273125.6890004,23427304.410689,23994174.7792016
22618941.3795587,23048907.4179387,22234947.551935,21246752.3759682,20273022.5444116,23426655.3685607,23994533.7797527
22619308.5057932,23048318.5473018,22235503.6973476,21246991.300668,20272921.6600919,23426009.9105958,23994897.0462317
22619674.2300831,23047728.3023739,22236058.4812507,21247230.03498,20272817.1265496,23425365.6056363,23995256.932659
22620042.6742538,23047137.9526676,22236613.1973994,21247471.4664026,20272717.3731984,23424717.1277639,23995620.9422718
22620409.480386,23046548.8352567,22237165.678542,21247711.7768957,20272615.4080976,23424072.6743824,23995982.7095231
22620776.1789497,23045959.9852042,22237720.6354847,21247951.8114482,20272513.667853,23423425.9221587,23996344.1904797
22621142.4302771,23045367.8357165,22238276.4187737,21248191.9786109,20272411.7652543,23422780.4697669,23996705.119677
22621510.2628762,23044779.9739945,22238829.752585,21248430.4534571,20272311.2810669,23422134.1266387,23997069.0872243
22621877.9543631,23044188.2694492,22239383.1725836,21248670.9867185,20272210.0772508,23421489.4728527,23997429.2243282
22622245.6176614,23043600.4831105,22239938.1644201,21248908.6086748,20272111.0170699,23420841.0103578,23997794.8065332
22622614.1397327,23043009.6142516,22240492.1306742,21249149.4840288,20272006.5706716,23420197.306856,23998154.6321621
22622980.9547109,23042418.984977,22241049.7279613,21249389.4766569,20271906.4717536,23419551.227913,23998517.8003863
22623348.1884145,23041830.6143695,22241603.4699325,21249628.5421836,20271804.0858977,23418904.580898,23998877.4997962
22623715.2687354,23041241.1318342,22242160.8551394,21249871.5977429,20271704.1982039,23418258.8918047,23999244.3254327
22624084.3904694,23040651.2501712,22242712.8784563,21250108.729662,20271602.7732826,23417613.4340669,23999604.5298886
22624454.2707248,23040059.868466,22243270.2831638,21250350.8202026,20271502.5015303,23416967.4340885,23999969.7716864
22624820.0133234,23039471.5695688,22243824.4515995,21250591.1229083,20271400.9756641,23416327.3488635,24000331.9210034
