carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575878.8587957,23119327.3512361,22169525.4060283,21218520.9972329,20285878.0131832,23503749.6962625,23952214.8647419
22576235.485619,23118732.6344578,22170071.6407366,21218755.8577614,20285763.9381433,23503101.2201463,23952564.3800845
22576592.1971512,23118137.9520783,22170617.948647,21218990.7589019,20285649.9710539,23502452.7713086,23952913.9943063
22576948.9991068,23117543.3175781,22171164.3243811,21219225.6976066,20285536.0987061,23501804.3338223,23953263.715589
22577305.8838324,23116948.7148016,22171710.762238,21219460.6860173,20285422.330347,23501155.9175189,23953613.5361408
22577662.8547074,23116354.1502779,22172257.2702434,21219695.7050982,20285308.6601982,23500507.5244389,23953963.4572133
22578019.9160605,23115759.6230782,22172803.8445312,21219930.7613027,20285195.094113,23499859.1476051,23954313.4837399
22578377.0666731,23115165.139465,22173350.4922862,21220165.8575709,20285081.6249263,23499210.7937564,23954663.6101835
22578734.3018997,23114570.6892327,22173897.2088873,21220400.9948273,20284968.2553955,23498562.4576468,23955013.8359185
22579091.6231769,23113976.2812371,22174443.9950736,21220636.1766539,20284854.9907865,23497914.1380749,23955364.1653972
22579449.0309299,23113381.9113329,22174990.8480658,21220871.3955729,20284741.8264659,23497265.8407547,23955714.5991045
22579806.5235197,23112787.5846511,22175537.7685335,21221106.6562928,20284628.7611096,23496617.5597503,23956065.1373439
22580164.1033542,23112193.2907099,22176084.7585083,21221341.9504997,20284515.7970637,23495969.2978318,23956415.7695216
22580521.7761885,23111599.0383523,22176631.8197627,21221577.2879502,20284402.9324684,23495321.0595671,23956766.512069
22580879.5321216,23111004.8267646,22177178.9446011,21221812.6625443,20284290.1727697,23494672.838084,23957117.3514866
22581237.3794665,23110410.6525246,22177726.141438,21222048.0784413,20284177.5137061,23494024.6385118,23957468.2960684
22581595.3074451,23109816.5166701,22178273.4078708,21222283.533619,20284064.9515315,23493376.4596323,23957819.3394353
22581953.3302974,23109222.419442,22178820.7421926,21222519.0282877,20283952.4989724,23492728.3016065,23958170.4808639
22582311.4284186,23108628.3609287,22179368.1475999,21222754.565512,20283840.147014,23492080.1576586,23958521.72268
22582669.6133414,23108034.3411306,22179915.616756,21222990.1381862,20283727.8882469,23491432.0348253,23958873.0731835
22583027.8940248,23107440.3638242,22180463.1589034,21223225.7515339,20283615.7330423,23490783.9302745,23959224.5249852
22583386.2572744,23106846.4279299,22181010.7632068,21223461.4045315,20283503.6750268,23490135.8464506,23959576.0722115
22583744.7069218,23106252.5287143,22181558.4328534,21223697.0937719,20283391.720737,23489487.7848164,23959927.723316
22584103.2476122,23105658.6717509,22182106.1745511,21223932.8295078,20283279.8718397,23488839.7401792,23960279.4740383
22584461.8718378,23105064.8441865,22182653.9861384,21224168.5990238,20283168.1160888,23488191.7144581,23960631.3270538
22584820.5783709,23104471.0600273,22183201.8638896,21224404.4048087,20283056.4632226,23487543.7183476,23960983.2864603
22585179.3729865,23103877.3189468,22183749.8106432,21224640.253131,20282944.9206979,23486895.7394629,23961335.3430844
22585538.2579503,23103283.6148264,22184297.8294298,21224876.1395065,20282833.4702558,23486247.7800383,23961687.4992029
22585897.2269637,23102689.9485605,22184845.9125008,21225112.0730196,20282722.122931,23485599.8357667,23962039.7610052
22586256.2847268,23102096.3140871,22185394.0670185,21225348.0363382,20282610.8787869,23484951.9113142,23962392.1289922
22586615.4244485,23101502.7248457,22185942.2896077,21225584.0473802,20282499.7290773,23484304.0092009,23962744.6013616
