carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.0897823,23119403.2724283,22169467.4338718,21218528.2211718,20285889.1035397,23503682.3767622,23952229.4009152
22576254.7071622,23118808.5499878,22170013.6653437,21218763.0741162,20285775.04308,23503033.9020555,23952578.9246836
22576611.4092505,23118213.870591,22170559.9649026,21218997.9671666,20285661.0749111,23502385.4550605,23952928.5580368
22576968.1990822,23117619.2265438,22171106.3250015,21219232.899379,20285547.2100636,23501737.025704,23953278.2890914
22577325.073394,23117024.6171343,22171652.7561035,21219467.8705788,20285433.4477319,23501088.6100123,23953628.109921
22577682.0438127,23116430.0520912,22172199.2571162,21219702.8844439,20285319.7820499,23500440.2173462,23953978.0351439
22578039.1006753,23115835.5211598,22172745.8285206,21219937.9375871,20285206.2137025,23499791.8438625,23954328.0666019
22578396.2401825,23115241.0332258,22173292.4674714,21220173.0253086,20285092.7547405,23499143.486767,23954678.1961783
22578753.4680735,23114646.5826047,22173839.1767203,21220408.1512353,20284979.3941601,23498495.1462593,23955028.4225852
22579110.7790246,23114052.1662085,22174385.9549365,21220643.317132,20284866.1346676,23497846.8369568,23955378.7609922
22579468.1839972,23113457.7913009,22174932.7996443,21220878.5195406,20284752.9817518,23497198.535508,23955729.1991534
22579825.6749768,23112863.4633199,22175479.7156184,21221113.7676041,20284639.9195515,23496550.2573712,23956079.746631
22580183.2451386,23112269.1727316,22176026.6966025,21221349.0533935,20284526.9611421,23495902.0064447,23956430.3864444
22580540.9087395,23111674.9179731,22176573.748143,21221584.3825798,20284414.1028833,23495253.7701164,23956781.1306422
22580898.6560035,23111080.7060721,22177120.8665565,21221819.7491742,20284301.3473591,23494605.5543606,23957131.9797168
22581256.493169,23110486.5334872,22177668.0532893,21222055.1524374,20284188.6943295,23493957.3599235,23957482.9265651
22581614.4136635,23109892.3958072,22178215.3077288,21222290.596717,20284076.1412556,23493309.1852422,23957833.9764805
22581972.4272796,23109298.2928381,22178762.6347831,21222526.0830257,20283963.6916877,23492661.02678,23958185.1239216
22582330.5271378,23108704.2353686,22179310.0284988,21222761.6053149,20283851.3403581,23492012.8839018,23958536.3838007
22582688.7084817,23108110.2150009,22179857.4927144,21222997.1654638,20283739.0942967,23491364.7676347,23958887.7472752
22583046.9774742,23107516.2355455,22180405.0246475,21223232.7680764,20283626.9407503,23490716.6725828,23959239.2069136
22583405.3323482,23106922.2942844,22180952.6205929,21223468.4099557,20283514.8906545,23490068.5997272,23959590.7629806
22583763.7699429,23106328.3876298,22181500.2867895,21223704.0874863,20283402.9410058,23489420.540709,23959942.4213387
22584122.3010972,23105734.5238418,22182048.0249732,21223939.8080182,20283291.0917999,23488772.4950863,23960294.1921888
22584480.9199531,23105140.7029549,22182595.8344752,21224175.5683621,20283179.3440014,23488124.4773323,23960646.0554731
22584839.6247259,23104546.9159505,22183143.7003861,21224411.3688548,20283067.7014323,23487476.480632,23960998.0230063
22585198.4070619,23103953.1627456,22183691.6440048,21224647.2064849,20282956.1571014,23486828.498138,23961350.0891538
22585557.2809358,23103359.4565514,22184239.6512884,21224883.0856758,20282844.7163885,23486180.5395771,23961702.2639641
22585916.2440213,23102765.7890912,22184787.732917,21225119.0058505,20282733.3754622,23485532.5976045,23962054.5272486
22586275.2898224,23102172.1661046,22185335.8826515,21225354.9657998,20282622.1373025,23484884.674873,23962406.902666
22586634.4267664,23101578.571905,22185884.0976536,21225590.9625502,20282511.0013799,23484236.7716865,23962759.3761144
22586993.6514215,23100985.0247089,22186432.3820473,21225826.9995437,20282399.9645854,23483588.8922562,23963111.9554008
22587352.9553018,23100391.512101,22186980.7331035,21226063.0749183,20282289.0236541,23482941.0331777,23963464.6311539
22587712.3498617,23099798.0383509,22187529.1560716,21226299.1929028,20282178.1868281,23482293.1926153,23963817.4078176
22588071.8319947,23099204.6018194,22188077.6414456,21226535.3463788,20282067.4510403,23481645.3649667,23964170.2911212
22588431.3951372,23098611.2061977,22188626.2004856,21226771.5456906,20281956.8124438,23480997.5610564,23964523.2702207
22588791.0510884,23098017.8509325,22189174.827041,21227007.7775554,20281846.2797932,23480349.7827907,23964876.3517824
22589150.7897833,23097424.535554,22189723.5218024,21227244.0513277,20281735.8487489,23479702.0273314,23965229.5360879
22589510.6092909,23096831.2601781,22190272.2810331,21227480.3649238,20281625.5112498,23479054.2916381,23965582.8179321
22589870.5193006,23096238.0224468,22190821.1091043,21227716.7182063,20281515.2811544,23478406.5758687,23965936.2038927
22590230.5099315,23095644.8250271,22191370.010769,21227953.1136268,20281405.1452463,23477758.8725004,23966289.6972251
22590590.590085,23095051.6587731,22191918.9766003,21228189.5472885,20281295.114039,23477111.1953511,23966643.2923561
22590950.75419,23094458.5361248,22192468.0123519,21228426.0203113,20281185.1837471,23476463.5418134,23966996.9903756
22591311.0161343,23093865.4596496,22193017.1175754,21228662.5296079,20281075.3605399,23475815.9023901,23967350.7857893
22591671.3608324,23093272.4116556,22193566.2909302,21228899.0803397,20280965.6314069,23475168.287351,23967704.6832838
22592031.7872924,23092679.4111787,22194115.5260521,21229135.669795,20280856.0079781,23474520.6904765,23968058.684188
22592392.3022879,23092086.4451271,22194664.834456,21229372.2968163,20280746.4819943,23473873.1082156,23968412.7846371
22592752.9013137,23091493.5163906,22195214.2089402,21229608.9641513,20280637.0543765,23473225.5476533,23968766.9760333
22593113.5958613,23090900.6310959,22195763.6543319,21229845.6788746,20280527.7271294,23472578.014563,23969121.2776769
22593474.3675397,23090307.7863659,22196313.1711863,21230082.4234596,20280418.5020165,23471930.4950174,23969475.6845015
22593835.2287768,23089714.9799785,22196862.7537613,21230319.2080296,20280309.3771759,23471282.9996355,23969830.1937479
22594196.1728339,23089122.2116035,22197412.3957253,21230556.0307412,20280200.3503583,23470635.5271475,23970184.801946
22594557.1987393,23088529.4880477,22197962.1165245,21230792.8988901,20280091.4283007,23469988.0744426,23970539.5108555
22594918.3182997,23087936.8056616,22198511.9014791,21231029.8065909,20279982.6075669,23469340.6392492,23970894.3089187
22595279.5239843,23087344.1627194,22199061.7528291,21231266.7526028,20279873.8855834,23468693.2200946,23971249.221081
22595640.8132315,23086751.5513867,22199611.6855316,21231503.7368747,20279765.2628158,23468045.8265344,23971604.2232127
22596002.1836161,23086158.9791214,22200161.6749737,21231740.7638421,20279656.7486034,23467398.4482099,23971959.3239711
22596363.6453109,23085566.4499357,22200711.7329192,21231977.830017,20279548.3309134,23466751.1010909,23972314.5439045
22596725.1897506,23084973.9593521,22201261.8623491,21232214.9346916,20279440.0046622,23466103.7735858,23972669.8583277
22597086.8324682,23084381.5091626,22201812.0595014,21232452.0792265,20279331.7861755,23465456.4641085,23973025.2739943
22597448.5589316,23083789.0964437,22202362.3167957,21232689.2653402,20279223.6680443,23464809.1770583,23973380.7931351
22597810.3633621,23083196.7206159,22202912.6493287,21232926.4881789,20279115.6519555,23464161.904222,23973736.403557
22598172.2576098,23082604.3927564,22203463.0514917,21233163.7443252,20279007.7412511,23463514.6589541,23974092.1164204
22598534.2310022,23082012.1063146,22204013.5167435,21233401.0475602,20278899.9213214,23462867.4332631,23974447.9306955
22598896.2882279,23081419.8557713,22204564.0532855,21233638.3866242,20278792.204719,23462220.2261463,23974803.8530003
22599258.4346386,23080827.6425164,22205114.6595078,21233875.7623971,20278684.591941,23461573.0408163,23975159.8784494
22599620.6705673,23080235.4730359,22205665.3278625,21234113.1832854,20278577.0761272,23460925.8811537,23975515.995929
22599982.9929078,23079643.335591,22206216.0649477,21234350.6434291,20278469.6636047,23460278.740551,23975872.2103681
22600345.3922408,23079051.241032,22206766.8754024,21234588.1437401,20278362.3517428,23459631.6165468,23976228.5433122
22600707.879897,23078459.1906167,22207317.7472246,21234825.6821948,20278255.1366864,23458984.5063941,23976584.9687019
22601070.4638714,23077867.1783063,22207868.6847032,21235063.261441,20278148.0286727,23458337.4265826,23976941.496229
22601433.1259024,23077275.2080432,22208419.696415,21235300.8788022,20278041.0238589,23457690.364896,23977298.1248915
22601795.8773041,23076683.2801269,22208970.7730259,21235538.5328623,20277934.1111927,23457043.3245972,23977654.8491717
22602158.7134169,23076091.393619,22209521.9184298,21235776.2297279,20277827.3016766,23456396.2983352,23978011.685523
22602521.6372335,23075499.5372007,22210073.131549,21236013.9671075,20277720.5921295,23455749.2938468,23978368.614684
22602884.6500436,23074907.7192979,22210624.4155826,21236251.7450046,20277613.9889046,23455102.3160428,23978725.6429329
22603247.7452381,23074315.9462354,22211175.7638,21236489.5612918,20277507.4797629,23454455.354319,23979082.7797411
22603610.9236878,23073724.2147904,22211727.185302,21236727.4168313,20277401.0780544,23453808.4216316,23979440.0096031
22603974.1862959,23073132.5247135,22212278.6731077,21236965.3123531,20277294.7755804,23453161.5036234,23979797.3523121
22604337.5366487,23072540.8691928,22212830.2201371,21237203.2548327,20277188.5704017,23452514.6046659,23980154.7963736
22604700.9719837,23071949.2567443,22213381.8419654,21237441.2299568,20277082.4626569,23451867.732895,23980512.3328494
22605064.492863,23071357.6795663,22213933.5314198,21237679.2407694,20276976.4610654,23451220.8759222,23980869.9638076
22605428.0988334,23070766.1478878,22214485.2915574,21237917.2954162,20276870.5599686,23450574.0417955,23981227.7054975
22605791.7871926,23070174.6518336,22215037.1195011,21238155.3922284,20276764.7601038,23449927.2210964,23981585.5366339
22606155.5675922,23069583.19598,22215589.0115046,21238393.5190833,20276659.0534493,23449280.4309323,23981943.4845456
22606519.4305084,23068991.7822519,22216140.9769368,21238631.6886677,20276553.4551004,23448633.6679033,23982301.5269607
22606883.3775644,23068400.4153635,22216693.0063848,21238869.8985437,20276447.9594311,23447986.9187591,23982659.6677652
22607247.4161633,23067809.0843261,22217245.1072887,21239108.1507385,20276342.5555816,23447340.197871,23983017.9139113
22607611.5332593,23067217.7935601,22217797.2712018,21239346.4399897,20276237.256683,23446693.4926753,23983376.2653717
22607975.7327076,23066626.538744,22218349.5032361,21239584.7743873,20276132.0577943,23446046.8082884,23983734.7112563
22608340.0227657,23066035.3289795,22218901.8045378,21239823.142434,20276026.9619949,23445400.1492814,23984093.2569769
