carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1518703,23119403.3037864,22169467.4509056,21218528.2597313,20285889.0955601,23503682.4107358,23952229.3721272
22576254.7689587,23118808.5877283,22170013.6765089,21218763.1099338,20285775.0300083,23503033.9406929,23952578.8972149
22576611.4756011,23118213.9075076,22170559.9736891,21218998.0006757,20285661.067722,23502385.4939033,23952928.5253995
22576968.2627308,23117619.2608621,22171106.3390334,21219232.932257,20285547.2007978,23501737.0572345,23953278.2543805
22577325.1451359,23117024.6620751,22171652.7714176,21219467.9025764,20285433.4350429,23501088.644756,23953628.0862742
22577682.1101924,23116430.0974132,22172199.2790459,21219702.9096199,20285319.7725287,23500440.2559935,23953978.016239
22578039.166214,23115835.5662685,22172745.8489084,21219937.9600787,20285206.2123642,23499791.8893891,23954328.043351
22578396.2999893,23115241.0807216,22173292.4888303,21220173.0534943,20285092.7596156,23499143.534821,23954678.182301
22578753.5318723,23114646.6305766,22173839.1981183,21220408.1836857,20284979.400681,23498495.1965632,23955028.4210917
22579110.8399314,23114052.2215769,22174385.9724816,21220643.353367,20284866.1428086,23497846.8812321,23955378.7576755
22579468.247209,23113457.8500331,22174932.8261783,21220878.5608447,20284752.9870779,23497198.5922988,23955729.1986814
22579825.736095,23112863.5181402,22175479.7399389,21221113.8073132,20284639.9306331,23496550.3152456,23956079.7385227
22580183.3076927,23112269.2203941,22176026.7208427,21221349.0999428,20284526.9770807,23495902.0574785,23956430.3841649
22580540.9675524,23111674.9677188,22176573.7671203,21221584.4243575,20284414.1222014,23495253.8185125,23956781.1293426
22580898.7126237,23111080.749506,22177120.8917888,21221819.7858193,20284301.3641133,23494605.6031351,23957131.979853
22581256.5429824,23110486.5724645,22177668.081669,21222055.189757,20284188.7100634,23493957.4052008,23957482.9267331
22581614.4594537,23109892.4343911,22178215.3402101,21222290.6348129,20284076.1580657,23493309.2252987,23957833.9799662
22581972.4679368,23109298.3288043,22178762.6630532,21222526.1166284,20283963.7044616,23492661.0699124,23958185.1291341
22582330.5590667,23108704.2712976,22179310.0538515,21222761.6442871,20283851.3543364,23492012.9331097,23958536.3876045
22582688.7397439,23108110.2457979,22179857.5168747,21222997.2087514,20283739.0998332,23491364.8177152,23958887.7428315
22583047.0099346,23107516.2644023,22180405.0475332,21223232.811202,20283626.9491055,23490716.717782,23959239.2019603
22583405.3611838,23106922.3225334,22180952.6464098,21223468.4536193,20283514.9014179,23490068.6368869,23959590.7590466
22583763.7974639,23106328.4136236,22181500.3131048,21223704.1319954,20283402.9525429,23489420.5742648,23959942.4226335
22584122.3257422,23105734.549643,22182048.0455948,21223939.8499142,20283291.1033602,23488772.5366741,23960294.1813283
22584480.9364572,23105140.7257637,22182595.8492378,21224175.6137139,20283179.3522072,23488124.5150995,23960646.0494277
22584839.6405711,23104546.939696,22183143.7286668,21224411.4133905,20283067.7081143,23487476.5170321,23960998.0168151
22585198.4250193,23103953.1933993,22183691.6687106,21224647.2504848,20282956.1656012,23486828.5408079,23961350.0846536
22585557.3008955,23103359.4831653,22184239.683175,21224883.1281982,20282844.7262086,23486180.5793122,23961702.252974
22585916.2639547,23102765.8067552,22184787.7636382,21225119.0505483,20282733.3841769,23485532.6374743,23962054.52419
22586275.3051518,23102172.1767432,22185335.9095908,21225355.0100341,20282622.1475195,23484884.7156983,23962406.895175
22586634.4405766,23101578.5845939,22185884.1259502,21225591.008288,20282511.0056935,23484236.8174213,23962759.3741629
22586993.6618314,23100985.0287476,22186432.4131157,21225827.044202,20282399.9675678,23483588.9388273,23963111.9538132
22587352.9674951,23100391.5132559,22186980.7627926,21226063.1207905,20282289.029587,23482941.0747837,23963464.6349062
22587712.3589857,23099798.0350768,22187529.1830474,21226299.2343874,20282178.1915053,23482293.2337959,23963817.414232
22588071.8387332,23099204.6012065,22188077.6715437,21226535.3892551,20282067.4553672,23481645.4148846,23964170.2908101
22588431.4032378,23098611.2057053,22188626.234001,21226771.5838108,20281956.8214647,23480997.6180176,23964523.26973
22588791.0570339,23098017.8453127,22189174.857724,21227007.8168893,20281846.2862067,23480349.837178,23964876.3538721
22589150.7952898,23097424.5287169,22189723.553834,21227244.0942989,20281735.8520068,23479702.0765769,23965229.5408028
22589510.6237535,23096831.2524906,22190272.3166696,21227480.4054081,20281625.5095556,23479054.3382113,23965582.8268394
22589870.5387018,23096238.0120662,22190821.1424697,21227716.7545221,20281515.2759304,23478406.6197274,23965936.2127269
22590230.5367076,23095644.8146219,22191370.0423121,21227953.1445798,20281405.1423879,23477758.9230474,23966289.7036332
22590590.6215906,23095051.6545944,22191919.0091712,21228189.576398,20281295.1120997,23477111.2459006,23966643.2935615
22590950.793263,23094458.5380585,22192468.0399759,21228426.0459967,20281185.183308,23476463.5857979,23966996.986652
22591311.0486899,23093865.4529109,22193017.1430501,21228662.5584824,20281075.3473378,23475815.9504022,23967350.7839098
22591671.389603,23093272.4057876,22193566.3179826,21228899.1084146,20280965.6236937,23475168.330275,23967704.6761703
22592031.8160453,23092679.4044037,22194115.5640117,21229135.7019456,20280855.9910663,23474520.7283783,23968058.6720754
22592392.3315482,23092086.436921,22194664.8694957,21229372.3325855,20280746.469018,23473873.1440312,23968412.7663464
22592752.9314259,23091493.5102474,22195214.2452896,21229608.9993364,20280637.0445124,23473225.5854996,23968766.9653741
22593113.6255016,23090900.6272366,22195763.69215,21229845.7140126,20280527.7145273,23472578.0460574,23969121.2687964
22593474.3994324,23090307.7814777,22196313.1996213,21230082.4599104,20280418.4871281,23471930.5282344,23969475.6726017
22593835.2634931,23089714.9716443,22196862.7853196,21230319.2513439,20280309.3647287,23471283.0322377,23969830.1777076
22594196.2090306,23089122.2080158,22197412.4401367,21230556.0836798,20280200.3461677,23470635.5577093,23970184.7824565
22594557.2415086,23088529.4816284,22197962.1612574,21230792.9524206,20280091.424952,23469988.0993551,23970539.488151
22594918.3575393,23087936.7933173,22198511.9468068,21231029.8654635,20279982.6053413,23469340.6632687,23970894.2978191
22595279.5582023,23087344.1457562,22199061.7980885,21231266.8137295,20279873.8824709,23468693.247477,23971249.2061871
22595640.8468441,23086751.5362179,22199611.7202871,21231503.8030251,20279765.2584094,23468045.8573457,23971604.2101349
22596002.2247685,23086158.9660008,22200161.7107449,21231740.8234284,20279656.7371149,23467398.4808005,23971959.3207063
22596363.6819027,23085566.4400254,22200711.7736314,21231977.890801,20279548.3168281,23466751.1339308,23972314.5334555
22596725.229236,23084973.9539437,22201261.8984683,21232214.9971507,20279439.9973674,23466103.8052291,23972669.8464183
22597086.8654533,23084381.5055787,22201812.0920771,21232452.1437325,20279331.7751224,23465456.4870789,23973025.2615095
22597448.5873009,23083789.094198,22202362.3508772,21232689.3256842,20279223.6545673,23464809.1889539,23973380.7814392
22597810.3935332,23083196.7214071,22202912.6822539,21232926.5503486,20279115.6349241,23464161.9197109,23973736.3978693
22598172.2903825,23082604.3937258,22203463.0804324,21233163.8078546,20279007.7219846,23463514.6671596,23974092.1169345
22598534.2676663,23082012.1030467,22204013.5443415,21233401.1135428,20278899.9112035,23462867.4347298,23974447.9384683
22598896.3307453,23081419.8533315,22204564.0763952,21233638.4527739,20278792.1971861,23462220.2300966,23974803.8594515
22599258.4772668,23080827.640589,22205114.676639,21233875.830009,20278684.5854072,23461573.0427281,23975159.8797127
22599620.7103352,23080235.4685624,22205665.3479482,21234113.2530837,20278577.072552,23460925.8736324,23975516.0043023
22599983.0270344,23079643.3380481,22206216.0887061,21234350.714931,20278469.6609423,23460278.729146,23975872.2324259
22600345.4339632,23079051.2485476,22206766.8949091,21234588.2126119,20278362.3504824,23459631.602604,23976228.5579821
22600707.9243953,23078459.2016705,22207317.7672241,21234825.7508474,20278255.1381515,23458984.4936405,23976584.9823221
22601070.5007301,23077867.1897446,22207868.7057873,21235063.3260477,20278148.0279349,23458337.4105157,23976941.5172368
22601433.1704989,23077275.2171705,22208419.7092352,21235300.9469145,20278041.0163745,23457690.3466014,23977298.1479774
22601795.9245434,23076683.2784622,22208970.7840256,21235538.6067886,20277934.1044284,23457043.2964202,23977654.8747428
22602158.76067,23076091.38714,22209521.9286076,21235776.2984343,20277827.2969275,23456396.2784286,23978011.7008807
22602521.6848952,23075499.53452,22210073.1375119,21236014.0338583,20277720.5908401,23455749.273704,23978368.6318802
22602884.6929397,23074907.7222497,22210624.4165399,21236251.8126772,20277613.9799247,23455102.29508,23978725.6659804
22603247.7850307,23074315.9477127,22211175.7688776,21236489.6277574,20277507.4723913,23454455.3387482,23979082.8008229
22603610.9633282,23073724.2125253,22211727.1896544,21236727.482256,20277401.0660784,23453808.4054188,23979440.0337932
22603974.2260138,23073132.5183123,22212278.677934,21236965.3759302,20277294.7609575,23453161.4910374,23979797.3701842
22604337.5691678,23072540.866886,22212830.2329181,21237203.3120505,20277188.5554956,23452514.5887711,23980154.8088876
22604701.00672,23071949.2542195,22213381.8539174,21237441.2884904,20277082.450452,23451867.7135253,23980512.3505015
22605064.5266281,23071357.6811773,22213933.5409372,21237679.3032445,20276976.4492956,23451220.8566024,23980869.9906375
22605428.1311471,23070766.1444049,22214485.2942642,21237917.3581312,20276870.547382,23450574.0233757,23981227.7281194
22605791.824936,23070174.6458684,22215037.1192895,21238155.450068,20276764.7459026,23449927.2145805,23981585.5653368
22606155.598447,23069583.193103,22215589.0116459,21238393.5838502,20276659.0484303,23449280.4213972,23981943.5047725
22606519.4618532,23068991.7838332,22216140.9680045,21238631.7572535,20276553.4410569,23448633.6500303,23982301.5467045
22606883.4091457,23068400.4103711,22216693.0011541,21238869.9669855,20276447.945341,23447986.902129,23982659.6853822
22607247.4432344,23067809.0738041,22217245.0944687,21239108.2188786,20276342.5426644,23447340.1772948,23983017.9289717
22607611.5617627,23067217.7840529,22217797.2565138,21239346.5086506,20276237.2374035,23446693.4761568,23983376.2758327
22607975.75908,23066626.533612,22218349.4895155,21239584.8387433,20276132.0393244,23446046.7888969,23983734.7227804
22608340.0458191,23066035.3200997,22218901.7910544,21239823.2065464,20276026.9385949,23445400.124888,23984093.2665408
22608704.4217442,23065444.1470609,22219454.159792,21240061.6125696,20275921.9381735,23444753.4782409,23984451.9169863
22609068.8875876,23064853.0141982,22220006.5950941,21240300.0596793,20275817.0391153,23444106.8540964,23984810.6643187
22609433.4307752,23064261.9246323,22220559.0974028,21240538.5461476,20275712.2384041,23443460.2543682,23985169.5071194
22609798.0572559,23063670.872482,22221111.6649329,21240777.0752037,20275607.5432228,23442813.6776635,23985528.4613196
22610162.7760834,23063079.866495,22221664.3065869,21241015.6420171,20275502.9477595,23442167.1211062,23985887.509558
22610527.571361,23062488.891883,22222217.0119726,21241254.2474033,20275398.4541538,23441520.5856916,23986246.6586881
22610892.4585113,23061897.9608056,22222769.7832706,21241492.8978799,20275294.0608672,23440874.0695475,23986605.9109937
22611257.4292217,23061307.071516,22223322.6256683,21241731.5833967,20275189.7686973,23440227.5790593,23986965.2617905
22611622.485758,23060716.2199788,22223875.5367722,21241970.3061824,20275085.5820592,23439581.1090826,23987324.7144226
22611987.6239496,23060125.4109554,22224428.5114906,21242209.0686984,20274981.4933252,23438934.6583075,23987684.2702713
22612352.8501609,23059534.6413413,22224981.547285,21242447.8733408,20274877.5004639,23438288.2223211,23988043.9292548
22612718.1663739,23058943.9122334,22225534.6609799,21242686.7118149,20274773.6098301,23437641.8145609,23988403.684319
22613083.5679241,23058353.2276929,22226087.8435658,21242925.5949701,20274669.8206068,23436995.4297327,23988763.5404707
22613449.0500594,23057762.5824426,22226641.0947447,21243164.5153089,20274566.1298087,23436349.0698269,23989123.5012724
22613814.6117525,23057171.9751033,22227194.4083177,21243403.481885,20274462.540306,23435702.7254589,23989483.5581585
22614180.2703204,23056581.4092738,22227747.791938,21243642.4788682,20274359.0500349,23435056.4096764,23989843.7159775
22614546.0064561,23055990.8824943,22228301.2419917,21243881.5153394,20274255.6658428,23434410.1101679,23990203.9752939
22614911.8288908,23055400.3948243,22228854.7589649,21244120.5975898,20274152.3812017,23433763.82857,23990564.3351607
22615277.7334243,23054809.9520799,22229408.3424003,21244359.721789,20274049.1919095,23433117.5728619,23990924.7942484
22615643.7221376,23054219.5450585,22229961.9924406,21244598.8832812,20273946.1018336,23432471.3392537,23991285.3583415
22616009.7981199,23053629.1800564,22230515.7087466,21244838.0788813,20273843.1162189,23431825.1306781,23991646.0175816
22616375.9573359,23053038.8585749,22231069.4947897,21245077.3151144,20273740.2394154,23431178.9411216,23992006.7786643
22616742.2010784,23052448.5735193,22231623.3501795,21245316.5914703,20273637.4499933,23430532.7750974,23992367.63841
22617108.5345937,23051858.3334045,22232177.2708728,21245555.9049694,20273534.7651716,23429886.6296741,23992728.6031045
22617474.9539161,23051268.1281059,22232731.260879,21245795.2628279,20273432.1843185,23429240.5025705,23993089.6680122
22617841.4525141,23050677.9687791,22233285.3148721,21246034.6581198,20273329.7006548,23428594.3994269,23993450.829338
22618208.0420244,23050087.840767,22233839.4398288,21246274.0957501,20273227.3192857,23427948.3158165,23993812.0900901
22618574.7140239,23049497.7563723,22234393.6328901,21246513.5691388,20273125.0369013,23427302.2560475,23994173.4533833
22618941.4636565,23048907.7204734,22234947.8922844,21246753.0787815,20273022.852996,23426656.2216885,23994534.9213024
22619308.3047967,23048317.7160764,22235502.21915,21246992.6323647,20272920.775041,23426010.2074134,23994896.4844704
22619675.2287583,23047727.7580326,22236056.6150707,21247232.222323,20272818.7995123,23425364.2131755,23995258.1508938
22620042.2439168,23047137.8412612,22236611.0736903,21247471.8584385,20272716.916063,23424718.2398513,23995619.9229106
22620409.3383256,23046547.9609393,22237165.6027746,21247711.5347077,20272615.1332281,23424072.2889792,23995981.7892478
22620776.5152722,23045958.1225719,22237720.2020099,21247951.2504574,20272513.4563743,23423426.358645,23996343.7594457
22621143.7769303,23045368.3307198,22238274.8653071,21248191.0079545,20272411.8815668,23422780.4500006,23996705.8255815
22621511.1263756,23044778.5767708,22238829.5949149,21248430.7983777,20272310.4074044,23422134.5648998,23997067.9944437
22621878.5590445,23044188.8634528,22239384.3896793,21248670.6262553,20272209.0280244,23421488.6974014,23997430.2632931
22622246.0778599,23043599.1885324,22239939.2506024,21248910.5020255,20272107.7536753,23420842.8546118,23997792.6345709
22622613.6748436,23043009.556335,22240494.1772147,21249150.4106974,20272006.5833008,23420197.0352904,23998155.1069333
22622981.3603656,23042419.9665423,22241049.1755455,21249390.366351,20271905.5137485,23419551.2433609,23998517.677484
22623349.1274353,23041830.4149771,22241604.2464267,21249630.3585586,20271804.5343239,23418905.4664558,23998880.3450028
22623716.9855824,23041240.9057418,22242159.3847907,21249870.3902894,20271703.6596469,23418259.7109925,23999243.1177136
22624084.9216618,23040651.4366063,22242714.5845987,21250110.4551119,20271602.888436,23417613.9816069,23999605.9913254
22624452.9471037,23040062.0068356,22243269.8563693,21250350.5606002,20271502.2102665,23416968.2749151,23999968.9616579
22624821.0560735,23039472.6207095,22243825.1912571,21250590.7099552,20271401.6318282,23416322.5861801,24000332.0327326
22625189.2524189,23038883.2739028,22244380.5893175,21250830.8995445,20271301.1609006,23415676.9232205,24000695.2032999
22625557.5316502,23038293.9657011,22244936.0603903,21251071.1285339,20271200.7898734,23415031.277904,24001058.4756509
22625925.8915341,23037704.705665,22245491.5948495,21251311.3903078,20271100.5198731,23414385.6568126,24001421.8450202
22626294.3388107,23037115.4803829,22246047.2011748,21251551.6974786,20271000.3527321,23413740.0623536,24001785.3173401
22626662.8673421,23036526.2997717,22246602.8786054,21251792.0490852,20270900.2822113,23413094.4879498,24002148.8907533
22627031.4845213,23035937.1572306,22247158.6210567,21252032.4330607,20270800.3106834,23412448.9356451,24002512.5648525
22627400.1849955,23035348.0535585,22247714.4314001,21252272.8579383,20270700.439696,23411803.4079223,24002876.3384785
22627768.9676478,23034758.9900078,22248270.3060095,21252513.3194201,20270600.6703551,23411157.8992549,24003240.2150224
22628137.8388267,23034169.9715752,22248826.2489199,21252753.8211733,20270501.0020454,23410512.4128833,24003604.1888838
22628506.7954411,23033580.9945961,22249382.2563875,21252994.3617553,20270401.4264273,23409866.9547559,24003968.2610035
22628875.8348488,23032992.0537756,22249938.3314346,21253234.9447965,20270301.9581129,23409221.5086569,24004332.4327228
22629244.9616568,23032403.1608218,22250494.4717309,21253475.5674966,20270202.58959,23408576.0918936,24004696.702376
22629614.1682932,23031814.3069241,22251050.6805555,21253716.2308931,20270103.3205299,23407930.698101,24005061.0791885
22629983.4605666,23031225.4943213,22251606.9484727,21253956.9308306,20270004.1555852,23407285.3244791,24005425.5521333
22630352.8406837,23030636.7245594,22252163.2919754,21254197.6646401,20269905.0863077,23406639.9736301,24005790.1271725
22630722.3007788,23030047.9925954,22252719.7071993,21254438.4425675,20269806.1219792,23405994.6462704,24006154.8014878
22631091.8415476,23029459.3041755,22253276.1826097,21254679.2645535,20269707.2526402,23405349.3419834,24006519.5777918
22631461.4678286,23028870.6596955,22253832.7285849,21254920.1194702,20269608.4843549,23404704.0554936,24006884.4488693
22631831.179742,23028282.0512107,22254389.3385852,21255161.0150374,20269509.8177611,23404058.7919607,24007249.4213176
22632200.9758672,23027693.4852666,22254946.014895,21255401.9503686,20269411.2562757,23403413.5562349,24007614.5001651
22632570.8584024,23027104.9588069,22255502.7602963,21255642.9305164,20269312.7913723,23402768.3435479,24007979.6747562
22632940.8206374,23026516.4793868,22256059.5703226,21255883.9495232,20269214.4248945,23402123.1532528,24008344.9508606
22633310.872337,23025928.0383154,22256616.4518116,21256125.0099106,20269116.1649023,23401477.9853809,24008710.3285416
22633681.0086306,23025339.640993,22257173.3942771,21256366.1079902,20269017.9971514,23400832.8366259,24009075.8040383
22634051.2222004,23024751.2829039,22257730.403171,21256607.2463283,20268919.9355095,23400187.714614,24009441.3771232
22634421.5262966,23024162.9677449,22258287.4876115,21256848.4199419,20268821.9676417,23399542.6059752,24009807.0564701
22634791.9081188,23023574.6916949,22258844.6356448,21257089.6384228,20268724.1057682,23398897.5237288,24010172.8332803
22635162.3777353,23022986.4570542,22259401.8508065,21257330.8876227,20268626.3403629,23398252.466427,24010538.7094826
22635532.931473,23022398.2614737,22259959.1299121,21257572.1822404,20268528.6751919,23397607.4321713,24010904.6853206
22635903.5652294,23021810.1146117,22260516.4755369,21257813.5116846,20268431.1139665,23396962.419211,24011270.7656675
22636274.2844226,23021222.0044646,22261073.8888033,21258054.8838347,20268333.6525286,23396317.4356294,24011636.9440873
22636645.0869824,23020633.9344564,22261631.3734397,21258296.2982195,20268236.2897461,23395672.4663669,24012003.219344
22637015.9752029,23020045.90917,22262188.9191647,21258537.7529923,20268139.0302233,23395027.5293918,24012369.5931019
22637386.9483207,23019457.9260258,22262746.530989,21258779.2431499,20268041.8662185,23394382.609222,24012736.0687654
22637758.0019848,23018869.9830592,22263304.2094689,21259020.7768591,20267944.8053613,23393737.7080045,24013102.6358669
22638129.1441756,23018282.079662,22263861.9598037,21259262.3450069,20267847.8467792,23393092.8340735,24013469.3138998
22638500.365123,23017694.2188281,22264419.7740238,21259503.9564289,20267750.9912749,23392447.9811949,24013836.0888359
22638871.6730767,23017106.3997773,22264977.657024,21259745.6017693,20267654.2245561,23391803.1541419,24014202.9627082
22639243.0653595,23016518.6238324,22265535.6086705,21259987.2914878,20267557.5647989,23391158.3474699,24014569.9363016
22639614.5424226,23015930.8907243,22266093.6275734,21260229.0264273,20267461.0069974,23390513.5653751,24014937.0106405
