pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575898.7948477,23119404.3617948,22169467.8172448,21218526.4988001,20285890.4860214,23503681.1359365,23952229.8986713
22576255.3063662,23118809.7494501,22170013.6985575,21218761.1946691,20285776.5634692,23503032.7136333,23952579.2789006
22576612.0320249,23118215.2258408,22170559.9370446,21218996.2421886,20285662.3829491,23502384.4655189,23952928.9527659
22576968.8928078,23117620.5582339,22171106.4094052,21219231.0654038,20285548.4576548,23501735.9272401,23953278.722855
22577325.8613114,23117025.918156,22171652.7213901,21219466.0546188,20285434.5991737,23501087.2615976,23953628.3695454
22577682.9150437,23116431.4560419,22172199.3839728,21219701.1764687,20285320.928795,23500438.8258426,23953978.3843809
22578039.9997682,23115836.8651729,22172745.9556075,21219936.1658946,20285207.2365886,23499790.4892534,23954328.3629999
22578397.1670719,23115242.1100191,22173292.5479466,21220171.4477916,20285093.9612606,23499142.4497567,23954678.5235614
22578754.2090921,23114647.5792878,22173839.3883028,21220406.5551565,20284980.496736,23498494.0490588,23955028.7836669
22579111.4890413,23114052.9868445,22174386.2152686,21220641.9192597,20284867.0857286,23497845.6092457,23955379.1075745
22579468.9316427,23113458.7119218,22174932.9311153,21220877.3816446,20284753.9760019,23497197.6007322,23955729.3675383
22579826.621686,23112864.1490245,22175479.7937342,21221112.3962592,20284640.7615088,23496549.2286626,23956079.6530257
22580184.1776972,23112269.7213091,22176026.9654877,21221347.5915783,20284528.0843259,23495900.875727,23956430.1875903
22580541.9249597,23111675.6279588,22176574.1445825,21221582.8212174,20284415.3269455,23495252.5513661,23956780.9269917
22580899.5924503,23111081.3894273,22177121.3088507,21221818.1032846,20284302.781513,23494604.4441244,23957131.9314841
22581257.6148548,23110486.9446176,22177668.2723831,21222053.4942187,20284190.3158263,23493956.1343846,23957482.7662709
22581615.6654254,23109892.8772905,22178215.4407494,21222289.0666777,20284078.0199398,23493308.02757,23957833.8114576
22581973.8685896,23109298.9208127,22178762.8320558,21222524.6774676,20283965.3258598,23492659.7780525,23958184.8184453
22582332.3106598,23108704.8564252,22179310.3488114,21222760.2223897,20283853.0788106,23492011.7379691,23958536.0578454
22582690.6843109,23108110.8236003,22179857.6857174,21222995.7845982,20283740.5544076,23491363.5919851,23958887.3879776
22583048.7105923,23107516.9097269,22180405.2187358,21223231.4641467,20283628.3805002,23490715.3561699,23959238.9499355
22583406.923035,23106922.9560157,22180953.2375582,21223467.076574,20283516.1727615,23490067.2564438,23959590.5593541
22583765.3711497,23106329.1286885,22181500.8009837,21223703.0350285,20283404.4050745,23489419.4133853,23959942.316903
22584123.7005667,23105735.1024306,22182048.4984041,21223938.5704058,20283292.4749665,23488771.3682263,23960293.986691
