carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1454461,23119403.312098,22169467.443049,21218528.2176377,20285889.078535,23503682.3966638,23952229.381247
22576254.7595877,23118808.5898408,22170013.6666682,21218763.0667735,20285775.0116629,23503033.9312643,23952578.9018441
22576611.4683279,23118213.9139456,22170559.9658831,21218997.956029,20285661.0443206,23502385.4756545,23952928.5266228
22576968.2591053,23117619.2759693,22171106.3277673,21219232.8910919,20285547.1842464,23501737.0451486,23953278.2592768
22577325.134692,23117024.673946,22171652.7636741,21219467.8647666,20285433.4249392,23501088.6383202,23953628.084792
22577682.0961929,23116430.1066342,22172199.2621878,21219702.8783061,20285319.7614365,23500440.2520377,23953978.0181644
22578039.1485686,23115835.5779862,22172745.8352924,21219937.9263653,20285206.1996768,23499791.8754108,23954328.0532704
22578396.2917944,23115241.0816662,22173292.4761185,21220173.0148769,20285092.7371739,23499143.5193882,23954678.1848829
22578753.5211917,23114646.6302212,22173839.1868587,21220408.1414121,20284979.3765409,23498495.1887322,23955028.4219657
22579110.8348546,23114052.2164084,22174385.9671117,21220643.3142962,20284866.1200888,23497846.8741098,23955378.7623983
22579468.2347366,23113457.8447407,22174932.8137028,21220878.5253615,20284752.9622308,23497198.5786269,23955729.2043175
22579825.7233916,23112863.51315,22175479.7298633,21221113.7764146,20284639.9021049,23496550.3049303,23956079.7470572
22580183.2917459,23112269.2198095,22176026.7140263,21221349.0645914,20284526.9458202,23495902.0535861,23956430.3971519
22580540.9480274,23111674.9678531,22176573.7650109,21221584.3924153,20284414.0949073,23495253.821437,23956781.1408402
22580898.6899816,23111080.7534698,22177120.8848387,21221819.7616609,20284301.3350091,23494605.6009779,23957131.9905673
22581256.52562,23110486.577438,22177668.0755162,21222055.1682465,20284188.6843938,23493957.4033325,23957482.9393348
22581614.4487263,23109892.4350875,22178215.3363633,21222290.6076785,20284076.1329041,23493309.2226811,23957833.9900416
22581972.4564747,23109298.33055,22178762.6626593,21222526.0885798,20283963.6815342,23492661.0713653,23958185.1433786
22582330.5455002,23108704.2708137,22179310.0552441,21222761.618242,20283851.331687,23492012.9345806,23958536.3943385
22582688.7229287,23108110.251175,22179857.523659,21222997.1831017,20283739.0825772,23491364.8106876,23958887.7513091
22583046.9895869,23107516.2641027,22180405.0584094,21223232.7858342,20283626.938405,23490716.7183081,23959239.2085002
22583405.3428215,23106922.3216211,22180952.656337,21223468.4289789,20283514.8900952,23490068.6418147,23959590.7666878
22583763.7850276,23106328.4180911,22181500.3246208,21223704.1107851,20283402.9389438,23489420.5838047,23959942.4282704
22584122.3101413,23105734.5515507,22182048.0592554,21223939.8340127,20283291.0899694,23488772.5421284,23960294.198016
22584480.9217224,23105140.727899,22182595.8643669,21224175.5901504,20283179.3396443,23488124.5271401,23960646.0622454
22584839.6223604,23104546.9394411,22183143.7382209,21224411.3867829,20283067.6890701,23487476.525474,23960998.0264035
22585198.4111617,23103953.1912225,22183691.6816273,21224647.2287109,20282956.1481202,23486828.54668,23961350.0949864
22585557.28304,23103359.4851612,22184239.6905967,21224883.1083517,20282844.7073268,23486180.5860984,23961702.2620062
22585916.2451958,23102765.8138623,22184787.7644282,21225119.0280368,20282733.3634751,23485532.6499614,23962054.5348253
22586275.2925667,23102172.1818603,22185335.90737,21225354.9799841,20282622.1209013,23484884.7258869,23962406.9087346
22586634.4270386,23101578.5893963,22185884.1196536,21225590.9792181,20282510.9789664,23484236.8239822,23962759.3857214
22586993.6472287,23100985.0379279,22186432.4017677,21225827.0220004,20282399.9385718,23483588.9457577,23963111.96098
22587352.9470751,23100391.5239833,22186980.7514438,21226063.1035205,20282289.0022707,23482941.0841814,23963464.6393113
22587712.3434012,23099798.0514389,22187529.1791867,21226299.2195646,20282178.1702571,23482293.2449882,23963817.4175526
22588071.8208164,23099204.6230935,22188077.6682487,21226535.3729318,20282067.4363276,23481645.423277,23964170.2938997
22588431.3892153,23098611.234496,22188626.2210852,21226771.569871,20281956.7934253,23480997.6218176,23964523.2763867
22588791.0434639,23098017.8787817,22189174.8479587,21227007.8018913,20281846.2503541,23480349.8398015,23964876.3589461
22589150.7808408,23097424.5574995,22189723.5406673,21227244.0716629,20281735.814961,23479702.0825329,23965229.5442163
22589510.6009204,23096831.2762914,22190272.2995065,21227480.3885847,20281625.4824314,23479054.3455327,23965582.8338946
22589870.5085558,23096238.0423852,22190821.127789,21227716.7471389,20281515.2447596,23478406.6222129,23965936.2210767
22590230.5126078,23095644.8464138,22191370.0257532,21227953.1383235,20281405.1123129,23477758.9240151,23966289.7100324
22590590.5950662,23095051.685133,22191918.9961476,21228189.5700741,20281295.0805225,23477111.2475441,23966643.3027508
22590950.7654987,23094458.5655069,22192468.0306368,21228426.0368444,20281185.1528115,23476463.5883394,23966996.995157
22591311.0234739,23093865.4838329,22193017.1313016,21228662.549098,20281075.3246123,23475815.9528432,23967350.7882838
22591671.3687475,23093272.441861,22193566.3019214,21228899.1021559,20280965.5885397,23475168.33426,23967704.6815386
22592031.7948568,23092679.4354898,22194115.54181,21229135.6869993,20280855.9611138,23474520.7367215,23968058.6780401
22592392.3107227,23092086.4747955,22194664.8539071,21229372.3150615,20280746.4322889,23473873.1653677,23968412.7742269
22592752.9090653,23091493.553064,22195214.2276131,21229608.9890067,20280637.009555,23473225.6052096,23968766.969516
22593113.5956183,23090900.6689257,22195763.6706562,21229845.7008725,20280527.6834782,23472578.0648242,23969121.2725689
22593474.3628844,23090307.8240216,22196313.1850918,21230082.4477476,20280418.4581047,23471930.5482413,23969475.6716529
22593835.2240987,23089715.0148269,22196862.7675205,21230319.2325018,20280309.3357306,23471283.0516035,23969830.1741529
22594196.1698868,23089122.2479861,22197412.4162777,21230556.0602698,20280200.3097048,23470635.57945,23970184.7842489
22594557.2007736,23088529.5217332,22197962.1374334,21230792.9280413,20280091.382154,23469988.1247383,23970539.491671
22594918.3178693,23087936.8329109,22198511.9222326,21231029.8352214,20279982.5544857,23469340.6856738,23970894.2952871
22595279.5234778,23087344.1821764,22199061.7775077,21231266.7832249,20279873.8307946,23468693.2770128,23971249.2066261
22595640.8167205,23086751.569307,22199611.69753,21231503.7676437,20279765.2111449,23468045.8786114,23971604.2159613
22596002.1911385,23086159.001792,22200161.689693,21231740.7950777,20279656.6954372,23467398.504155,23971959.3251645
22596363.6463708,23085566.4722226,22200711.7489807,21231977.8632892,20279548.2794811,23466751.1499463,23972314.5351733
22596725.194833,23084973.9873448,22201261.8754348,21232214.9658088,20279439.9602591,23466103.812525,23972669.8447733
22597086.8289862,23084381.5413148,22201812.0702746,21232452.1088716,20279331.7413218,23465456.5010613,23973025.2657147
22597448.5499122,23083789.1289802,22202362.3355601,21232689.2956812,20279223.6203828,23464809.2111375,23973380.7790015
22597810.357368,23083196.7582762,22202912.6648211,21232926.5226726,20279115.6060861,23464161.9390133,23973736.3889478
22598172.2466831,23082604.4225047,22203463.0653125,21233163.7852235,20279007.6873137,23463514.686123,23974092.1079416
22598534.2255038,23082012.1309201,22204013.530251,21233401.0872675,20278899.869722,23462867.4581078,23974447.9219815
22598896.2891984,23081419.8832302,22204564.0658372,21233638.4274226,20278792.1576178,23462220.2436381,23974803.8463396
22599258.4357091,23080827.6698989,22205114.6687315,21233875.8015812,20278684.5469637,23461573.0601797,23975159.8647328
22599620.6705903,23080235.4993147,22205665.3355681,21234113.2264714,20278577.0301296,23460925.8868474,23975515.9877131
22599982.9880357,23079643.3706508,22206216.0665851,21234350.6882714,20278469.6155563,23460278.7416483,23975872.2129938
22600345.3935723,23079051.2739818,22206766.8708404,21234588.1876949,20278362.3031799,23459631.6110062,23976228.5346207
22600707.886691,23078459.2244309,22207317.7428892,21234825.7286538,20278255.0939715,23458984.5040388,23976584.9564692
22601070.4663116,23077867.2096023,22207868.6881862,21235063.3086385,20278147.9870051,23458337.4184616,23976941.4816695
22601433.1294178,23077275.2412048,22208419.7003203,21235300.925798,20278040.9785412,23457690.3558025,23977298.1080063
22601795.8774708,23076683.3075271,22208970.776664,21235538.5865052,20277934.0693186,23457043.3112771,23977654.8391022
22602158.7141633,23076091.4235464,22209521.9235109,21235776.2831702,20277827.2672103,23456396.2940969,23978011.6668067
22602521.6313277,23075499.5679588,22210073.1359805,21236014.0181221,20277720.5558131,23455749.2909454,23978368.6027413
22602884.6435217,23074907.7555475,22210624.4194698,21236251.7926586,20277613.9523803,23455102.3109579,23978725.6362102
22603247.7319399,23074315.9781763,22211175.7656954,21236489.6062794,20277507.4462276,23454455.3543883,23979082.770915
22603610.910868,23073724.244575,22211727.1819324,21236727.4614102,20277401.0400194,23453808.4170737,23979440.0082744
22603974.1771725,23073132.5489696,22212278.6661537,21236965.3584326,20277294.7368596,23453161.5051843,23979797.345847
22604337.5246588,23072540.8990964,22212830.2181045,21237203.2876125,20277188.5308176,23452514.6044094,23980154.7819783
22604700.9624554,23071949.2863128,22213381.8406496,21237441.2624511,20277082.4290216,23451867.7317743,23980512.3180572
