dop1_1,dop1_2,dop1_3,dop1_4,dop1_5,dop1_6,dop1_7
-67.6468836554203,113.000854321728,-103.864388961932,-44.6915254298915,21.8258851855062,123.186938120507,-66.4073828926852
-67.6777027626278,112.986632636444,-103.88221659094,-44.7208636706238,21.8039525689633,123.164198561999,-66.4522457913768
-67.6816721974271,112.99157508971,-103.900590760598,-44.7350096158611,21.8034992063112,123.180840832695,-66.4212441030293
-67.7115710031884,112.967721220714,-103.913226780324,-44.726272280209,21.7820145743924,123.190808665654,-66.3853881894172
-67.7381280944807,112.967179144906,-103.926713577529,-44.7340538012744,21.7626197392722,123.190417465477,-66.4060218861115
-67.7461440427262,112.965319941196,-103.943191867166,-44.7445642488186,21.7370406793438,123.176779217796,-66.414416071394
-67.788452408983,112.939642944577,-103.955749294318,-44.7470343014868,21.6967413140863,123.174857430371,-66.4605763460951
-67.8108806615663,112.935539543662,-103.97384533238,-44.7555147058626,21.6758733737499,123.156562288561,-66.4702707423076
-67.8240905282781,112.912769275731,-103.987982423838,-44.7434432411358,21.6528062396594,123.144626279181,-66.4826313204642
-67.8386888840046,112.891862534284,-103.992223027172,-44.7683463005339,21.6440926181819,123.147491027437,-66.4953301529454
-67.8712599096311,112.882953831062,-103.995325638001,-44.7591949484676,21.6156247907539,123.127418505168,-66.5237254054343
-67.922881450944,112.866711206333,-104.006678328224,-44.7547400854927,21.5908341334111,123.132406802057,-66.5443263605253
-67.9582867053166,112.876331939826,-104.020858037654,-44.7666927070027,21.6018883668128,123.127843759025,-66.5698713085883
-67.9616771650601,112.852568579809,-104.02997804118,-44.8043425653817,21.6142889488878,123.124433168337,-66.6067977065143
-67.9940364863083,112.84619879306,-104.044535060785,-44.8305707527811,21.610268049291,123.141992121264,-66.6526291908465
-68.0270420678934,112.854915077214,-104.032197232221,-44.8661860879655,21.5841572284745,123.12811516262,-66.6972277058447
-68.0532934842974,112.839853511052,-104.047419878494,-44.866628202972,21.5581933653227,123.142889721117,-66.7071317987425
-68.0992161048564,112.843010312055,-104.051632206203,-44.8358505349002,21.5670799554186,123.127281616956,-66.7116015235715
-68.1502015704692,112.836068587015,-104.039185067705,-44.826215436388,21.5549429270298,123.119263033102,-66.7062484142346
-68.1506926338487,112.835261364438,-104.060008387154,-44.8366821034739,21.5325682796257,123.119788486761,-66.7026700417837
-68.1603007693247,112.83125909166,-104.070259317279,-44.8742485787145,21.5152396855129,123.096205271473,-66.695313221879
-68.1855311178308,112.839686825778,-104.10477811102,-44.8720390207443,21.515898700681,123.106298488345,-66.6845324800775
-68.2156022427762,112.823403024075,-104.111025379873,-44.8917773136795,21.4746435707769,123.093130576096,-66.7017109897419
-68.2321220572652,112.788607845878,-104.132953626731,-44.8934752758503,21.4449810736334,123.096866164912,-66.7395705012138
-68.265896846076,112.767498337478,-104.162943002169,-44.8818571364302,21.4248053976455,123.110368642717,-66.773229963279
-68.2857933025373,112.755251079262,-104.169145657256,-44.8995102908375,21.3758531193448,123.089815600987,-66.8119773554133
-68.2883839717815,112.735597808275,-104.162923193702,-44.913075933818,21.351590748092,123.129653114977,-66.8518195015735
-68.2911248468251,112.720214074683,-104.191584735627,-44.93640005869,21.3171616838275,123.141988268086,-66.8728064687556
-68.308803449392,112.737221139823,-104.204135359069,-44.9591125723233,21.295434368862,123.155901654066,-66.880122161795
-68.3184029500717,112.725847192224,-104.200688314624,-44.9988431273932,21.2908597715712,123.162447835775,-66.9213286663834
-68.3206622164782,112.721286212026,-104.236386094269,-44.9759810097234,21.2907949315516,123.169541879095,-66.9167137983575
-68.338953878024,112.727133814156,-104.231489698145,-44.9827745196881,21.2569216926776,123.178234790763,-66.9420629770129
-68.3469371951764,112.723370503318,-104.233320426704,-45.0140437270877,21.2161349892831,123.197265181357,-66.977099320513
-68.3574831498948,112.695248737649,-104.232391103795,-45.02388649921,21.2004015815562,123.184235037066,-66.9929734408121
-68.365780861257,112.682387677729,-104.262905708458,-45.0172796246185,21.1862196368454,123.190413357895,-67.0274941143071
-68.3716228603724,112.686109776573,-104.274791633334,-45.0108792296995,21.1391697244729,123.202560418911,-67.0298355661796
-68.398024790936,112.666167293032,-104.299530791596,-45.0066373008595,21.1062830226274,123.208477585464,-67.0873567790225
-68.4182960170308,112.656130801023,-104.289399422676,-45.0228034234577,21.0719779816178,123.212918169062,-67.1171919746871
-68.4660683697974,112.629035296543,-104.296124129348,-45.0269151927879,21.0402714211759,123.230872629861,-67.1155080784872
-68.5009050367451,112.616820531874,-104.343157702266,-45.0150823206367,21.0234635683094,123.212955447591,-67.1575819974128
