pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575897.5344314,23119404.9108247,22169468.6472329,21218528.2033827,20285888.9637937,23503682.31543,23952231.769905
22576253.1093596,23118809.1240169,22170015.1759976,21218762.142639,20285774.591739,23503033.0441805,23952578.3675289
22576612.097378,23118214.0835049,22170559.886852,21218999.0000635,20285663.3439077,23502386.3127346,23952927.9996074
22576967.1750152,23117619.1083537,22171106.2871721,21219233.1530606,20285548.9097722,23501736.7296172,23953277.235547
22577325.398969,23117026.6525071,22171650.7690563,21219468.6225484,20285433.1170482,23501088.5121142,23953629.5712398
22577680.6945785,23116428.5673853,22172199.378223,21219704.634364,20285319.15988,23500439.356251,23953979.5679125
22578039.7662655,23115837.3717072,22172745.8881583,21219938.0398001,20285205.0364058,23499791.5695508,23954328.2946756
22578396.6199602,23115239.5480371,22173291.8289131,21220172.6914249,20285093.4365461,23499142.1199054,23954679.9318779
22578754.6017808,23114644.5266106,22173839.1926398,21220407.5779687,20284978.2945935,23498493.2454892,23955028.2208318
22579112.6743974,23114050.1234649,22174386.6871088,21220643.6830696,20284867.517572,23497845.8924915,23955379.2345834
22579468.3631076,23113457.7453063,22174932.6268429,21220878.4361276,20284753.6511741,23497199.1292014,23955730.8323509
22579824.3661357,23112861.9004804,22175479.7651272,21221114.2882528,20284638.8370348,23496548.0703311,23956080.0939973
22580182.3311726,23112271.0932084,22176027.9428446,21221348.1512234,20284527.1429617,23495903.0121735,23956429.4543564
22580541.2023243,23111676.2506354,22176573.1187236,21221582.6776075,20284415.2598989,23495255.8720484,23956780.7216887
22580896.3082785,23111081.3231005,22177120.8932313,21221819.3973475,20284301.9947309,23494604.2196382,23957131.074771
22581256.6880482,23110488.2189794,22177668.9699608,21222056.8560179,20284188.7801294,23493958.461772,23957481.1405344
22581613.7495565,23109891.882846,22178215.8399722,21222289.9171869,20284076.8192562,23493309.4208593,23957834.4302832
22581975.1967672,23109299.0622297,22178763.3461934,21222525.7316795,20283964.0693402,23492660.112016,23958186.2244773
22582328.7686463,23108705.5480679,22179308.2943494,21222763.1643727,20283851.6645464,23492012.7695806,23958534.8411178
22582689.4118829,23108110.1014329,22179857.3131871,21222997.5701647,20283737.9031537,23491364.0091688,23958889.7200558
22583045.5294819,23107516.2377186,22180405.6914272,21223231.6829322,20283629.1722509,23490717.05704,23959240.8488226
22583404.6606525,23106923.977707,22180952.9891616,21223468.6568072,20283515.7915436,23490068.8931351,23959590.4132454
22583762.9831791,23106327.7160544,22181501.4367421,21223705.8615903,20283401.6247185,23489421.7671033,23959941.5167964
22584121.6223482,23105735.1922351,22182047.622243,21223940.5843263,20283290.4381409,23488773.786774,23960294.4674524
22584479.6101149,23105139.8854765,22182594.6948491,21224175.5668446,20283178.6025956,23488122.7078056,23960644.0908825
22584840.5770951,23104545.5526898,22183142.4029734,21224412.1288024,20283066.6177272,23487476.3603812,23960998.8861183
22585197.1556239,23103953.2813357,22183691.7348572,21224647.3255233,20282958.694514,23486829.2413968,23961351.1549368
22585558.6030328,23103360.9428399,22184240.2165509,21224882.7531325,20282844.4506507,23486183.963056,23961703.4275453
22585918.2200785,23102765.7871707,22184788.6114091,21225117.8211259,20282732.656055,23485532.3884395,23962054.0898107
22586276.7536402,23102170.8049154,22185334.3589239,21225357.3166167,20282623.7489724,23484882.8415801,23962406.1783654
22586634.1332323,23101578.3255325,22185884.2859928,21225589.8423928,20282511.3961591,23484236.7096265,23962758.5119076
22586992.3504181,23100985.5662719,22186432.3727506,21225826.2507932,20282400.8687455,23483588.3131367,23963110.5069727
22587352.1467972,23100391.9018311,22186979.7867611,21226063.5277848,20282290.4827674,23482940.8292054,23963464.0073261
22587713.116532,23099797.8609009,22187528.0241689,21226299.2638436,20282178.0895852,23482293.5664169,23963818.3718368
22588069.2895401,23099206.3898845,22188078.7044941,21226535.8457591,20282068.1019195,23481646.8874199,23964171.3970685
22588431.9938725,23098612.2136126,22188625.4854375,21226770.9025498,20281956.9973247,23480997.3795636,23964522.1068751
22588788.68091,23098018.2382859,22189175.3443788,21227007.6854328,20281848.3903055,23480349.5246238,23964875.6932302
22589151.8675439,23097423.7822382,22189722.3716464,21227243.6202692,20281735.415248,23479703.9329212,23965228.2858019
22589511.944866,23096830.7944418,22190270.9589965,21227480.5565109,20281625.603455,23479054.1230248,23965582.2797103
22589870.9586494,23096237.8298926,22190821.4784237,21227717.6606255,20281515.4505457,23478406.8346695,23965934.7054309
22590231.0323636,23095642.9644026,22191370.1212695,21227952.4704024,20281405.3171726,23477758.3629153,23966291.4638738
22590589.335229,23095053.9492108,22191918.8665392,21228190.9362532,20281296.129283,23477110.8788493,23966642.2481606
22590952.0889763,23094459.9817505,22192469.4323405,21228425.7364275,20281187.5174881,23476462.9801851,23966996.6818441
22591309.963467,23093864.6595264,22193017.9098752,21228665.0211991,20281074.6452968,23475816.7112613,23967351.7634945
22591671.1136246,23093272.5508644,22193566.067758,21228900.1685632,20280967.6732565,23475167.5017803,23967704.6308584
22592030.4200349,23092679.0615599,22194116.6069079,21229136.0496414,20280855.2002166,23474521.4203861,23968057.6141581
22592393.1650755,23092085.9239426,22194664.235034,21229373.6787034,20280749.493918,23473871.9566706,23968411.7675753
22592753.2058488,23091494.1555553,22195214.3688345,21229608.9384745,20280636.5460241,23473225.6894715,23968766.8263017
22593114.1862057,23090902.0281744,22195766.0439184,21229846.367125,20280526.9220294,23472578.3181248,23969120.7498914
22593473.5076879,23090308.3897801,22196315.3711697,21230082.0710797,20280416.0484529,23471929.7429489,23969475.3389217
22593835.3230601,23089715.0997482,22196862.155493,21230319.9011304,20280307.2444676,23471283.8895667,23969828.7022437
22594196.7942047,23089122.6953929,22197412.4977636,21230556.2297827,20280200.9226435,23470635.4226917,23970185.670292
22594557.2818563,23088530.8375344,22197961.4134141,21230794.9460144,20280090.5511568,23469989.3338614,23970539.7928601
22594918.479375,23087936.7332587,22198512.0302219,21231030.7384863,20279981.3841018,23469340.235877,23970894.9362304
22595279.9210296,23087344.4254496,22199061.5438099,21231268.686337,20279871.6641092,23468692.8177247,23971248.2662252
22595640.9316509,23086750.50063,22199612.4457398,21231502.2119451,20279765.8258993,23468045.3110078,23971604.9563175
22596001.8651117,23086159.3764785,22200161.5932455,21231741.2384036,20279656.2596655,23467398.8729786,23971958.4418548
22596365.5700136,23085568.7590904,22200710.7883336,21231977.2676354,20279549.0463924,23466750.4136205,23972314.8873451
22596725.8055714,23084973.2399208,22201262.7281421,21232215.764587,20279441.0743604,23466105.4537609,23972670.2349018
22597088.1793251,23084381.6361536,22201812.0511504,21232451.0735032,20279332.1294571,23465456.2357997,23973023.5122337
