pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575879.3052988,23119327.6116632,22169524.691321,21218519.7927837,20285877.2726304,23503750.0042775,23952213.4929259
22576236.044702,23118732.4213258,22170070.5546303,21218755.1854602,20285761.8931036,23503100.1540433,23952564.1318427
22576593.1331431,23118137.3145393,22170618.3478329,21218991.8321565,20285650.5955534,23502456.1476602,23952913.118431
22576949.3269865,23117545.2362071,22171164.0567286,21219225.9800841,20285536.2682589,23501802.7507072,23953263.3003318
22577305.4533601,23116948.8372676,22171711.1170649,21219461.2707975,20285422.1799872,23501155.223578,23953611.4922803
22577662.9713548,23116353.907474,22172258.0381735,21219693.3165949,20285308.9452683,23500507.3739105,23953961.4338765
22578020.8682708,23115759.9369388,22172805.2949892,21219930.5836706,20285193.6740406,23499859.862467,23954313.8598152
22578379.4995045,23115163.4734189,22173349.2178184,21220165.2287266,20285082.3646758,23499211.2969283,23954665.1109223
22578734.001109,23114570.998511,22173897.7609021,21220401.5733649,20284969.1280443,23498563.6896574,23955015.120896
22579089.3675537,23113976.8759328,22174443.9793262,21220636.2380887,20284854.3215165,23497912.4878422,23955363.7400635
22579449.0729915,23113381.122257,22174991.616459,21220870.5912381,20284742.5467007,23497265.7192607,23955712.8565357
22579807.191891,23112786.8124244,22175536.8451065,21221107.231248,20284628.9287346,23496620.8552334,23956064.1903393
22580164.269881,23112193.017577,22176083.8306806,21221340.9147129,20284515.3105195,23495966.8458948,23956415.0973431
22580520.7857471,23111600.222179,22176630.581411,21221575.5901834,20284402.4329878,23495319.2863403,23956763.1119788
22580879.3100408,23111003.5290995,22177177.6459816,21221813.2547072,20284289.1401532,23494672.8229381,23957117.2101377
22581237.6828592,23110412.8709031,22177725.5004207,21222048.6807964,20284177.5565579,23494023.7191446,23957468.3001567
22581593.3408847,23109817.8315267,22178272.5931074,21222281.7512573,20284064.4006566,23493372.7578001,23957820.6187602
22581954.0966365,23109223.5033207,22178821.2843033,21222517.755817,20283952.5411686,23492728.9806387,23958167.8183064
22582309.0939991,23108627.7884012,22179369.0276316,21222754.9598482,20283840.3999776,23492078.038205,23958520.9058436
22582669.6915686,23108034.4623918,22179915.6430143,21222990.4807725,20283727.5838659,23491431.9535464,23958872.2486369
22583028.2641599,23107439.8633871,22180464.0495649,21223227.9032847,20283615.5684819,23490784.8422756,23959223.4475324
22583387.1983589,23106846.1273171,22181010.102459,21223459.4929203,20283502.3576419,23490135.9924177,23959575.5917035
22583745.1210009,23106250.9250635,22181558.2890311,21223696.4790911,20283391.5477787,23489488.8893236,23959928.1771463
22584104.7903229,23105658.4395644,22182106.3157701,21223933.1796243,20283280.9508864,23488841.0365153,23960278.796905
22584460.6749813,23105067.0964883,22182654.8195351,21224168.9578323,20283167.5793113,23488190.7147806,23960629.5780953
22584819.7414435,23104471.0827503,22183201.2142274,21224402.9816651,20283057.5228725,23487544.3550074,23960982.3874878
22585179.116397,23103876.3141711,22183751.9818474,21224640.9305189,20282944.8871874,23486895.9040877,23961336.502111
22585539.2689484,23103284.0008309,22184297.6196036,21224874.9980659,20282833.4308477,23486248.1573176,23961687.2532936
22585898.6045789,23102690.4249609,22184845.2929047,21225111.0323282,20282722.2195032,23485599.5881113,23962039.4942973
22586257.0016866,23102096.5187382,22185393.3678872,21225345.8976082,20282611.4849878,23484949.2977928,23962390.6954262
22586614.1773218,23101502.5867932,22185944.361072,21225584.1740976,20282500.2484202,23484304.6083305,23962743.2261062
22586975.0669602,23100907.1249556,22186489.9292583,21225818.5400741,20282387.3921949,23483656.1322913,23963094.4668721
22587333.0569239,23100315.8784201,22187039.8191964,21226056.9811374,20282276.309723,23483008.3032842,23963450.464576
22587693.6116048,23099721.0655775,22187588.5729869,21226292.6642702,20282166.7554217,23482359.1830585,23963803.0837342
22588053.9010972,23099128.6856448,22188135.1605243,21226528.4717942,20282054.7868342,23481711.65952,23964158.2178182
22588412.2606226,23098537.8615255,22188684.3960246,21226764.3047736,20281945.3568326,23481064.0499949,23964508.2789523
22588773.7808506,23097943.0472092,22189234.3113469,21227000.8484275,20281834.4312894,23480416.1635914,23964862.3619242
22589130.6226317,23097348.7991637,22189783.0230966,21227238.0581936,20281724.4071223,23479768.413249,23965215.2975025
22589493.1685031,23096756.3949078,22190330.4336672,21227472.1694701,20281613.143499,23479123.3162817,23965568.0729447
22589852.9160243,23096161.0654234,22190878.5049521,21227710.2704382,20281503.4765504,23478476.8723462,23965922.134244
22590212.7642829,23095570.3788694,22191428.1087045,21227945.7006338,20281395.5404641,23477825.2849764,23966277.7307498
22590572.0426704,23094976.6303225,22191978.8992934,21228182.2883372,20281285.5480717,23477177.5251929,23966629.048532
22590932.1561117,23094380.7971197,22192526.9114039,21228418.5578747,20281175.8988665,23476528.9738941,23966983.8574774
22591293.2577872,23093790.0063192,22193073.853529,21228654.8035949,20281065.8115341,23475881.1396232,23967332.3334761
22591652.7007941,23093196.7510954,22193624.979528,21228892.3821434,20280952.0066577,23475236.0033526,23967689.250481
22592012.0666523,23092603.8993272,22194174.105162,21229128.4058631,20280844.7746269,23474588.2171092,23968042.6787169
22592372.7713294,23092010.7461879,22194722.9425252,21229366.1182596,20280734.6532536,23473939.3997902,23968396.2994553
22592734.40227,23091417.7057116,22195271.0491676,21229602.4823029,20280625.5367204,23473292.42761,23968751.8585115
22593094.3030207,23090825.0489579,22195822.7647487,21229839.5011091,20280515.4445612,23472646.5999945,23969105.6186873
22593456.2797552,23090230.2328436,22196370.5108336,21230076.6948133,20280406.313018,23471996.4409666,23969459.8335873
22593816.2973241,23089640.0317868,22196922.9924048,21230311.06688,20280299.0142993,23471350.2942069,23969815.2631681
22594176.3227238,23089046.992988,22197473.2720341,21230550.5249871,20280188.2647557,23470701.9413794,23970169.7334159
22594538.9700006,23088451.6555555,22198017.9316448,21230786.2142207,20280079.7571867,23470055.8901356,23970525.8389316
22594900.1481629,23087861.9477946,22198571.5144315,21231022.2597313,20279972.7405432,23469408.4051666,23970877.5162476
22595259.6346715,23087265.7966094,22199121.1584127,21231258.951276,20279863.276773,23468761.3218119,23971235.5774925
22595622.3932614,23086674.5385631,22199671.7132249,21231497.0242237,20279753.5570033,23468113.166874,23971589.8778611
22595982.3594557,23086083.6474908,22200219.3036219,21231733.3776987,20279646.9491918,23467466.645269,23971944.4865767
22596341.9535535,23085490.949171,22200771.5927979,21231971.1499882,20279535.5936897,23466817.578831,23972297.6436655
22596707.2081844,23084898.2469289,22201321.2426491,21232207.3608901,20279428.7504508,23466173.0562105,23972655.289217
22597067.9511598,23084304.7723121,22201867.96584,21232444.7019529,20279320.9994212,23465524.5385193,23973009.6920161
22597428.2113861,23083713.1692928,22202422.1409961,21232681.7765912,20279211.2406745,23464875.1420462,23973364.2077229
22597792.5447726,23083121.6659545,22202970.6856986,21232919.3074822,20279103.9618805,23464227.1657826,23973722.1441605
22598154.5293462,23082529.3067165,22203519.0705805,21233156.6570294,20278995.3270638,23463582.0107998,23974073.5411047
22598515.8125877,23081936.6678317,22204071.6426093,21233394.6650686,20278887.4530855,23462932.0652181,23974431.7867173
22598878.3970284,23081345.3039664,22204622.2025127,21233632.5145134,20278781.5603208,23462287.0854257,23974785.7256743
22599237.7131746,23080753.1666592,22205172.2306739,21233870.9960767,20278674.1356588,23461641.6131528,23975144.9331677
22599601.3854808,23080160.8978454,22205723.0845024,21234106.6558493,20278565.2851466,23460993.0590526,23975501.1971466
22599963.1295472,23079566.8387637,22206275.5173678,21234345.3838385,20278455.5976604,23460345.8269942,23975858.2726207
22600325.9689312,23078974.2350372,22206827.2011533,21234581.8177433,20278350.0871088,23459699.0757399,23976212.5928184
22600689.0788196,23078382.5536847,22207377.5064644,21234818.9141019,20278241.6222824,23459052.0545163,23976570.6634752
22601050.5576546,23077791.8691137,22207926.5186186,21235056.7290393,20278137.2566907,23458402.7800018,23976927.7464138
22601414.9756991,23077198.0776895,22208477.4915562,21235295.8120001,20278029.3070716,23457755.7002832,23977284.6134065
22601778.8036592,23076606.5206772,22209031.6908054,21235532.6896883,20277921.5193062,23457111.3559429,23977642.150469
22602140.4098105,23076015.9170188,22209581.7283286,21235770.7855193,20277815.4778659,23456462.1004806,23977994.6952944
22602503.1321261,23075423.7117564,22210131.640825,21236008.2935463,20277707.7187222,23455815.9896935,23978352.5458343
22602867.0212292,23074831.487436,22210681.0544035,21236244.2977086,20277604.344334,23455168.9147216,23978711.8014677
22603229.5648311,23074240.0952959,22211233.700935,21236482.6853894,20277496.1405468,23454521.856476,23979068.4388393
22603592.4382655,23073650.2212777,22211784.4943531,21236720.1939489,20277389.6426325,23453874.6193563,23979424.2097753
22603956.5115086,23073057.1421903,22212336.629802,21236959.9313532,20277284.613685,23453226.2752097,23979781.9675329
22604321.3099658,23072464.5102356,22212888.5984224,21237196.9276051,20277178.924134,23452580.0467577,23980142.8404237
22604681.817022,23071873.3435117,22213441.1097349,21237434.971624,20277069.8055717,23451934.7622169,23980496.1479418
22605046.4886672,23071278.4268799,22213990.6616206,21237671.6132899,20276966.2542333,23451288.6708199,23980855.7593134
22605410.7939594,23070691.3357759,22214544.8944307,21237910.5374076,20276859.4992108,23450640.8867469,23981210.555139
22605772.2663535,23070098.0228677,22215094.6243114,21238152.0491713,20276754.2397721,23449994.4221722,23981572.9622795
22606134.26011,23069506.4363336,22215646.1429916,21238387.0220743,20276647.1921793,23449348.0868834,23981927.9843582
22606500.1534482,23068915.9322128,22216200.2626733,21238626.2515309,20276541.8301635,23448702.7425857,23982285.4339756
22606864.4173409,23068323.5159071,22216751.2486997,21238864.2725719,20276435.0217885,23448054.5121513,23982644.8790265
22607228.4684536,23067734.7969344,22217303.0720131,21239102.1712836,20276330.0826995,23447407.4216256,23983001.2185949
22607594.8656814,23067144.0780933,22217857.4364167,21239340.2117608,20276224.1625027,23446760.1996795,23983360.6398534
22607956.9099695,23066551.249189,22218409.4455077,21239577.8651624,20276121.3409573,23446112.7357039,23983719.671318
22608322.0789794,23065959.4344516,22218958.9211237,21239817.4558099,20276013.9377058,23445467.3198691,23984076.1368129
