carrier_1,carrier_2,carrier_3,carrier_4,carrier_5,carrier_6,carrier_7
22575898.1100081,23119403.3355335,22169467.4722959,21218528.2402363,20285889.0735925,23503682.4099007,23952229.4289168
22576254.7472377,23118808.6057303,22170013.7160332,21218763.0466623,20285775.0271649,23503033.9069472,23952578.9374931
22576611.4632257,23118213.903718,22170559.9411359,21218997.9852569,20285661.1095387,23502385.4530022,23952928.5553043
22576968.2635973,23117619.2820605,22171106.3170823,21219232.8795618,20285547.1734893,23501737.0602676,23953278.2628461
22577325.1545309,23117024.6330058,22171652.7753668,21219467.8803865,20285433.4041115,23501088.6397711,23953628.1213866
22577682.0789531,23116430.0704723,22172199.254258,21219702.8920968,20285319.8055948,23500440.2447534,23953978.0486262
22578039.1602567,23115835.6004367,22172745.841323,21219937.9520314,20285206.2273899,23499791.8815231,23954328.0736809
22578396.2808415,23115241.0317529,22173292.4656598,21220173.0439522,20285092.7515667,23499143.5563169,23954678.2167647
22578753.5295886,23114646.6398016,22173839.188298,21220408.1329876,20284979.4201395,23498495.2067085,23955028.4198091
22579110.8877387,23114052.209331,22174385.9787444,21220643.3105478,20284866.1455865,23497846.861148,23955378.813957
22579468.2156443,23113457.8461367,22174932.8168666,21220878.5369751,20284752.9925555,23497198.6154722,23955729.2267647
22579825.6926468,23112863.514383,22175479.7290745,21221113.7676798,20284639.9349577,23496550.284704,23956079.8084136
22580183.2547161,23112269.2507348,22176026.7224756,21221349.0701962,20284526.9623375,23495902.0347918,23956430.4031524
22580540.964525,23111674.933772,22176573.7643919,21221584.3916781,20284414.1236807,23495253.828226,23956781.1759523
22580898.703831,23111080.7460041,22177120.887767,21221819.7097861,20284301.3634453,23494605.5979289,23957131.9896601
22581256.5343011,23110486.5667556,22177668.061844,21222055.1708575,20284188.7021675,23493957.426514,23957482.9734053
22581614.4851998,23109892.4660097,22178215.3259057,21222290.5647646,20284076.1450452,23493309.2166939,23957834.0195261
22581972.4767665,23109298.3221971,22178762.6549913,21222526.0909692,20283963.6830262,23492661.0737215,23958185.1898805
22582330.5783759,23108704.264806,22179309.9872431,21222761.5893472,20283851.3482234,23492012.9454019,23958536.4133906
22582688.7884921,23108110.2400188,22179857.5113198,21222997.1473613,20283739.0863896,23491364.782987,23958887.8045954
22583047.0134064,23107516.2916451,22180405.0435267,21223232.7896627,20283626.9483248,23490716.7157805,23959239.2185189
22583405.3499316,23106922.3201606,22180952.648735,21223468.4168559,20283514.9088575,23490068.6334385,23959590.7961629
