pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575899.0044728,23119405.138117,22169468.2757777,21218529.8840383,20285889.063471,23503680.8295158,23952227.8357106
22576255.6012851,23118810.4389634,22170014.3885988,21218764.87776,20285775.0603056,23503032.2458413,23952577.7470408
22576612.326876,23118215.4974929,22170560.7826632,21218999.8110455,20285661.1124909,23502383.9339996,23952927.5823678
22576968.9262332,23117620.8187937,22171107.0557397,21219234.967153,20285547.5426517,23501735.5446327,23953277.2827372
22577325.5893652,23117026.187513,22171653.3762985,21219469.8347632,20285433.7887402,23501087.3494935,23953627.447832
22577682.582235,23116431.5949243,22172199.9618074,21219704.7696655,20285319.9712151,23500438.6801093,23953977.2234006
22578039.4923383,23115837.207707,22172746.3756194,21219939.6760303,20285206.5020385,23499790.4011773,23954327.0544793
22578396.9270648,23115242.6598416,22173292.8106548,21220174.8152101,20285092.8851245,23499142.1796421,23954677.3123595
22578754.1012186,23114648.2642242,22173839.29656,21220409.8319113,20284979.2879932,23498493.86426,23955027.410403
22579111.4160368,23114053.9784654,22174386.0215989,21220644.6112541,20284866.2657829,23497845.9296903,23955377.886314
22579468.9456248,23113459.7572208,22174932.9293377,21220879.8819313,20284753.2097507,23497197.6678448,23955728.4127229
22579826.5497617,23112865.218575,22175479.768277,21221115.0965702,20284640.0715899,23496549.4525579,23956078.8629582
22580184.4203921,23112270.9541414,22176026.8982348,21221350.2869935,20284526.9677898,23495901.1034193,23956429.5611721
22580542.1280007,23111676.5368667,22176573.8817577,21221585.67337,20284414.2736275,23495252.9814749,23956780.2735893
22580899.9257022,23111082.326415,22177121.0610203,21221821.2600718,20284301.4905722,23494604.6725444,23957130.9969933
22581257.6222714,23110488.1393383,22177668.4329988,21222056.549664,20284188.7318062,23493956.1807768,23957482.2189664
22581615.6040328,23109893.7239487,22178215.995904,21222292.086337,20284076.3399406,23493307.9270392,23957833.4004237
22581973.6117945,23109299.4630579,22178763.4701695,21222527.4923413,20283963.8864125,23492659.8296783,23958184.8062874
22582331.4884028,23108705.4609344,22179311.1261951,21222763.0001366,20283851.6242984,23492011.7284048,23958536.3027345
22582689.4703919,23108111.4499893,22179858.3109437,21222998.767633,20283739.5464784,23491363.2006793,23958887.403094
22583047.8001881,23107517.3835225,22180405.8674729,21223234.4623112,20283627.502093,23490715.0458484,23959238.5959609
22583406.3106637,23106923.4310635,22180953.5683783,21223469.9437745,20283515.3831819,23490066.5201775,23959590.1671831
22583764.8654707,23106329.9486218,22181501.0213134,21223705.4693647,20283403.6450764,23489418.6927772,23959941.6780143
22584123.2872664,23105736.0361621,22182048.8561816,21223941.1703167,20283291.7242774,23488770.4028434,23960293.0678134
22584482.0669128,23105142.1108587,22182596.5336864,21224177.1337545,20283179.6807478,23488122.3869363,23960644.9723735
22584840.8011875,23104548.3965395,22183144.3392858,21224413.0818022,20283068.2668553,23487474.5720849,23960997.0697505
22585199.3978993,23103954.9075732,22183692.020447,21224648.8451229,20282956.7777465,23486826.2664777,23961349.286756
22585558.2578288,23103361.3523431,22184240.0342172,21224884.7578906,20282845.350272,23486178.3314277,23961701.632219
22585917.064881,23102767.6989478,22184788.1686797,21225120.4441703,20282734.0976764,23485530.4631904,23962053.7346427
22586276.0762322,23102174.175207,22185336.1958124,21225356.3918462,20282622.657919,23484882.3066478,23962405.9562951
22586634.9217349,23101580.4473251,22185884.6557076,21225592.4728214,20282511.5737975,23484234.734349,23962758.4984251
22586994.1869947,23100986.5077913,22186432.9198769,21225828.252753,20282400.3786563,23483586.8586911,23963111.3537334
22587353.5348866,23100392.9677616,22186981.349425,21226064.205586,20282289.5209101,23482939.0100019,23963464.1009167
22587712.9311402,23099799.5823012,22187529.7801713,21226300.5514147,20282178.5525409,23482291.3303132,23963816.7905977
22588072.3847772,23099206.1333435,22188078.1868501,21226536.7527007,20282067.9620848,23481643.6223333,23964169.6213248
22588432.0296411,23098612.4691158,22188626.6179876,21226773.1651377,20281957.3576528,23480996.1907988,23964522.6513466
22588791.6026889,23098019.172033,22189175.2563744,21227009.3614978,20281846.8951176,23480348.2658428,23964875.5484445
22589151.501108,23097425.7422045,22189724.0652561,21227245.5893406,20281736.6362535,23479700.4335868,23965228.9737594
22589510.9726305,23096832.7612496,22190272.7670424,21227481.8830566,20281626.4398838,23479052.3632404,23965582.6220008
22589870.8381717,23096239.7105895,22190821.4455676,21227718.1758122,20281516.2054932,23478404.4718685,23965935.982304
22590230.8694424,23095646.6403252,22191370.5645654,21227954.5074556,20281406.0681187,23477756.6713885,23966289.4396246
22590590.9122823,23095053.444599,22191919.5901943,21228191.1780546,20281296.0432256,23477109.0338868,23966643.3900047
22590951.3048641,23094460.5067299,22192468.3377,21228427.531096,20281186.0634399,23476461.4236396,23966996.9792904
22591311.5787884,23093867.3474417,22193017.4967734,21228663.9800288,20281076.2008202,23475813.8837428,23967350.6401076
22591671.8696209,23093274.5411214,22193566.4715256,21228900.4459598,20280966.4904271,23475166.2011498,23967704.7080094
22592032.6109219,23092681.2102285,22194115.9417952,21229136.9489764,20280856.7312294,23474518.621482,23968058.6523124
22592393.1463457,23092088.0406396,22194665.1152191,21229373.5630134,20280747.1144249,23473870.9665525,23968412.8108174
22592753.9143748,23091495.0996806,22195214.5038991,21229610.224182,20280637.6395096,23473223.4682582,23968766.9784696
22593114.7181334,23090902.2063964,22195763.9078492,21229846.7492033,20280528.4371845,23472575.8219032,23969121.3399182
22593475.3748364,23090309.2932452,22196313.4611583,21230083.5437922,20280419.5280806,23471928.1570596,23969475.8978187
22593836.1590306,23089716.5175996,22196863.1703807,21230320.3229548,20280310.3501475,23471280.6370718,23969830.0878019
22594197.5330228,23089123.5637459,22197413.1562489,21230556.8910957,20280201.5181408,23470633.4984468,23970184.6463629
22594558.6101999,23088530.7365153,22197963.087504,21230793.7536556,20280092.401747,23469986.2455134,23970539.3165713
22594919.7369791,23087938.0135487,22198512.7112847,21231030.6582776,20279983.4162291,23469338.8487338,23970894.0965016
22595280.9424538,23087345.5868791,22199062.5902013,21231267.6577449,20279874.8739467,23468691.539266,23971249.0141574
22595642.2886275,23086752.7203552,22199612.6363209,21231504.6176721,20279766.0867641,23468044.1221396,23971604.2608335
22596003.6661281,23086160.1486038,22200162.4047399,21231741.5286734,20279657.7714261,23467396.9729233,23971959.1373201
22596365.2589567,23085567.6007103,22200712.5712008,21231978.6172147,20279549.5780847,23466749.8688302,23972314.181138
22596726.7390067,23084974.9285131,22201262.3684857,21232215.8715415,20279441.272499,23466102.3582483,23972669.262681
22597088.4095542,23084382.5959916,22201812.3257709,21232452.9944025,20279332.8576988,23465455.1240291,23973024.6265385
22597450.2802066,23083790.3160122,22202362.5500608,21232690.3187826,20279224.6717099,23464807.7098691,23973380.1285905
22597812.1072996,23083197.9302258,22202913.1484844,21232927.6224941,20279116.4828064,23464160.1718127,23973735.8625454
