pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575898.1375377,23119403.6485233,22169466.1743339,21218527.531742,20285889.439847,23503681.3601703,23952229.9915584
22576255.2311195,23118807.4638257,22170013.3036602,21218763.1505231,20285774.4807206,23503034.5857814,23952578.9100291
22576610.791944,23118215.0650419,22170559.9739692,21218997.7660383,20285660.7822896,23502386.3258397,23952928.4084193
22576968.1953423,23117616.9850274,22171105.3500565,21219231.356298,20285546.3837163,23501738.5814739,23953279.5970578
22577325.9433924,23117024.8083543,22171652.4074445,21219468.4610168,20285433.8837851,23501089.5351521,23953627.2905121
22577681.9198243,23116428.5158945,22172199.9110946,21219703.4433793,20285319.9491547,23500441.1493588,23953976.7569738
22578040.0320384,23115835.0988609,22172746.3094816,21219938.2116947,20285206.8698854,23499792.4041077,23954329.6926084
22578397.8828933,23115242.1435604,22173292.7208002,21220175.8041913,20285091.2857191,23499143.2135576,23954678.4466676
22578754.1840634,23114646.8061811,22173839.4050197,21220408.468299,20284978.2542988,23498495.3918146,23955028.3588967
22579111.3099974,23114050.494332,22174386.0417562,21220643.2008801,20284865.7749939,23497847.950205,23955378.6517394
22579468.5812105,23113456.3985919,22174933.3143321,21220877.5960371,20284754.4060421,23497197.760105,23955729.3625968
22579824.6076438,23112864.5255082,22175479.7310974,21221113.2207714,20284639.9435748,23496548.9971748,23956079.962464
22580183.5677855,23112268.6275553,22176025.7645485,21221348.8097936,20284527.3886032,23495900.4314096,23956431.8380836
22580540.2445718,23111675.1885308,22176576.4506503,21221583.4955769,20284415.106799,23495254.2716184,23956780.576653
22580899.8921976,23111079.6319496,22177121.0237115,21221819.4192966,20284301.9375469,23494603.8199337,23957130.8774673
22581257.1919683,23110485.8264803,22177667.8638128,21222055.4228147,20284187.0361932,23493958.0462166,23957482.3142491
22581612.6471229,23109892.1320382,22178214.9253871,21222288.6838997,20284075.5445655,23493309.5028796,23957833.9897068
22581973.8554086,23109299.2669167,22178761.9739698,21222525.5131246,20283966.0328409,23492660.9327533,23958184.2569647
22582330.1476098,23108703.1584414,22179309.457506,21222761.28291,20283850.3106953,23492013.2475875,23958536.4894397
22582688.5251283,23108109.2293648,22179858.05732,21222995.557289,20283737.3379155,23491366.5728401,23958885.9634697
22583047.4153878,23107516.6189642,22180407.0436205,21223231.5000449,20283627.368275,23490715.3579201,23959240.7335366
22583406.2147504,23106921.0620671,22180953.9738122,21223468.8637795,20283513.8044614,23490066.7146895,23959590.6213254
22583762.8590843,23106329.4738355,22181499.3531423,21223701.9383818,20283403.8425527,23489420.4239087,23959942.6362836
22584121.9371687,23105734.2945595,22182047.777763,21223940.629336,20283291.0418891,23488773.6523896,23960295.0293129
22584479.8154428,23105141.7739998,22182597.3357818,21224176.3339474,20283179.1089578,23488123.4573421,23960647.6611848
22584838.492881,23104544.8549044,22183143.7269128,21224410.8009932,20283067.9724699,23487477.3979831,23960998.2431703
22585198.7530895,23103952.8679744,22183690.9709414,21224645.8377981,20282955.9817412,23486828.9845919,23961350.5891804
22585557.0820746,23103358.8781518,22184240.272731,21224882.6447566,20282846.2063492,23486180.3681136,23961701.1823389
22585915.818377,23102764.8408393,22184788.502388,21225119.6417004,20282733.800527,23485534.4376868,23962055.30906
22586274.6850933,23102172.5917638,22185335.19196,21225356.6588137,20282622.1721015,23484883.8956848,23962406.5340366
22586634.2262893,23101578.4643751,22185884.4907633,21225590.5926909,20282511.6732275,23484236.0446077,23962758.6340711
22586994.1700658,23100985.4965646,22186434.4777292,21225827.5758232,20282397.4187485,23483590.4829742,23963112.5674509
22587352.5507515,23100391.7560922,22186979.9702066,21226063.0256828,20282289.4648293,23482941.4517279,23963463.4609252
22587711.9686486,23099799.4449011,22187530.0940579,21226298.2477119,20282178.3564698,23482293.0669854,23963818.0938616
22588071.8292977,23099204.339616,22188079.6103496,21226535.8330945,20282068.4625033,23481644.9436226,23964171.7627761
22588431.6517976,23098611.6438888,22188625.6633282,21226772.1980214,20281955.5664275,23480998.3307657,23964523.8538248
22588790.4410247,23098017.7734058,22189173.6956831,21227008.8579678,20281846.544675,23480348.2847327,23964875.429948
22589152.3524405,23097424.975499,22189722.9941005,21227241.9994468,20281734.9749317,23479703.8772349,23965229.8403167
22589511.7342364,23096830.0118506,22190274.0166866,21227479.9454472,20281624.1903556,23479052.644362,23965585.5757338
22589869.7412282,23096238.6997312,22190821.3818066,21227716.7220895,20281515.0817671,23478404.7547421,23965937.311522
