pr1_1,pr1_2,pr1_3,pr1_4,pr1_5,pr1_6,pr1_7
22575878.1324438,23119326.7307781,22169525.5649781,21218521.2492801,20285876.7564651,23503749.8123335,23952213.3350361
22576236.1481484,23118731.8749219,22170071.6579839,21218753.8613984,20285763.1506127,23503102.7321285,23952564.1964508
22576592.4633224,23118138.5678794,22170617.2592465,21218992.040042,20285648.5669488,23502454.9462876,23952913.629678
22576950.5125054,23117543.633744,22171163.1957299,21219226.9762893,20285537.254258,23501804.9174967,23953261.851796
22577305.8716989,23116949.9087825,22171710.3563807,21219459.1996586,20285423.0205765,23501155.7060584,23953613.1326187
22577662.7654809,23116354.5072013,22172256.5065057,21219695.8246895,20285307.62998,23500508.0042146,23953962.887056
22578019.2326209,23115759.9855209,22172802.8320386,21219931.5110432,20285195.1685372,23499859.2740589,23954313.7807242
22578378.3738096,23115164.963408,22173350.493318,21220166.730174,20285081.2730141,23499210.1100032,23954665.0423036
22578732.720843,23114571.2228283,22173896.9914436,21220401.2864381,20284968.0333442,23498561.8352812,23955011.3126345
22579091.9179992,23113975.0200355,22174444.313138,21220636.7204275,20284855.3746051,23497914.9340424,23955365.5381508
22579448.80147,23113382.5912105,22174990.1177761,21220872.6529165,20284742.5321908,23497267.2598377,23955714.275975
22579808.6828202,23112787.9905087,22175536.1057982,21221104.6087212,20284628.7917871,23496618.3373609,23956064.7301697
22580165.3626869,23112194.9874987,22176085.8844502,21221340.9682785,20284513.9446371,23495971.5060198,23956416.566816
22580522.7507118,23111600.7675467,22176632.6001841,21221576.355886,20284404.4442494,23495321.7123817,23956765.3376646
22580879.2609754,23111004.4840806,22177179.4912217,21221811.7230342,20284290.2115958,23494673.1672613,23957116.7004837
22581238.4521882,23110413.3824294,22177726.6655532,21222047.8536135,20284177.3357415,23494025.2111621,23957468.9489425
22581596.188516,23109816.5558801,22178271.5968695,21222284.4869272,20284064.9213877,23493375.858201,23957818.4406617
22581954.5754145,23109223.2497072,22178821.2597298,21222519.0333172,20283953.8862743,23492727.908625,23958169.1871726
22582312.8666617,23108630.096505,22179369.2648986,21222754.5437365,20283837.6498727,23492080.1450718,23958523.2241818
22582670.4744129,23108032.6476982,22179916.6598656,21222989.3067033,20283726.5668985,23491430.0316078,23958873.0661086
22583027.1577571,23107438.9558405,22180461.7024899,21223225.0490198,20283616.0046957,23490785.1423077,23959225.5926324
22583386.8480515,23106845.1503016,22181010.1615625,21223462.7650492,20283503.8691072,23490137.0331794,23959574.8683668
22583745.7287419,23106253.547254,22181557.089331,21223696.2630776,20283391.4456057,23489488.581699,23959929.1286656
22584103.3820611,23105657.8740661,22182103.7633875,21223933.2810499,20283280.4009636,23488838.9140934,23960280.1843771
22584460.383389,23105064.9831773,22182656.0035132,21224167.3378466,20283165.9102366,23488192.1006684,23960629.9605127
22584821.1299315,23104472.1609679,22183202.7808558,21224403.0835245,20283056.5223381,23487544.6179319,23960982.1640837
22585178.0235177,23103876.8704507,22183751.3990994,21224639.5957099,20282944.9999777,23486895.2728256,23961334.4977424
22585538.8204193,23103284.2390118,22184297.0188028,21224876.5390182,20282832.6643374,23486249.2405879,23961687.7118609
22585897.2028191,23102690.0531027,22184846.5942047,21225113.6712254,20282721.1087103,23485599.1492077,23962039.7713417
22586256.2189729,23102095.4635164,22185392.8701259,21225349.07162,20282612.4766065,23484952.0138589,23962391.9850493
22586617.0159546,23101503.2743446,22185940.6715304,21225583.2473749,20282500.0995846,23484303.6933214,23962743.6426352
22586973.8892916,23100910.3073256,22186492.0920259,21225819.9035457,20282387.7423408,23483656.727037,23963096.9129708
22587333.8815506,23100315.769591,22187038.9314679,21226056.6906315,20282276.3836327,23483008.5614492,23963450.0940723
22587694.9391465,23099722.5176432,22187587.2700708,21226292.6612425,20282168.3400179,23482359.4193766,23963802.9155385
22588054.0224637,23099129.171626,22188136.1663118,21226529.6926755,20282054.8180553,23481712.6942089,23964155.0997649
22588412.6736531,23098536.1026059,22188684.2730045,21226763.0856534,20281944.3985752,23481065.2974132,23964506.9996269
22588771.2259429,23097941.2672059,22189231.7903649,21227001.5536559,20281834.4717194,23480417.6440758,23964861.446109
22589131.9748628,23097349.1445387,22189782.3307345,21227237.6603644,20281723.7077468,23479768.4281785,23965216.5160093
22589492.4291674,23096755.5878387,22190331.0132831,21227472.9217998,20281615.0792892,23479122.0718043,23965568.7968266
22589851.3852483,23096164.0670683,22190881.7818428,21227709.0048006,20281504.8907181,23478475.5753476,23965918.8287975
22590213.170058,23095567.7288813,22191428.3199113,21227948.5433906,20281391.6060494,23477827.511599,23966273.7174971
22590572.8823082,23094975.6214479,22191976.0814297,21228181.5681455,20281286.046653,23477180.9287872,23966628.426647
22590932.8095806,23094381.9303196,22192525.6749684,21228418.6946361,20281172.455809,23476529.0679799,23966982.8536724
22591291.4065693,23093789.5550212,22193076.0341092,21228655.2554259,20281062.2738747,23475881.9654419,23967335.9222695
22591652.2882792,23093197.7811652,22193625.3091514,21228892.4776408,20280954.1557929,23475235.3175059,23967689.6565582
22592013.7376024,23092602.8601516,22194173.9079715,21229128.073149,20280844.9214983,23474587.9291313,23968044.5261233
22592373.6610366,23092011.8471272,22194723.7203132,21229364.6869288,20280734.3506558,23473940.4236575,23968397.0136354
22592731.7528569,23091416.622938,22195271.3427838,21229601.1886089,20280623.9844029,23473293.0986045,23968752.2807924
22593093.8352116,23090826.8372049,22195821.3629356,21229838.570153,20280516.2130511,23472644.8525585,23969105.3554317
22593454.2913243,23090231.3425482,22196371.9426718,21230075.2185549,20280407.5645754,23471996.3463748,23969461.0124539
22593815.1970594,23089638.5030107,22196920.1587046,21230312.7491322,20280297.8290831,23471350.4298536,23969817.0050076
22594178.3807675,23089045.5269462,22197470.7911465,21230548.804237,20280190.559833,23470702.4693828,23970169.0569151
22594539.2067009,23088454.3992486,22198018.1215659,21230786.0371811,20280079.8138895,23470053.8548231,23970524.0669625
22594899.5164081,23087860.4585126,22198569.5904128,21231023.5959456,20279970.1074105,23469408.2844946,23970881.5081765
22595260.8081938,23087267.7328272,22199119.760803,21231260.0324862,20279862.5125054,23468762.1970322,23971233.8000336
22595623.8496888,23086677.2558456,22199670.1539104,21231496.5870111,20279752.6283685,23468113.1256453,23971587.6696732
22595983.5174626,23086083.5101009,22200219.1729883,21231735.6190828,20279645.5951706,23467466.556458,23971945.0445626
22596345.3639429,23085489.4490272,22200769.1639796,21231973.2680009,20279536.6634824,23466817.4564167,23972299.5206467
22596706.0262359,23084900.1524218,22201319.8164665,21232209.2803283,20279428.471824,23466170.9898751,23972655.0504573
22597068.1309234,23084306.7919224,22201870.1367784,21232444.4423588,20279320.2335139,23465523.1344506,23973010.9560435
22597430.3725963,23083713.3060874,22202420.8826787,21232682.8823417,20279213.2387263,23464875.985074,23973364.8577945
22597791.5180456,23083121.3496819,22202969.7256197,21232920.4584337,20279102.217671,23464228.6799674,23973719.5414128
22598152.5708124,23082528.7579211,22203522.6591783,21233156.8338206,20278997.6691927,23463581.7641144,23974075.6202642
22598514.1693537,23081935.3132186,22204073.0782159,21233394.1921294,20278886.5503321,23462934.1798859,23974432.5373938
22598875.9549789,23081344.3040339,22204622.924721,21233632.0093309,20278780.9023671,23462287.6454936,23974789.5759743
22599239.0007586,23080752.4689386,22205174.0400588,21233868.044652,20278672.8439173,23461639.9500028,23975146.1133109
22599602.5333935,23080160.6431653,22205722.9355705,21234107.3569986,20278566.0425034,23460993.2958874,23975499.7357089
22599963.9017626,23079568.9739163,22206275.0831295,21234344.4267385,20278458.7108681,23460345.1123312,23975855.90227
22600327.0966464,23078977.2455041,22206825.0434314,21234581.4271232,20278349.3362265,23459697.209945,23976213.6492857
